C1,C2
459200101,IBM
594918104,MSFT
20030N101,CMCSA
23135106,AMZN
02079K305,GOOGL
60505104,BAC
369604103,GE
37045V100,GM
ARDEUT116183,AAPL
803054204,SAP
"806857108","SLB"
"568104905","CAI"
"567991906","IIA"
"656570900","ABP"
"B06HD8905","AJA"
"B86SZR908","ALQ"
"624730909","APA"
"612745901","BWP"
"636137903","CFX"
"615066909","CPA"
"622559904","CQR"
"B033YN903","DXS"
"B03FYZ909","GMG"
"636586000","GPT"
"620569905","IOF"
"670262906","JBH"
"682112909","SHL"
"B01BTX901","WDC"
"698123908","WOW"
"ACI00C7S0","WRT"
"ACI05J1V9","WXOZ"
"G2519Y108","BAP"
"643491905","HKL"
"G491BT108","IVZ"
"B09RMQ900","SDRL"
"063671952","BMO"
"064149958","BNS"
"067901959","ABX"
"112585955","BAM/A"
"112900956","BPO"
"131253999","CWTu"
"134921956","CARu"
"136375961","CNR"
"136385952","CNQ"
"13650J955","REFu"
"15135U950","CVE"
"16141A954","CSH-U"
"16141A954","CSHu"
"199910951","CUFu"
"290876952","EMA"
"29250N956","ENB"
"31943B951","FCR"
"349553958","FTS"
"380956953","G"
"39138C957","GWO"
"404428955","HRu"
"449586957","IGM"
"56501R957","MFC"
"73755L958","POT"
"739239952","POW"
"739239952","POW"
"73927C951","PWF"
"766910954","REIu"
"775109960","RCI/B"
"775109960","RCI.B"
"780087953","RY"
"780087953","RY"
"82028K952","SJR/B"
"82028K952","SJR.B"
"866796956","SLF"
"891160954","TD"
"B083BH906","SPSN"
"435664909","SYNN"
"598381903","ZURN"
"710306903","NOVN"
"711038901","ROG"
"717158901","CSGN"
"710889908","ABBN"
"718472905","UHR"
"712459908","BALN"
"752079905","BCVN"
"B01287901","PSPN"
"B18YFJ908","UBSN"
"712387901","NESN"
"H0023R105","ACE"
"H84989104","TEL"
"ACI00MQT5","SREN"
"ACI06R7K8","CFR"
"575602909","BMW"
"584235907","DTE"
"511738908","GBF"
"507670909","HEN3"
"574081907","LIN"
"552902900","DAI"
"484628904","SAP"
"572797900","SIE"
