Germany Hungary Turkey,Berlin Budapest Ankara
Albania Algeria Angola,Tirane Algiers Luanda
Japan Cyprus Egypt,Tokyo Nicosia Cairo
Austria Korea Scotland,Vienna Seoul Glasgow
Botswana Belgium Brazil,Gaborone Brussels Brasilia
Iraq Russia Thailand,Bagdad Moscow Bangkok
Australia Austria Azerbaijan,Canberra Vienna Baku
Bahamas Barbados Belarus,Nassau Bridgetown Minsk
Brazil Bulgaria Cameroon,Brasilia Sofia Yaounde
Canada China Colombia,Ottawa Beijing Bogota
Croatia Cyprus Denmark,Zagreb Nicosia Copenhagen
Ecuador Egypt Eritrea,Quito Cairo Asmara
Finland France Georgia,Helsinki Paris Tbilisi
Ghana Greece Ireland,Accra Athens Dublin
Italy Jordan Kazakhstan,Rome Amman Astana
Kenya Latvia Myanmar,Nairobi Riga Yangon
Nepal Netherlands Nigeria,Kathmandu Hague Lagos
Norway Peru Philippines,Oslo Lima Manila
Poland Portugal Qatar,Warsaw Lisbon Doha
Romania Senegal Serbia,Bucharest Dakar Belgrade
Spain Sweden Switzerland,Madrid Stockholm Bern
Thailand Tunisia Turkmenistan,Bangkok Tunis Ashkhabad
Ukraine Uruguay Uzbekistan,Kiev Montevideo Tashkent
