player,club
Tore Andre Flo,Siena AC 
Mido,Tottenham Hotspur
Alvaro Recoba,Internazionale FC
Stephen Warnock,Liverpool FC 
Adriano,Internazionale FC
Ronaldinho,FC Barcelona
Obafemi Martins,Internazionale FC
Michael Ballack,FC Bayern Munchen
Steve Finnan,Liverpool FC
Cristiano Ronaldo,Manchester United FC
Mikael Silvestre,Manchester United FC
Stilian Petrov,Celtic Glasgow
David Villa,Valencia CF
Salif Diao,Birmingham City
Tomas Rosicky,BV Borussia Dortmund
Nicolas Anelka,Fenerbahce SK
Wilfred Bouma,Aston Villa
Mark Viduka,Middlesbrough FC
Fabricio Coloccini,Deportivo La Coruna
Robinho,Santos FC
Wayne Rooney,Manchester United
Kieran Richardson,Manchester United
Georgios Samaras,Manchester United
Claudio Pizarro,FC Bayern Munchen
Kaka,AC Milan 
Stewart Downing,Middlesbrough 
Cesc Fabregas,Arsenal  FC
Lee Bowyer,Newcastle United 
Djibril Cisse,Liverpool FC 
Hernan Crespo,AC Milan 
Sergio Aguero,Independiente
Danny Murphy,Tottenham Hotspur
Antonio Di Natale,Udinese
Ashley Cole,Arsenal  FC
Benedict McCarthy,FC Porto 
Brad Friedel,Blackburn Rovers FC 
Carlos Marchena,Valencia CF
Christoph Metzelder,Borussia Dortmund
Claude Makelele,Chelsea FC 
Claudio Reyna,Manchester City 
Dario Silva,Portsmouth
David Trezeguet,Juventus
Dennis Rommedahl,Charlton Athletic 
Dino Baggio,SS Lazio 
Eddie Johnson,Kansas City Wizards
Emmanuel Olisadebe,Portsmouth 
Fabian Carini,Internazionale FC
Filippo Inzaghi,AC Milan 
Florent Malouda,Lyon 
Francesco Totti,AS Roma 
Frank Lampard,Chelsea FC 
Fredrik Ljungberg,Arsenal FC 
Gabriel Heinze,Manchester United FC 
Ivan Hurtado,Al Arabi 
Ivica Olic,CSKA Moscow
Jared Borgetti,Bolton 
Javier Zanetti,Internazionale FC 
Jerzy Dudek,Liverpool FC 
Juan Sebastian Veron,Inter Milan 
Luca Toni,Fiorentina 
Luis Gonzalez,River Plate 
Luizao,Sao Paulo FC 
Marco Materazzi,Internazionale FC 
Markus Rosenberg,Malmo FF 
Massimo Oddo,SS Lazio 
