Album,Genre
ABBA Gold: Greatest Hits,Pop
Backstreet's Back / Backstreet Boys,Pop
Millennium,Pop
Slippery When Wet,Hard rock
Spice,Pop
Grease,Soundtrack
21,Pop soul
...Baby One More Time,Pop
Nevermind,Grunge
Come Away with Me,Jazz
Legend: The Best of Bob Marley & The Wailers,Reggae
Tapestry,Pop
True Blue,Pop
Daydream,Pop R&B
Greatest Hits,Rock
Bridge over Troubled Water,Folk rock
The Joshua Tree,Rock
Whitney Houston,Pop R&B
Whitney,Pop R&B
Hybrid Theory,Nu metal alternative rock
Happy Nation/The Sign,Pop
CrazySexyCool,R&B, hip hop
(What's the Story) Morning Glory?,Britpop rock
Cross Road,Hard rock
Like a Virgin,Pop dance
Guilty,Pop
Boston,Hard rock
Oops!... I Did It Again,Pop
Hysteria,Hard rock
Faith,Pop R&B
The Marshall Mathers LP,Rap hip-hop
Unplugged,Acoustic blues folk rock
Can't Slow Down,Pop R&B soul
HIStory: Past, Present and Future, Book I,Pop rock R&B
Off the Wall,Soul disco R&B
No Jacket Required,Pop Rock
Purple Rain,Pop rock R&B
The Woman in Me,Country pop
Breakfast in America,Progressive rock
Private Dancer,Rock
Confessions,R&B
