Athlete,Date,Meeting Place
Abera Kuma,9/28/14,"Berlin, Germany"
"Andrew Valmon
Quincy Watts
Butch Reynolds
Michael Johnson",8/22/93,"Stuttgart, Germany"
Aries Merritt,9/7/12,"Brussels, Belgium"
Ashton Eaton,28Ð29 August 2015,"Beijing, China"
Bernardo Segura,5/7/94,"Bergen, Norway"
"Collins Cheboi
Silas Kiplagat
James Kiplagat Magut
Asbel Kiprop",5/25/14,"Nassau, Bahamas"
Daniel Komen,9/1/96,"Rieti, Italy"
David Rudisha,8/9/12,"London, Great Britain"
Dennis Kipruto Kimetto,5/6/12,"Berlin, Germany"
Dennis Kipruto Kimetto,9/28/14,"Berlin, Germany"
Emmanuel Mutai,9/28/14,"Berlin, Germany"
Geoffrey Kipsang Kamworor,9/28/14,"Berlin, Germany"
Haile Gebrselassie,6/27/07,"Ostrava, Czech Republic"
Haile Gebrselassie,6/27/07,"Ostrava, Czech Republic"
Hicham El Guerrouj,7/14/98,"Rome, Italy"
Hicham El Guerrouj,7/7/99,"Rome, Italy"
Hicham El Guerrouj,9/7/99,"Berlin, Germany"
Jan _elezn_,5/25/96,"Jena, Germany"
Javier Sotomayor,7/27/93,"Salamanca, Spain"
Jonathan Edwards,8/7/95,"Gothenburg, Sweden"
"Joseph Mutua
William Yiampoy
Ismael Kombich
Wilfred Bungei",8/25/06,"Brussels, Belgium"
"Josephat Ndambiri 13:24 (5 km)
Martin Mathathi 27:12 (10 km)
Daniel Muchunu Mwangi 13:59 (5 km)
Mekubo Mogusu 27:56 (10 km)
Onesmus Nyerre 14:36 (5 km)
John Kariuki 19:59 (7.195 km)",11/23/05,"Chiba, Japan"
JŸrgen Schult,6/6/86,"Neubrandenburg, East Germany"
Kenenisa Bekele,5/31/04,"Hengelo, Netherlands"
Kenenisa Bekele,8/26/05,"Brussels, Belgium"
Kevin Young,8/6/92,"Barcelona, Spain"
"Kyle Merber 2:53.56 *(1200 m)*
Brycen Spratling 45.95 *(400 m)*
Brandon Johnson 1:44.75 *(800 m)*
Ben Blankenship 3:51.24 *(1600 m)*",5/3/15,"Nassau, Bahamas"
Leonard Patrick Komon,9/26/10,"Utrecht, Netherlands"
Leonard Patrick Komon,11/21/10,"Nijmegen, Netherlands"
Maurizio Damilano,10/3/92,"Cuneo, Italy"
Maurizio Damilano,10/3/92,"Cuneo, Italy"
Michael Johnson,8/26/99,"Seville, Spain"
Mike Powell,8/30/91,"Tokyo, Japan"
Moses Mosop,6/3/11,"Eugene, United States"
Moses Mosop,6/3/11,"Eugene, United States"
"Nesta Carter
Michael Frater
Yohan Blake
Usain Bolt",8/11/12,"London, Great Britain"
"Nickel Ashmeade
Warren Weir
Jermaine Brown
Yohan Blake",5/24/14,"Nassau, Bahamas"
Noah Ngeny,9/5/99,"Rieti, Italy"
Paquillo Fern‡ndez,7/27/08,"Santa Cruz de Tenerife, Spain"
Randy Barnes,5/20/90,"Westwood, United States"
Renaud Lavillenie,2/15/14,"Donetsk, Ukraine"
Roman Rasskazov,5/28/00,"Saransk, Russia"
Saif Saaeed Shaheen,9/3/04,"Brussels, Belgium"
Takahiro Sunada,6/21/98,"Y_betsu, Japan"
Usain Bolt,8/16/09,"Berlin, Germany"
Usain Bolt,8/20/09,"Berlin, Germany"
Wilfred Kirwa Kigen,9/28/14,"Berlin, Germany"
Yohann Diniz,3/12/11,"Reims, France"
Yohann Diniz,8/15/14,"ZŸrich, Switzerland"
Yuriy Sedykh,8/30/86,"Stuttgart, Germany"
Yusuke Suzuki,3/15/15,"Nomi, Japan"
Zersenay Tadese,3/21/10,"Lisbon, Portugal"
Zersenay Tadese,3/21/10,"Lisbon, Portugal"
