HeadState,Country,StartingYear
De Nicola,Italy,1946
Einaudi,Italy,1948
Gronchi,Italy,1955
Segni,Italy,1962
Saragat,Italy,1964
Leone,Italy,1971
Pertini,Italy,1978
Cossiga,Italy,1985
Scalfaro,Italy,1992
Ciampi,Italy,1999
Napolitano,Italy,2006
Adolphe,Luxembourg,1890
William IV,Luxembourg,1905
Marie-Ad_la_de,Luxembourg,1912
Charlotte,Luxembourg,1919
Jean,Luxembourg,1964
Henri,Luxembourg,2000
Bj_rnsson,Iceland,1944
æsgeirsson,Iceland,1952
Eldjÿrn,Iceland,1968
Finnbogad½ttir,Iceland,1980
Ragnar Gr­msson,Iceland,1996
Renner,Serbia,1945
Figl,Serbia,1950
Korner,Serbia,1951
Raab,Serbia,1957
Scharf,Serbia,1963
Klaus,Serbia,1965
Jonas,Serbia,1971
Kirchschlager,Serbia,1974
Klestil,Serbia,1986
Fischer,Serbia,2004
Stasinopoulos,Greece,1974
Tsatsos,Greece,1975
Karamanlis,Greece,1980
Sartzetakis,Greece,1985
Karamanlis,Greece,1990
Stephanopoulos,Greece,1995
Papoulias,Greece,2005
