Tournament,Year,TennisPlayer
AustralianÿOpen,2004,Roger Federer
AustralianÿOpen,2006,Roger Federer
AustralianÿOpen,2007,Roger Federer
AustralianÿOpen,2010,Roger Federer
FrenchÿOpen,2009,Roger Federer
Wimbledon,2003,Roger Federer
Wimbledon,2004,Roger Federer
Wimbledon,2005,Roger Federer
Wimbledon,2006,Roger Federer
Wimbledon,2007,Roger Federer
Wimbledon,2009,Roger Federer
Wimbledon,2012,Roger Federer
US Open,2004,Roger Federer
US Open,2005,Roger Federer
US Open,2006,Roger Federer
US Open,2007,Roger Federer
US Open,2008,Roger Federer
US Open,2011,Roger Federer
US Open,2012,Andy Murray
US Open,2003,Andy Roddick
US Open,2001,Lleyton Hewitt
US Open,2000,Marat Safin
US Open,2009,Juan Mart¡n del Potro
US Open,2010,Rafael Nadal
US Open,2013,Rafael Nadal
AustralianÿOpen,2008,Novak Djokovic
AustralianÿOpen,2011,Novak Djokovic
AustralianÿOpen,2012,Novak Djokovic
AustralianÿOpen,2013,Novak Djokovic
AustralianÿOpen,2005,Marat Safin
AustralianÿOpen,2009,Rafael Nadal
FrenchÿOpen,2005,Rafael Nadal
FrenchÿOpen,2006,Rafael Nadal
FrenchÿOpen,2007,Rafael Nadal
FrenchÿOpen,2008,Rafael Nadal
FrenchÿOpen,2010,Rafael Nadal
FrenchÿOpen,2011,Rafael Nadal
FrenchÿOpen,2013,Rafael Nadal
FrenchÿOpen,2012,Rafael Nadal
Wimbledon,2011,Novak Djokovic
Wimbledon,2013,Andy Murray
Wimbledon,2002,Lleyton Hewitt
Wimbledon,2008,Rafael Nadal
Wimbledon,2010,Rafael Nadal
