'A chronic disease is a disease which keeps coming back…it is like the flu': chronic disease risk perception and explanatory models among French- and Swahili-speaking African migrants,2012,"Maxwell Cooper, Seeromanie Harding, Kenneth Mullen, Catherine O'Donnell"
A 20-year-old female with hemoptysis and high blood pressure: An unusual case of papillary renal cell carcinoma,2014,"Kabir Olaniran, Rajiv Pulinthanathu, Waina Cheng"
A Phase II Study of GW786034 (Pazopanib) With or Without Bicalutamide in Patients With Castration-Resistant Prostate Cancer,2014,"Anthony M Joshua, Richard Gregg, Christopher M Booth, Nevin Murray, Jovana Golubovic, Lisa Wang, Pamela Harris, Kim N Chi, Srikala S Sridhar"
A Proposal to Unify the Classification of Breast and Prostate Cancers Based on the Anatomic Site of Cancer Origin and on Long-term Patient Outcome,2014,"László Tabár, László Tabár, Jean C-Y Fann, Peter B Dean, Peter B Dean, Amy M-F Yen, Miklós Tarján, Miklós Tarján, Sherry Y-H Chiu, Sherry Y-H Chiu, Amy M-F Yen, Sam L-S Chen, Tony H-H Chen, Jean C-Y Fann, Sam L-S Chen, Tony H-H Chen"
A Single Dose Respiratory Recombinant Adenovirus-Based Vaccine Provides Long-Term Protection for Non-Human Primates from Lethal Ebola Infection,2014,"Kelly L Michie, Mark J Myers, David B Weiner, Jason X Xu, Jonathan Audet, Lisa Fernando, Jim Strong, Gary Wong, Maria A Croyle, Jin Huk Choi, Kristina Jonsson-Schmunk, Alexander Bello, Lilian Q Tran, Gary P Kobinger, Stephen C Schafer, Irnela Bajrovic, Xiangguo Qiu, Devon J Shedlock"
A Type II Arabinogalactan from Anoectochilus formosanus for G-CSF Production in Macrophages and Leukopenia Improvement in CT26-Bearing Mice Treated with 5-Fluorouracil,2013,"Li-Chan Yang, Ting-Jang Lu, Wen-Chuan Lin"
A biofeedback cycling training to improve locomotion: a case series study based on gait pattern classification of 153 chronic stroke patients,2011,"Franco Molteni, Eleonora Guanziroli, Simona Ferrante, Paola Ravelli, Emilia Ambrosini, Alessandra Pedrocchi, Giancarlo Ferrigno"
A case-control study on the association between chronic prostatitis/chronic pelvic pain syndrome and erectile dysfunction,2012,"Shiu-Dong Chung, Joseph J Keller, Herng-Ching Lin"
A clinical trial of pulpotomy vs. root canal therapy of mature molars,2010,"S Asgary, M J Eghbal"
A clinicoradiological study of odontogenic carcinomas and their impact on clinical diagnosis,2012,"N Okada, A Tetsumura, A Kuribayashi, M Ida, T Kurabayashi"
A comparative overview of general risk factors associated with the incidence of colorectal cancer,2013,"Sabha Rasool, Showkat Ahmad Kadla, Vamiq Rasool, Bashir Ahmad Ganai"
A comparison of rt-PA thrombolysis guidelines between China and the USA: are changes needed?,2014,"Jing Xu, Yongjin Zhang, Hongyu Wei, Yan Xu, Min Wang, Zenglin Cai, Xiaomin Li"
A comparison of the orthotic effect of the Odstock Dropped Foot Stimulator and the Walkaide functional electrical stimulation systems on energy cost and speed of walking in Multiple Sclerosis,2014,"Lorna Paul, Paul Mattison, Danny Rafferty, Linda Miller"
A flavonoid chrysin suppresses hypoxic survival and metastatic growth of mouse breast cancer cells,2013,"Ikuo Saiki, Takeyuki Maruyama, Sirivan Athikomkulchai, Jisnuson Svasti, Somsak Ruchirawat, Satoru Yokoyama, Kriengsak Lirdprapamongkol, Hideo Yagita, Suresh Awale, Sherif Abdelhamed, Hiroaki Sakurai, Amornrat Viriyaroj"
A framework for voxel-based morphometric analysis of the optic radiation using diffusion tensor imaging in glaucoma,2011,"Ahmed El-Rafei, Tobias Engelhorn, Simone Wärntges, Arnd Dörfler, Joachim Hornegger, Georg Michelson"
A high blood lactate induced by heavy exercise does not affect the increase in submaximal VO2 with hyperoxia,2005,"F B Favier, F Prieur, O Grataloup, T Busso, J Castells, C Denis, A Geyssant, H Benoit"
A large solitary fibrous tumor of the tongue,2011,"Masashi Migita, Masahiro Yoshino, Daisuke Kobayashi, Shuhei Shiomi, Kazuaki Enatsu, Shiro Shigematsu, Hitoshi Ohata"
A microRNA upregulated in asthma airway T cells promotes TH2 cytokine production,2014,"Nirav R Bhakta, David F Choy, Sana Patel, Hans D Brightbill, Xin Ren, Laura J Simpson, Yanli Wang, Heather H Pua, Misty M Montoya, Marisella Panduro, Kelly A Remedios, Xiaozhu Huang, John V Fahy, Joseph R Arron, Prescott G Woodruff, K Mark Ansel, Dirk Baumjohann"
