player,birthplace
Michael Reiziger,"Amstelveev,Holland"
Ryan Babel,"Amsterdam, Holland"
Mario Melchiot,"Amsterdam, Holland"
Djibril Cisse,"Arles,France"
Andy Van der Meyde,"Arnheim, Netherlands"
Simone Perrotta,"Ashon, England"
Roque Santa Cruz,"Asuncion, Paraguay"
Angelos Basinas,"Athens, Greece"
Stylianos Giannakopoulos,"Athens, Greece"
Benito Carbone,"Bagnara Calabra ,Italy"
Damien Duff,"Ballyboden, Ireland"
Albert Luque,"Barcelona,Spain"
Antonio Cassano,"Bari,Italy"
Jamie Redknapp,"Barton-on-Sea,England"
Hakan Yakin,"Basel,Switzerland"
Jermaine Defoe,"Beckton,England"
Arjen Robben,"Bedum,Holland"
Mateja Kezman,"Belgrade, Serbia-Montenegro"
Dejan Stankovic,"Belgrade, Yougoslavie"
Milenko Acimovic,"Belgrade,Yugoslavia"
Niko Kovac,"Berlin, Germany"
Thomas Hassler,"Berlin,Germany"
Christian Ziege,"Berlin,Germany"
Paul Robinson,"Beverley, England"
Alberto Gilardino,"Biella, Italy"
Dimitar Berbatov,"Blagoevgrad,Bulgaria"
Vincent Candela,"Bordeaux,France"
Kaka,"Brasilia,Brazil"
Andrea Pirlo,"Brescia, Italy"
Diego Placente,"Buenos Aires, Argentina"
Gabriel Milito,"Buenos Aires, Argentina"
Claudio Caniggia,"Buenos Aires,Argentina"
Javier Zanetti,"Buenos Aires,Argentina"
Fernando Redondo,"Buenos Aires,Argentina"
Fernando Caceres,"Buenos Aires,Argentina"
Gary Neville,"Bury,England"
Phil Neville,"Bury,England"
Mido,"Cairo, Egypt"
Roberto Baggio,"Caldogno,Italy"
Claudio Pizarro,"Callao, Peru"
Nolberto Solano,"Callao, Peru"
Dino Baggio,"Camposampiero,Italy"
Dwight Yorke,"Canaan,Trinidad & Tobago"
Diego Lugano,"Canelones , Uruguay"
Quinton Fortune,"Cape Town,South Africa"
Leandro Romagnoli,"Capital Federal,Argentina"
Federico Insua,"Capital Federal,Argentina"
Ryan Giggs,"Cardiff,Wales"
Cristiano Zanetti,"Carrara,Italy"
Eddie Lewis,"Cerritos, California, United States"
Mikael Silvestre,"Chambray-Les-Tours, France"
Pavel Nedved,"Cheb, Czech Republic"
Michael Ballack,"Chemnitz,Germany"
Gianluca Zambrotta,"Como,Italy"
Alessandro Del Piero,"Conegliano,Italy"
Michael Laudrup,"Copenhagen, Denmark"
Dennis Rommedahl,"Copenhagen,Denmark"
Fabricio Coloccini,"Cordoba,Argentina"
Denis Irwin,"Cork,Ireland"
Stefano Fiore,"Cosenza,Italy"
Gabriel Heinze,"Crespo,Argentina"
