Field,Laureate
Chemistry,Jacobus Henricus van 't Hoff•À_
Literature,Sully Prudhomme•À_
Physics,Wilhelm Conrad R•À_ntgen•À_
Medicine,Emil Adolf von Behring•À_
The Nobel Peace Prize,Fr•À_d•À_ric Passy•À_
The Nobel Peace Prize,Jean Dunant•À_
Chemistry,Hermann Fischer•À_
Literature,Christian Mommsen•À_
Physics,Hendrik Lorentz•À_
Physics,Pieter Zeeman•À_
Medicine,Ronald Ross•À_
The Nobel Peace Prize,Charles Albert Gobat•À_
The Nobel Peace Prize,•À_lie Ducommun•À_
Chemistry,Svante August Arrhenius•À_
Literature,Bj•À_rnstjerne Martinus Bj•À_rnson•À_
Physics,Antoine Henri Becquerel•À_
Physics,"Marie Curie, n•À_e Sklodowska•À_"
Physics,Pierre Curie•À_
Medicine,Niels Ryberg Finsen•À_
The Nobel Peace Prize,William Randal Cremer•À_
Chemistry,Sir William Ramsay•À_
Literature,Fr•À_d•À_ric Mistral•À_
Literature,Jos•À_ Echegaray y Eizaguirre•À_
Physics,Lord Rayleigh (John William Strutt)•À_
Medicine,Ivan Petrovich Pavlov•À_
The Nobel Peace Prize,Institut de droit international (Institute of International Law)•À_
Chemistry,Johann Friedrich Wilhelm Adolf von Baeyer•À_
Literature,Henryk Sienkiewicz•À_
Physics,Philipp Eduard Anton von Lenard•À_
Medicine,Robert Koch•À_
The Nobel Peace Prize,"Baroness Bertha Sophie Felicita von Suttner, n•À_e Countess Kinsky von Chinic und Tettau•À_"
Chemistry,Henri Moissan•À_
Literature,Giosu•À_ Carducci•À_
Physics,Joseph John Thomson•À_
Medicine,Camillo Golgi•À_
Medicine,Santiago Ram•À_n y Cajal•À_
The Nobel Peace Prize,Theodore Roosevelt•À_
Chemistry,Eduard Buchner•À_
Literature,Rudyard Kipling•À_
Physics,Albert Abraham Michelson•À_
Medicine,Charles Louis Alphonse Laveran•À_
The Nobel Peace Prize,Ernesto Teodoro Moneta•À_
The Nobel Peace Prize,Louis Renault•À_
Chemistry,Ernest Rutherford•À_
Literature,Rudolf Christoph Eucken•À_
Physics,Gabriel Lippmann•À_
Medicine,Ilya Ilyich Mechnikov•À_
Medicine,Paul Ehrlich•À_
The Nobel Peace Prize,Fredrik Bajer•À_
The Nobel Peace Prize,Klas Pontus Arnoldson•À_
Chemistry,Wilhelm Ostwald•À_
Literature,Selma Ottilia Lovisa Lagerl•À_f•À_
Physics,Guglielmo Marconi•À_
Physics,Karl Ferdinand Braun•À_
Medicine,Emil Theodor Kocher•À_
The Nobel Peace Prize,Auguste Marie Fran•À_ois Beernaert•À_
The Nobel Peace Prize,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque•À_"
Chemistry,Otto Wallach•À_
Literature,Paul Johann Ludwig Heyse•À_
Physics,Johannes Diderik van der Waals•À_
Medicine,Albrecht Kossel•À_
The Nobel Peace Prize,Bureau international permanent de la Paix (Permanent International Peace Bureau)•À_
Chemistry,"Marie Curie, n•À_e Sklodowska•À_"
Literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck•À_
Physics,Wilhelm Wien•À_
Medicine,Allvar Gullstrand•À_
The Nobel Peace Prize,Alfred Hermann Fried•À_
The Nobel Peace Prize,Tobias Michael Carel Asser•À_
Chemistry,Paul Sabatier•À_
Chemistry,Victor Grignard•À_
Literature,Gerhart Johann Robert Hauptmann•À_
Physics,Nils Gustaf Dal•À_n•À_
Medicine,Alexis Carrel•À_
The Nobel Peace Prize,Elihu Root•À_
Chemistry,Alfred Werner•À_
Literature,Rabindranath Tagore•À_
Physics,Heike Kamerlingh Onnes•À_
Medicine,Charles Robert Richet•À_
The Nobel Peace Prize,Henri La Fontaine•À_
Chemistry,Theodore William Richards•À_
Literature,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Physics,Max von Laue•À_
