name,number,team
Barnes Harrison,40,Golden State Warriors
Bazemore Kent,20,Golden State Warriors
Biedriņs Andris,15,Golden State Warriors
Bogut Andrew,12,Golden State Warriors
Curry Stephen,30,Golden State Warriors
Ezeli Festus,31,Golden State Warriors
Green Draymond,23,Golden State Warriors
Jack Jarrett,2,Golden State Warriors
Jefferson Richard,44,Golden State Warriors
Jones Dwayne,27,Golden State Warriors
Landry Carl,7,Golden State Warriors
Lee David,10,Golden State Warriors
Machado Scott,1,Golden State Warriors
Rush Brandon,4,Golden State Warriors
Thompson Klay,11,Golden State Warriors
Pierce Paul,34,Boston Celtics
Melo Fab,13,Boston Celtics
Duncan Tim,6,San Antonio Spurs
Parker Tony,9,San Antonio Spurs
Gasol Pau,16,Los Angeles Lakers
Bryant Kobe,24,Los Angeles Lakers
Favors Derrick,15,Utah Jazz
Jerrett Grant,17,Utah Jazz
Barnes Matt,22,Los Angeles Clippers
Griffin Blake,32,Los Angeles Clippers
Randolph Zach,50,Memphis Grizzlies
Daye Austin,5,Memphis Grizzlies
Hayes Chuck,44,Toronto Raptors
Lowry Kyle,7,Toronto Raptors
Akognon Josh,10,Dallas Mavericks 
Nowitzki Dirk,41,Dallas Mavericks 
Harden James,13,Houston Rockets
Lin Jeremy,7,Houston Rockets
Deng Luol,9,Chicago Bulls
Noah Joakim,Chicago Bulls
Smith Ish,15,Milwaukee Bucks
Jennings Brandon,3,Milwaukee Bucks
Evans Tyreke,13,Sacramento Kings
Thomas Isaiah,22,Sacramento Kings
