Country,Location,Unesco Site
Cuba,La Habana,Old Havana and its Fortifications
Cuba,Sancti Spíritus,Trinidad and theValley de los Ingenios
Cuba,Santiago de Cuba,San Pedro de la Roca CastleSantiago de Cuba
Cuba,Granma,Desembarco del Granma National Park
Cuba,Pinar del Río Province,Viñales Valley
Cuba,Santiago de Cuba andGuantánamo,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba.
Cuba,Holguín andGuantánamo,Alejandro de Humboldt National Park
Cuba,Cienfuegos,Urban Historic Centre ofCienfuegos
Cuba,Camagüey,Historic Centre ofCamagüey
South Korea,Seoul,Changdeokgung Palace Complex
South Korea,North Jeolla Province South Jeolla Province and Incheon,Gochang Hwasun and Ganghwa Dolmen Sites
South Korea,North Gyeongsang Province,Gyeongju Historic Areas
South Korea,South Gyeongsang Province,Haeinsa Temple Janggyeong Panjeon the Depositories for the Tripitaka Koreana Woodblocks
South Korea,North Gyeongsang Province,Historic Villages of Korea: Hahoe andYangdong
South Korea,Gyeonggi Province,Hwaseong Fortress
South Korea,Jeju Province,Jeju Volcanic Island and Lava Tubes
South Korea,Seoul,Jongmyo Shrine
South Korea,Gyeonggi Province and Seoul,Royal Tombs of the Joseon Dynasty
South Korea,North Gyeongsang Province,Seokguram Grottoand Bulguksa Temple
Thailand,Udon Thani Province,Ban Chiang Archaeological Site
Thailand,Saraburi Nakhon Ratchasima Nakhon NayokPrachinburi Sa Kaeo and Buriram Provinces,Dong Phayayen-Khao Yai Forest Complex
Thailand,Ayutthaya province,Historic City of Ayutthaya
Thailand,Sukhothai and Kamphaeng Phet Provinces,Historic Town of Sukhothai and Associated Historic Towns
Thailand,Kanchanaburi Tak and Uthai Thani Provinces,Thungyai-Huai Kha Khaeng Wildlife Sanctuaries
Austria,Styria,City of Graz – Historic Centre and Schloss Eggenberg
Austria,Burgenland andGyőr-Moson-Sopron County,Fertö / Neusiedlersee Cultural Landscape
Austria,Salzkammergut,Hallstatt-Dachstein /SalzkammergutCultural Landscape
Austria,Salzburg,Historic Centre of Salzburg
