Animal,Genus and Species
Frogs,Rana capito
Frogs,Rana catesbeiana
Frogs,Rana clamitans
Frogs,Rana grylio
Frogs,Rana heckscheri
Frogs,Rana pipiens
Frogs,Rana sphenocephala
Frogs,Rana spp.
Narrow-Mouth Toads and Sheep Frogs,Gastrophryne carolinensis
Salamanders,Ambystoma maculatum
Salamanders,Eurycea bislineata
Spadefoot Toads,Scaphiopus holbrookii
Toads,Bufo quercicus
Toads,Bufo terrestris
Tree Frogs,Acris crepitans
Tree Frogs,Acris crepitans blanchardi
Tree Frogs,Hyla andersonii
Tree Frogs,Hyla cinerea
Albatross,Phoebastria immutabilis
Albatross,Phoebastria nigripes
Anhingas,Anhinga anhinga
Auks and Puffins,Aethia spp.
Auks and Puffins,Aethia cristatella
Auks and Puffins,Aethia psittacula
Auks and Puffins,Aethia pusilla
Auks and Puffins,Aethia pygmaea
Auks and Puffins,Alle alle
Auks and Puffins,Alca torda
Auks and Puffins,Brachyramphus brevirostris
Auks and Puffins,Brachyramphus marmoratus
Auks and Puffins,Cepphus columba
Auks and Puffins,Cerorhinca monocerata
Auks and Puffins,Fratercula cirrhata
Auks and Puffins,Fratercula corniculata
Auks and Puffins,Ptychoramphus aleuticus
Auks and Puffins,Synthiloboramphus antiquus
Auks and Puffins,Uria aalge
Auks and Puffins,Uria lomvia
Auks and Puffins,Uria spp.
Avocets and Stilts,Himantopus mexicanus
Avocets and Stilts,Recurvirostra americana
Barn Owls,Tyto alba
"Blackbirds, Orioles, and Allies",Agelaius phoeniceus
"Blackbirds, Orioles, and Allies",Agelaius tricolor
"Blackbirds, Orioles, and Allies",Dolichonyx oryzivorus
"Blackbirds, Orioles, and Allies",Euphagus carolinus
"Blackbirds, Orioles, and Allies",Icterus galbula
"Blackbirds, Orioles, and Allies",Molothrus ater
"Blackbirds, Orioles, and Allies",Quiscalus major
"Blackbirds, Orioles, and Allies",Quiscalus mexicanus
"Blackbirds, Orioles, and Allies",Quiscalus quiscula
"Blackbirds, Orioles, and Allies",Sturnella magna
"Blackbirds, Orioles, and Allies",Sturnella neglecta
Chickadees and Titmice,Baeolophus spp.
Chickadees and Titmice,Poecile atricapillus
Chickadees and Titmice,Poecile carolinensis
"Coots, Rails, and Gallinules",Fulica americana
"Coots, Rails, and Gallinules",Gallinula chloropus
"Coots, Rails, and Gallinules",Porphyrio martinica
"Coots, Rails, and Gallinules",Porzana carolina
"Coots, Rails, and Gallinules",Rallus elegans
"Coots, Rails, and Gallinules",Rallus limicola
"Coots, Rails, and Gallinules",Rallus longirostris
"Coots, Rails, and Gallinules",Rallus longirostris obsoletus
Cormorants,Phalacrocorax auritus
Cormorants,Phalacrocorax brasilianus
Cormorants,Phalacrocorax carbo
Cormorants,Phalacrocorax olivaceus
Cormorants,Phalacrocorax pelagicus
Cormorants,Phalacrocorax penicillatus
Cormorants,Phalacrocorax spp.
Cormorants,Phalacrocorax urile
Cranes,Grus canadensis
Cranes,Grus canadensis pulla
