Animal,Genus and Species Common Name
Frogs,Gopher Frog
Frogs,Bullfrog
Frogs,Green Frog
Frogs,Pig Frog
Frogs,River Frog
Frogs,Northern Leopard Frog
Frogs,Southern Leopard Frog
Frogs,Frog
Narrow-Mouth Toads and Sheep Frogs,Eastern Narrow-Mouthed Toad
Salamanders,Spotted Salamander
Salamanders,Northern Two-lined Salamander
Spadefoot Toads,Eastern Spadefoot Toad
Toads,Oak Toad
Toads,Southern Toad
Tree Frogs,Northern Cricket Frog
Tree Frogs,Blanchard’s Cricket Frog
Tree Frogs,Pine Barrens Treefrog
Tree Frogs,Green Treefrog
Albatross,Laysan Albatross
Albatross,Black-Footed Albatross
Anhingas,Anhinga
Auks and Puffins,Auklet
Auks and Puffins,Crested Auklet
Auks and Puffins,Parakeet Auklet
Auks and Puffins,Least Auklet
Auks and Puffins,Whiskered Auklet
Auks and Puffins,Dovekie
Auks and Puffins,Razorbill
Auks and Puffins,Kittlitz's Murrelet
Auks and Puffins,Marbled Murrelet
Auks and Puffins,Pigeon Guillemot
Auks and Puffins,Rhinoceros Auklet
Auks and Puffins,Tufted Puffin
Auks and Puffins,Horned Puffin
Auks and Puffins,Cassin’s Auklet
Auks and Puffins,Ancient Murrelet
Auks and Puffins,Common Murre
Auks and Puffins,Thick-Billed Murre
Auks and Puffins,Murre
Avocets and Stilts,Black-Necked Stilt
Avocets and Stilts,American Avocet
Barn Owls,Barn Owl
"Blackbirds, Orioles, and Allies",Red-Winged Blackbird
"Blackbirds, Orioles, and Allies",Tricolored Blackbird
"Blackbirds, Orioles, and Allies",Bobolink
"Blackbirds, Orioles, and Allies",Rusty Blackbird
"Blackbirds, Orioles, and Allies",Baltimore Oriole
"Blackbirds, Orioles, and Allies",Brown-Headed Cowbird
"Blackbirds, Orioles, and Allies",Boat-Tailed Grackle
"Blackbirds, Orioles, and Allies",Great-Tailed Grackle
"Blackbirds, Orioles, and Allies",Common Grackle
"Blackbirds, Orioles, and Allies",Eastern Meadowlark
"Blackbirds, Orioles, and Allies",Western Meadowlark
Chickadees and Titmice,Titmouse
Chickadees and Titmice,Black-Capped Chickadee
Chickadees and Titmice,Carolina Chickadee
"Coots, Rails, and Gallinules",American Coot
"Coots, Rails, and Gallinules",Common Moorhen
"Coots, Rails, and Gallinules",Purple Gallinule
"Coots, Rails, and Gallinules",Sora
"Coots, Rails, and Gallinules",King Rail
"Coots, Rails, and Gallinules",Virginia Rail
"Coots, Rails, and Gallinules",Clapper Rail
"Coots, Rails, and Gallinules",California Clapper Rail
Cormorants,Double-Crested Cormorant
Cormorants,Neotropic Cormorant
