Artist,Studio Album
Nirvana,Bleach
Nirvana,Nevermind
Nirvana,In Utero
Pearl Jam,Ten
Pearl Jam,Vs.
Pearl Jam,Vitalogy
Pearl Jam,No Code
Pearl Jam,Yield
Pearl Jam,Binaural
Pearl Jam,Riot Act
Pearl Jam,Pearl Jam
Pearl Jam,Backspacer
Arcade Fire,Funeral
Arcade Fire,Neon Bible
Arcade Fire,The Suburbs
Queen,Queen
Queen,Queen II
Queen,Sheer Heart Attack
Queen,A Night at the Opera
Queen,A Day at the Races
Queen,News of the World
Queen,Jazz
Queen,The Game
Queen,Flash Gordon
Queen,Hot Space
Queen,The Works
Queen,A Kind of Magic
Queen,The Miracle
Queen,Innuendo
Queen,Made in Heaven
Spice Girls,Spice
Spice Girls,Spiceworld
Spice Girls,Forever
Take That,Take That & Party
Take That,Everything Changes
Take That,Nobody Else
Take That,Beautiful World
Take That,The Circus
Take That,Progress
Take That,III
Jeff Buckley,Grace
Rancid,Rancid
Rancid,Let's Go
Rancid,…and out come the wolves
Rancid,life don't wait
Rancid,indestructible
Rancid,let the dominoes fall
Metallica,Kill'Em all
Metallica,Ride the lightning
Metallica,Master of Puppets
Metallica,…and justice for all
Metallica,Metallica
Metallica,Load
Metallica,Reload
Metallica,St. Anger
Metallica,Death Magnetic
Bob Marley and the Wailers,The wailing wailers
Bob Marley and the Wailers,Soul rebels
Bob Marley and the Wailers,soul revolution
Bob Marley and the Wailers,the best of wailers
Bob Marley and the Wailers,catch a fire
Bob Marley and the Wailers,burnin'
Bob Marley and the Wailers,natty dread
Bob Marley and the Wailers,rastaman vibration
Bob Marley and the Wailers,exodus
Bob Marley and the Wailers,kaya
Bob Marley and the Wailers,survival
Bob Marley and the Wailers,uprising
Bob Marley and the Wailers,confrontation
Madonna,Madonna
Madonna,Live a virgin
Madonna,True blue
Madonna,Like a prayer
Madonna,Erotica
Madonna,Bedtime stories
Madonna,Ray of light
Madonna,Music
Madonna,American life
Madonna,Conefssions on a dance floor
Madonna,Hard candy
Madonna,MDNA
Adele,19
Adele,21
Amy Winehouse,Frank
Amy Winehouse,Back to Black
Snoop Dogg,Doggystile
Snoop Dogg,the doggfather
Snoop Dogg,da game is to be sold, not to be told
Snoop Dogg,no limit top dogg
Snoop Dogg,tha last meal
Snoop Dogg,paid that cost to be da boss
Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece
Snoop Dogg,the blue carpet treatment
Snoop Dogg,ego trippin'
Snoop Dogg,malice n wonderland
Snoop Dogg,doggumentary
Red Hot Chili Peppers,The Red Hot Chili Peppers
Red Hot Chili Peppers,Freaky styley
Red Hot Chili Peppers,the uplift mofo party plan
Red Hot Chili Peppers,mother's milk
Red Hot Chili Peppers,blood sugar sex magik
Red Hot Chili Peppers,one hot minute
Red Hot Chili Peppers,californication
Red Hot Chili Peppers,by the way
Red Hot Chili Peppers,stadium arcadium
Red Hot Chili Peppers,I'm with you
The Byrds, Sweetheart Of The Rodeo
The Byrds, Younger Than Yesterday
The Byrds, The Notorious Byrd Brothers
The Byrds, Fifth Dimension
The Byrds, Mr. Tambourine Man
