Athlete,Date,Event
Abera Kuma,9/28/14,30 km
Aries Merritt,9/7/12,110 m hurdles
Ashton Eaton,8/29/15,Decathlon
Bernardo Segura,5/7/94,"20,000 m walk"
Daniel Komen,9/1/96,3000 m
David Rudisha,8/9/12,800 m
Dennis Kipruto Kimetto,5/6/12,25 km
Dennis Kipruto Kimetto,9/28/14,Marathon
Emmanuel Mutai,9/28/14,30 km
Geoffrey Kipsang Kamworor,9/28/14,30 km
Haile Gebrselassie,6/27/07,"20,000 m"
Haile Gebrselassie,6/27/07,One hour
Hicham El Guerrouj,7/14/98,1500 m
Hicham El Guerrouj,7/7/99,Mile
Hicham El Guerrouj,9/7/99,2000 m
Jan Zelezny,5/25/96,Javelin
Javier Sotomayor,7/27/93,High jump
Jonathan Edwards,8/7/95,Triple jump
Jurgen Schult,6/6/86,Discus throw
Kenenisa Bekele,5/31/04,5000 m
Kenenisa Bekele,8/26/05,"10,000 m"
Kevin Young,8/6/92,400 m hurdles
Leonard Patrick Komon,9/26/10,10 km
Leonard Patrick Komon,11/21/10,15 km
Maurizio Damilano,10/3/92,2 hours walk
Maurizio Damilano,10/3/92,"30,000 m walk"
Michael Johnson,8/26/99,400 m
Mike Powell,8/30/91,Long jump
Moses Mosop,6/3/11,"25,000 m"
Moses Mosop,6/3/11,"30,000 m"
Noah Ngeny,9/5/99,1000 m
Paquillo Fernandez,7/27/08,"10,000 m walk"
Randy Barnes,5/20/90,Shot put
Renaud Lavillenie,2/15/14,Pole vault
Roman Rasskazov,5/28/00,10 km walk
Saif Saaeed Shaheen,9/3/04,3000 m steeplechase
Takahiro Sunada,6/21/98,100 km
Usain Bolt,8/16/09,100 m
Usain Bolt,8/20/09,200 m
Wilfred Kirwa Kigen,9/28/14,30 km
Yohann Diniz,3/12/11,"50,000 m walk"
Yohann Diniz,8/15/14,50 km walk
Yuriy Sedykh,8/30/86,Hammer throw
Yusuke Suzuki,3/15/15,20 km walk
Zersenay Tadese,3/21/10,20 km
Zersenay Tadese,3/21/10,Half marathon
