Athlete,Date,Meeting
Abera Kuma,9/28/14,Berlin Marathon
Aries Merritt,9/7/12,Memorial Van Damme
Ashton Eaton,8/29/15,World Masters Athletics Championships
Daniel Komen,9/1/96,Rieti Meeting
David Rudisha,8/9/12,Olympic Games
Dennis Kipruto Kimetto,5/6/12,BIG 25
Dennis Kipruto Kimetto,9/28/14,Berlin Marathon
Emmanuel Mutai,9/28/14,Berlin Marathon
Geoffrey Kipsang Kamworor,9/28/14,Berlin Marathon
Haile Gebrselassie,6/27/07,Golden Spike Ostrava
Hicham El Guerrouj,7/14/98,Golden Gala
Hicham El Guerrouj,7/7/99,Golden Gala
Hicham El Guerrouj,9/7/99,ISTAF
Jonathan Edwards,8/7/95,World Masters Athletics Championships
Kenenisa Bekele,5/31/04,Fanny Blankers-Koen Games
Kenenisa Bekele,8/26/05,Memorial Van Damme
Kevin Young,8/6/92,Olympic Games
Leonard Patrick Komon,9/26/10,Singelloop
Leonard Patrick Komon,11/21/10,Zevenheuvelenloop
Michael Johnson,8/26/99,World Masters Athletics Championships
Mike Powell,8/30/91,World Masters Athletics Championships
Moses Mosop,6/3/11,Prefontaine Classic
Noah Ngeny,9/5/99,Rieti Meeting
Randy Barnes,5/20/90,Jack in the Box Invitational
Renaud Lavillenie,2/15/14,Pole Vault Stars
Saif Saaeed Shaheen,9/3/04,Memorial Van Damme
Usain Bolt,8/16/09,World Masters Athletics Championships
Usain Bolt,8/20/09,World Masters Athletics Championships
Wilfred Kirwa Kigen,9/28/14,Berlin Marathon
Yohann Diniz,8/15/14,European Championships
Yuriy Sedykh,8/30/86,European Championships
Yusuke Suzuki,3/15/15,Asian Race Walking Championships
Zersenay Tadese,3/21/10,Lisbon Half Marathon
