Athlete,Date,Place
Abera Kuma,9/28/14,"Berlin, Germany"
Aries Merritt,9/7/12,"Brussels, Belgium"
Ashton Eaton,8/29/15,"Beijing, China"
Bernardo Segura,5/7/94,"Bergen, Norway"
Daniel Komen,9/1/96,"Rieti, Italy"
David Rudisha,8/9/12,"London, Great Britain"
Dennis Kipruto Kimetto,5/6/12,"Berlin, Germany"
Dennis Kipruto Kimetto,9/28/14,"Berlin, Germany"
Emmanuel Mutai,9/28/14,"Berlin, Germany"
Geoffrey Kipsang Kamworor,9/28/14,"Berlin, Germany"
Haile Gebrselassie,6/27/07,"Ostrava, Czech Republic"
Hicham El Guerrouj,7/14/98,"Rome, Italy"
Hicham El Guerrouj,7/7/99,"Rome, Italy"
Hicham El Guerrouj,9/7/99,"Berlin, Germany"
Jan Zelezny,5/25/96,"Jena, Germany"
Javier Sotomayor,7/27/93,"Salamanca, Spain"
Jonathan Edwards,8/7/95,"Gothenburg, Sweden"
Jurgen Schult,6/6/86,"Neubrandenburg, East Germany"
Kenenisa Bekele,5/31/04,"Hengelo, Netherlands"
Kenenisa Bekele,8/26/05,"Brussels, Belgium"
Kevin Young,8/6/92,"Barcelona, Spain"
Leonard Patrick Komon,9/26/10,"Utrecht, Netherlands"
Leonard Patrick Komon,11/21/10,"Nijmegen, Netherlands"
Maurizio Damilano,10/3/92,"Cuneo, Italy"
Michael Johnson,8/26/99,"Seville, Spain"
Mike Powell,8/30/91,"Tokyo, Japan"
Moses Mosop,6/3/11,"Eugene, United States"
Noah Ngeny,9/5/99,"Rieti, Italy"
Paquillo Fernandez,7/27/08,"Santa Cruz de Tenerife, Spain"
Randy Barnes,5/20/90,"Westwood, United States"
Renaud Lavillenie,2/15/14,"Donetsk, Ukraine"
Roman Rasskazov,5/28/00,"Saransk, Russia"
Saif Saaeed Shaheen,9/3/04,"Brussels, Belgium"
Takahiro Sunada,6/21/98,"Yubetsu, Japan"
Usain Bolt,8/16/09,"Berlin, Germany"
Usain Bolt,8/20/09,"Berlin, Germany"
Wilfred Kirwa Kigen,9/28/14,"Berlin, Germany"
Yohann Diniz,3/12/11,"Reims, France"
Yohann Diniz,8/15/14,"Zurich, Switzerland"
Yuriy Sedykh,8/30/86,"Stuttgart, Germany"
Yusuke Suzuki,3/15/15,"Nomi, Japan"
Zersenay Tadese,3/21/10,"Lisbon, Portugal"
