Country,HeadState
Italy,De Nicola
Italy,Einaudi
Italy,Gronchi
Italy,Segni
Italy,Saragat
Italy,Leone
Italy,Pertini
Italy,Cossiga
Italy,Scalfaro
Italy,Ciampi
Italy,Napolitano
Luxembourg,Adolphe
Luxembourg,William IV
Luxembourg,Marie-Ad‚la‹de
Luxembourg,Charlotte
Luxembourg,Jean
Luxembourg,Henri
Iceland,Bj”rnsson
Iceland,µsgeirsson
Iceland,Eldj rn
Iceland,Finnbogad¢ttir
Iceland,Ragnar Gr¡msson
Serbia,Renner
Serbia,Figl
Serbia,Korner
Serbia,Raab
Serbia,Scharf
Serbia,Klaus
Serbia,Jonas
Serbia,Kirchschlager
Serbia,Klestil
Serbia,Fischer
Greece,Stasinopoulos
Greece,Tsatsos
Greece,Karamanlis
Greece,Sartzetakis
Greece,Karamanlis
Greece,Stephanopoulos
Greece,Papoulias
