Country,StartingYear,HeadState
Italy,1946,De Nicola
Italy,1948,Einaudi
Italy,1955,Gronchi
Italy,1962,Segni
Italy,1964,Saragat
Italy,1971,Leone
Italy,1978,Pertini
Italy,1985,Cossiga
Italy,1992,Scalfaro
Italy,1999,Ciampi
Italy,2006,Napolitano
Luxembourg,1890,Adolphe
Luxembourg,1905,William IV
Luxembourg,1912,Marie-Adélaïde
Luxembourg,1919,Charlotte
Luxembourg,1964,Jean
Luxembourg,2000,Henri
Iceland,1944,Björnsson
Iceland,1952,Ásgeirsson
Iceland,1968,Eldjárn
Iceland,1980,Finnbogadóttir
Iceland,1996,Ragnar Grímsson
Serbia,1945,Renner
Serbia,1950,Figl
Serbia,1951,Korner
Serbia,1957,Raab
Serbia,1963,Scharf
Serbia,1965,Klaus
Serbia,1971,Jonas
Serbia,1974,Kirchschlager
Serbia,1986,Klestil
Serbia,2004,Fischer
Greece,1974,Stasinopoulos
Greece,1975,Tsatsos
Greece,1980,Karamanlis
Greece,1985,Sartzetakis
Greece,1990,Karamanlis
Greece,1995,Stephanopoulos
Greece,2005,Papoulias
