Country,Building
 United States,Chrysler Building
 United States,Empire State Building
 United States,John Hancock Center
 United States,Aon Center
 United States,Willis Tower
 United States,JPMorgan Chase Tower
 United States,Wells Fargo Plaza
 United States,U.S. Bank Tower
 United States,Franklin Center
 Hong Kong,Bank of China Tower
 United States,Two Prudential Plaza
 Hong Kong,Central Plaza
 United States,Bank of America Plaza
 China,Shun Hing Square
 China,CITIC Plaza
 Republic of China,Tuntex Sky Tower
 Thailand,Baiyoke Tower II
 Malaysia,Petronas Tower 1
 Malaysia,Petronas Tower 2
 Hong Kong,The Center
 China,Jin Mao Tower
 UAE,Burj Al Arab
 UAE,Emirates Office Tower
 UAE,Jumeirah Emirates Towers Hotel
 Malaysia,Menara Telekom
 Saudi Arabia,Kingdom Centre
 Hong Kong,Two International Finance Centre
 Taiwan,Taipei 101
 China,Shimao International Plaza
 Australia,Q1
 UAE,Rose Tower
 Hong Kong,Nina Tower
 United States,New York Times Building
 Qatar,Aspire Tower
 China,Shanghai World Financial Center
 China,Minsheng Bank Building
 UAE,The Address Downtown Burj Khalifa
 United States,Trump International Hotel and Tower
 United States,Bank of America Tower
 UAE,Almas Tower
 China,China World Trade Center Tower 3
 Kuwait,Arraya 2
 UAE,Burj Khalifa
 Hong Kong,International Commerce Centre The Ritz-Carlton Hong Kong
 China,Zifeng Tower
 China,Guangzhou International Finance Center
 China,Tianjin World Financial Center
 UAE,The Index
 China,Wenzhou World Trade Center
 UAE,HHHR Tower
 UAE,Ocean Heights
 South Korea,Northeast Asia Trade Tower
 Russia,Moscow Tower
 China,KK100
 Kuwait,Al Hamra Tower
 UAE,The Marina Torch
 Vietnam,Keangnam Hanoi Landmark Tower
 China,Longxi International Hotel
 China,Pearl River Tower
 UAE,Etihad Tower 2
 China,Leatop Plaza
 South Korea,We've the Zenith Tower A
 Saudi Arabia,Abraj Al-Bait Clock Tower
 UAE,Princess Tower
 UAE,23 Marina
 UAE,Elite Residence
 China,The Pinnacle
 UAE,JW Marriott Marquis Dubai Tower 1
 UAE,JW Marriott Marquis Dubai Tower 2
 Russia,Mercury City Tower
 UAE,The Landmark
 China,Moi Center
 United Kingdom,The Shard
 China,East Pacific Center Tower A
 Chile,Gran Torre Santiago
 China,Modern Media Center
 UAE,Al Yaqoub Tower
 China,Deji Plaza Phase 2
 Saudi Arabia,Burj Rafal
 UAE,Cayan Tower
 United States,One57
 United States,One World Trade Center
 China,The Wharf Times Square
 China,Chongqing World Financial Center
 China,Wuxi Suning Plaza 1
 China,Wuxi Maoye City - Marriott Hotel
 China,Heung Kong Tower
 Japan,Abeno Harukas
 China,Nanjing International Youth Cultural Centre Tower 1
 Russia,Stalnaya Vershina
 China,Greenland Puli Center
 China,Jiangxi Nanchang Greenland Central Plaza 1
 China,Jiangxi Nanchang Greenland Central Plaza 2
 China,Gate of the Orient
 North Korea,Ryugyong Hotel
