Fast Food Restaurant,Type,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Carbs (g),Sodium (mg)
McDonald's,Quarter Pounder,169,410,19,7,1,37,730
McDonald's,Quarter Pounder (cheese),198,510,26,12,1.5,40,1190
McDonald's,Double Quarter Pounder (cheese),279,740,42,19,2.5,40,1380
McDonald's,Big Mac,214,540,29,10,1.5,43,1040
McDonald's,Double Cheeseburger,165,440,23,11,1.5,34,1150
McDonald's,Big N' Tasty,206,460,24,8,1.5,37,720
McDonald's,Big N' Tasty (cheese),220,510,28,11,1.5,38,960
Burger King,Whopper,290,670,39,11,1.5,51,1020
Burger King,Whopper (cheese),315,760,47,16,1.5,52,1450
Burger King,Double Whopper,373,900,57,19,2,51,1090
Burger King,Double Whopper (cheese),398,990,64,24,2.5,52,1520
Burger King,Triple Whopper,456,1130,74,27,3,51,1160
Burger King,Triple Whopper (cheese),480,1230,82,32,3.5,52,1590
Burger King,Whopper Jr,158,370,21,6,0.5,31,570
Burger King,Whopper Jr. (cheese),170,410,24,8,1,32,780
Burger King,Double Hamburger,164,410,21,9,1,30,600
Burger King,Double Stacker,190,610,39,16,1.5,32,1100
Burger King,Triple Stacker,250,800,54,23,2,33,1450
Burger King,Quad Stacker,311,1000,68,30,3,34,1800
Burger King,Double Cheeseburger,189,500,29,14,1.5,31,1030
Wendy's,Single,Unknown,430,20,7,1,37,900
Wendy's,Double (cheese),Unknown,700,40,16,2.5,38,1500
Wendy's,Triple (cheese),Unknown,980,59,25,3.5,38,2090
Wendy's,Baconator,Unknown,830,51,22,2.5,35,1920
Hardee's,Thickburger,349,910,64,21,Unknown,53,1560
Hardee's,Cheeseburger,254,680,39,19,Unknown,52,1450
Hardee's,Mushroom N' Swiss Thickburger,276,720,42,21,Unknown,48,1570
Hardee's,Bacon Cheese Thickburger,334,910,64,24,Unknown,50,1550
Hardee's,Low Carb Thickburger,245,420,32,12,Unknown,5,1010
Hardee's,Six Dollar Burger,412,1060,73,28,Unknown,58,1950
Hardee's,Grilled Sourdough Thickburger,381,1030,77,28,Unknown,42,1910
Hardee's,Double Thickburger,471,1250,90,35,Unknown,54,2160
Hardee's,Double Bacon Cheese Thickburger,463,1300,97,38,Unknown,50,2200
Hardee's,Monster Thickburger,413,1420,108,43,Unknown,46,2770
Hardee's,Double Cheeseburger,186,510,26,5,Unknown,38,1120
Hardee's,Double Hamburger,161,420,19,5,Unknown,37,670
A&amp;W,Papa Burger,288,720,42,15,4,46,1390
A&amp;W,Bacon Double Cheeseburger,303,800,48,17,4,47,1610
A&amp;W,Double Cheeseburger,288,720,42,15,4,46,1370
A&amp;W,Bacon Cheeseburger,223,570,33,10,3.5,41,1200
In-N-Out Burger,Double-Double,330,670,41,18,1,39,1440
Jack in the Box,Bacon Ultimate Cheeseburger,338,1090,77,30,3,53,2040
Jack in the Box,Bacon n' Cheese Ciabatta Burger,395,1120,76,28,3,66,1670
Jack in the Box,Jumbo Jack,261,600,35,12,1.5,51,940
Jack in the Box,Jumbo Jack (cheese),286,690,42,16,1.5,54,1310
Jack in the Box,Junior Bacon Cheeseburger,131,430,25,9,1,30,820
Jack in the Box,Single Bacon n' Cheese Ciabatta Burger,308,870,54,18,1.5,66,1550
Jack in the Box,Sirloin Cheeseburger,421,1070,71,25,1.5,61,1850
Jack in the Box,Sirloin Bacon n' Cheese Burger,422,1120,73,24,2.5,63,2620
Jack in the Box,Sourdough Jack,245,710,51,18,3,36,1230
Jack in the Box,Sourdough Ultimate Cheeseburger,291,950,73,29,4.5,36,1360
Jack in the Box,Ultimate Cheeseburger,323,1010,71,28,3,53,1580
White Castle,Bacon Cheeseburger,71,200,11,5,1,15,480
White Castle,Double White Castle,104,250,13,5,1,22,340
White Castle,Double Cheeseburger,118,300,17,8,1.5,23,590
White Castle,Double Jalapeno Cheeseburger,122,320,19,9,1.5,23,680
White Castle,Double Bacon Cheeseburger,130,370,22,10,1.5,23,880
Sonic,Bacon Cheeseburger,279,780,48,16,1.5,57,1300
Sonic,SuperSonic Cheeseburger (mayo),343,980,64,24,2.5,58,1430
Sonic,Sonic Burger (mayo),248,650,37,10,1,55,720
Sonic,Sonic Cheeseburger (mayo),266,720,42,14,1.5,56,1040
Sonic,Dixie Burger,255,660,37,10,1,55,810
Sonic,Dixie Cheeseburger,273,720,42,14,1.5,56,1120
Sonic,California Cheeseburger,266,690,39,13,1.5,57,1060
Sonic,SuperSonic Jalapeno Cheeseburger,313,890,53,22,2.5,56,1600
Sonic,Thousand Island Cheeseburger,266,680,38,13,1.5,58,1130
Sonic,Jalapeno Cheeseburger,215,610,31,12,1.5,53,930
Sonic,Jalapeno Burger,197,550,26,9,1,52,610
Sonic,Green Chili Cheeseburger,287,630,31,12,1.5,56,1070
Sonic,Chili Cheeseburger,226,660,35,14,1.5,56,990
Sonic,Hickory Cheeseburger,236,640,31,12,1.5,61,1170
Sonic,Jr. Double Cheeseburger,190,570,35,16,1.5,33,1290
Dairy Queen,Homestyle Double Cheeseburger,226,640,34,18,1,34,950
Dairy Queen,Homestyle Bacon Double Cheeseburger,245,730,41,21,1,35,1270
Dairy Queen,Ultimate Burger,259,780,48,22,1.5,33,1110
Dairy Queen,1/4 lb FlameThrower GrillBurger,245,780,54,14,3,41,1490
Dairy Queen,1/2 lb FlameThrower GrillBurger,344,1030,73,23,4,41,2020
Dairy Queen,Classic GrillBurger,212,470,23,7,2.5,42,1020
Dairy Queen,Classic GrillBurger (cheese),231,560,30,11,2.5,42,1160
Dairy Queen,1/2 lb GrillBurger,297,670,37,12,3.5,42,1310
Dairy Queen,1/2 lb GrillBurger (cheese),330,820,49,19,3.5,47,1510
Dairy Queen,Bacon Cheddar GrillBurger,229,650,37,13,2.5,41,1480
Dairy Queen,Mushroom Swiss GrillBurger,210,630,40,11,3,39,950
Carl's Jr,Six Dollar Burger,430,1010,68,27,Unknown,60,1980
Carl's Jr,Western Bacon Six Dollar Burger,382,1130,66,28,Unknown,83,2540
Carl's Jr,Bacon Cheese Six Dollar Burger,409,1070,76,30,Unknown,50,1910
Carl's Jr,Double Six Dollar Burger,602,1520,111,47,Unknown,60,2760
Carl's Jr,Low Carb Six Dollar Burger,267,490,37,15,Unknown,6,1290
Carl's Jr,Famous Star (cheese),278,660,39,12,Unknown,53,1260
Carl's Jr,Super Star (cheese),385,930,59,21,Unknown,54,1600
Carl's Jr,Philly Cheesesteak Burger,297,830,55,17,Unknown,52,1510
Carl's Jr,Western Bacon Cheeseburger,241,710,33,12,Unknown,70,1480
Carl's Jr,Double Western Bacon Cheeseburger,323,970,52,21,Unknown,71,1820
Carl's Jr,Jalapeno Burger,286,720,45,8,Unknown,50,1320
Del Taco,Double Del Cheeseburger,202,560,35,12,Unknown,35,960
Del Taco,Bacon Double Del Cheeseburger,212,610,39,14,Unknown,35,1130
