Game,Year,Developer
Fer et flamme,1986,Ubisoft
Fred,1989,Ubisoft
Great Courts,1989,Ubisoft
Night Hunter,1989,Ubisoft
Prince of Persia,1989,Ubisoft
Puffy's Saga,1989,Ubisoft
Skateball,1989,Ubisoft
Twinworld,1989,Ubisoft
10 Megahits Vol. 2,1990,Ubisoft
B.A.T.,1990,Ubisoft
Pick 'n Pile,1990,Ubisoft
RanX,1990,Ubisoft
Unreal,1990,Ubisoft
10 Great Games,1991,Ubisoft
10 Megahits Vol. 3,1991,Ubisoft
Air Combat Aces,1991,Ubisoft
Great Courts 2,1991,Ubisoft
B.A.T. II - The Koshan Conspiracy,1992,Ubisoft
Dyna Blaster,1992,Ubisoft
F1 Pole Position,1993,Ubisoft
Indiana Jones and the Last Crusade,1993,Ubisoft
Jimmy Connors Pro Tennis Tour,1993,Ubisoft
Payuta,1994,Ubisoft
Street Racer,1994,Ubisoft
Action Soccer,1995,Ubisoft
Anvil of Dawn,1995,Ubisoft
Rayman,1995,Ubisoft
Alexi Lalas Red Hot Soccer,1996,Ubisoft
TIM7,1996,Ubisoft
The Adventures of Valdo & Marie,1997,Ubisoft
F1 Pole Position 64,1997,Ubisoft
POD - Planet of Death,1997,Ubisoft
Rayman Designer,1997,Ubisoft
Rayman Gold,1997,Ubisoft
Sub Culture,1997,Ubisoft
Tennis Arena,1997,Ubisoft
The Adventures of Valdo and Marie,1997,Ubisoft
All Star Tennis '99,1998,Ubisoft
Asghan: The Dragon Slayer,1998,Ubisoft
Buck Bumble,1998,Ubisoft
F1 Racing Simulation,1998,Ubisoft
Hexcite,1998,Ubisoft
Laura's Happy Adventures,1998,Ubisoft
Rayman Forever,1998,Ubisoft
Redline Racer,1998,Ubisoft
"Riven, The Sequel to Myst",1998,Ubisoft
S.C.A.R.S,1998,Ubisoft
Shadow Gunner: The Robot Wars,1998,Ubisoft
Skull Caps,1998,Ubisoft
Speed Busters: American Highways,1998,Ubisoft
Alex Builds His Farm,1999,Ubisoft
All You Can Play: 10 Racing Games,1999,Ubisoft
Hell-Copter,1999,Ubisoft
Hype: The Time Quest,1999,Ubisoft
Imperialism 2: Age of Exploration,1999,Ubisoft
Monaco Grand Prix,1999,Ubisoft
Monaco Grand Prix Racing Simulation 2,1999,Ubisoft
Rayman 2: The Great Escape,1999,Ubisoft
Rocket: Robot on Wheels,1999,Ubisoft
Speed Devils,1999,Ubisoft
Tom Clancy's Rainbow Six: Rogue Spear,1999,Ubisoft
Anne McCaffrey's Freedom: First Resistance,2000,Ubisoft
Animorphs,2000,Ubisoft
Arcatera: The Dark Brotherhood,2000,Ubisoft
Disney's Dinosaur,2000,Ubisoft
Grandia,2000,Ubisoft
Grandia 2,2000,Ubisoft
Infestation,2000,Ubisoft
Little Nicky,2000,Ubisoft
Myst Masterpiece Edition,2000,Ubisoft
POD 2 / POD: Speedzone,2000,Ubisoft
RealMYST,2000,Ubisoft
Speed Devils Online Racing,2000,Ubisoft
Stupid Invaders,2000,Ubisoft
Tom Clancy's Rainbow Six: Rogue Spear: Urban Operations,2000,Ubisoft
Tonic Trouble,2000,Ubisoft
Theocracy,2000,Ubisoft
Alex Ferguson's Player Manager 2001,2001,Ubisoft
Alfred Hitchcock Presents The Final Cut,2001,Ubisoft
Armored Core 2,2001,Ubisoft
Batman: Vengeance,2001,Ubisoft
Batman: Gotham City Racer,2001,Ubisoft
Batman: Chaos in Gotham,2001,Ubisoft
Battle Realms,2001,Ubisoft
Business Tycoon,2001,Ubisoft
Capitalism 2,2001,Ubisoft
Conquest: Frontier Wars,2001,Ubisoft
Dragon Riders: Chronicles of Pern,2001,Ubisoft
Evil Twin: Cyprien's Chronicles,2001,Ubisoft
F1 Racing Championship,2001,Ubisoft
IL-2 Sturmovik,2001,Ubisoft
Lunar Legend,2001,Ubisoft
Mum's Night Off,2001,Ubisoft
Myst III: Exile,2001,Ubisoft
Planet of the Apes,2001,Ubisoft
Rayman Advance,2001,Ubisoft
Rayman 2: Revolution,2001,Ubisoft
Rayman M,2001,Ubisoft
Sunny Garcia Surfing,2001,Ubisoft
Tom Clancy's Ghost Recon,2001,Ubisoft
Tom Clancy's Rainbow Six: Rogue Spear: Black Thorn,2001,Ubisoft
Worms World Party,2001,Ubisoft
Catz 5,2002,Ubisoft
Chessmaster 9000,2002,Ubisoft
Destroyer Command,2002,Ubisoft
Disney's PK: Out of the Shadows,2002,Ubisoft
Dogz 5,2002,Ubisoft
Evolution Worlds,2002,Ubisoft
Hooters Road Trip,2002,Ubisoft
Marcel Desailly Pro Football,2002,Ubisoft
Mike Tyson Boxing,2002,Ubisoft
Moto Racer Advance,2002,Ubisoft
Pro Rally 2002,2002,Ubisoft
Rayman Arena,2002,Ubisoft
Rayman Rush,2002,Ubisoft
Rocky,2002,Ubisoft
Telefoot Manager,2002,Ubisoft
Tom Clancy's Splinter Cell,2002,Ubisoft
The Elder Scrolls III: Morrowind,2002,Ubisoft
The Settlers IV: Mission Pack,2002,Ubisoft
The Settlers IV: The Trojans and the Elixir of Power,2002,Ubisoft
Warlords Battlecry II,2002,Ubisoft
Ape Escape 2,2003,Ubisoft
Batman: Rise of Sin Tzu,2003,Ubisoft
Beyond Good & Evil,2003,Ubisoft
Catching Granda Jimmy: Battle of the Ages,2003,Ubisoft
Charlie's Angels,2003,Ubisoft
"Crouching Tiger, Hidden Dragon",2003,Ubisoft
CSI: Crime Scene Investigation,2003,Ubisoft
Downtown Run,2003,Ubisoft
Lock On: Modern Air Combat,2003,Ubisoft
Monster 4x4: Masters of Metal,2003,Ubisoft
Prince of Persia: The Sands of Time,2003,Ubisoft
Rayman 3: Hoodlum Havoc,2003,Ubisoft
Shadowbane: The Rise of Chaos,2003,Ubisoft
Tom Clancy's Ghost Recon: Desert Siege,2003,Ubisoft
Tom Clancy's Ghost Recon: Island Thunder,2003,Ubisoft
Tom Clancy's Rainbow Six 3: Raven Shield,2003,Ubisoft
Uru: Ages Beyond Myst,2003,Ubisoft
Warlords IV: Heroes of Etheria,2003,Ubisoft
Will Rock,2003,Ubisoft
XIII,2003,Ubisoft
Alexander,2004,Ubisoft
Asphalt Urban GT,2004,Ubisoft
Advance Guardian Heroes,2004,Ubisoft
Ape Escape: Pumped & Primed,2004,Ubisoft
Baldur's Gate: Dark Alliance,2004,Ubisoft
Chessmaster 10th Edition,2004,Ubisoft
CSI: Dark Motives,2004,Ubisoft
CSI: Miami,2004,Ubisoft
Far Cry,2004,Ubisoft
IL-2 Sturmovik: Forgotten Battles Ace Expansion Pack,2004,Ubisoft
Myst IV: Revelation,2004,Ubisoft
Pacific Fighters,2004,Ubisoft
Prince of Persia: Warrior Within,2004,Ubisoft
Rocky Legends,2004,Ubisoft
Sherlock Holmes: Secret of the Silver Earring,2004,Ubisoft
Sprung,2004,Ubisoft
Star Wars Trilogy: Apprentice of the Force,2004,Ubisoft
Tom Clancy's Ghost Recon: Jungle Storm,2004,Ubisoft
Tom Clancy's Rainbow Six 3: Raven Shield: Athena Sword,2004,Ubisoft
Tom Clancy's Rainbow Six 3: Black Arrow,2004,Ubisoft
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,Ubisoft
The Dukes of Hazzard: Return of the General Lee,2004,Ubisoft
The Political Machine,2004,Ubisoft
Uru: The Path of the Shell,2004,Ubisoft
187: Ride or Die,2005,Ubisoft
Asphalt 2: Urban GT,2005,Ubisoft
Brothers in Arms: D-Day,2005,Ubisoft
Brothers in Arms: Earned in Blood,2005,Ubisoft
Brothers in Arms: Road to Hill 30,2005,Ubisoft
Cold Fear,2005,Ubisoft
Far Cry Instincts,2005,Ubisoft
Flow: Urban Dance Uprising,2005,Ubisoft
Heroes of the Pacific,2005,Ubisoft
Kutaaa: The Dog of World,2005,Ubisoft
Lunar: Dragon Song,2005,Ubisoft
Myst V: End of Ages,2005,Ubisoft
Peter Jackson's King Kong,2005,Ubisoft
Prince of Persia: The Two Thrones,2005,Ubisoft
Prince of Persia: Revelations,2005,Ubisoft
Rayman DS,2005,Ubisoft
Rayman: Hoodlums' Revenge,2005,Ubisoft
Silent Hunter III,2005,Ubisoft
Star Wars Episode III: Revenge of the Sith,2005,Ubisoft
Tom Clancy's Ghost Recon 2: Summit Strike,2005,Ubisoft
Tom Clancy's Rainbow Six 3: Raven Shield: Iron Wrath,2005,Ubisoft
Tom Clancy's Rainbow Six: Lockdown,2005,Ubisoft
Tom Clancy's Splinter Cell: Chaos Theory,2005,Ubisoft
The Settlers: Heritage of Kings,2005,Ubisoft
Tork: Prehistoric Punk,2005,Ubisoft
Trollz: Hair Affair!,2005,Ubisoft
Winnie the Pooh's Rumbly Tumbly Adventure,2005,Ubisoft
Yohoho! Puzzle Pirates,2005,Ubisoft
America's Army: Rise of a Soldier,2006,Ubisoft
AND 1 Streetball,2006,Ubisoft
Astonishia Story,2006,Ubisoft
Blazing Angels,2006,Ubisoft
Battles of Prince of Persia,2006,Ubisoft
Call of Juarez,2006,Ubisoft
CSI: 3 Dimensions of Murder,2006,Ubisoft
Dark Messiah of Might and Magic,2006,Ubisoft
Devil May Cry 3,2006,Ubisoft
Enchanted Arms,2006,Ubisoft
Faces of War,2006,Ubisoft
Far Cry Instincts Evolution,2006,Ubisoft
Far Cry Instincts Predator,2006,Ubisoft
Far Cry: Vengeance,2006,Ubisoft
GT Pro Series,2006,Ubisoft
Heroes of Might and Magic V,2006,Ubisoft
Heroes of Might and Magic V: Hammers of Fate,2006,Ubisoft
Import Tuner Challenge,2006,Ubisoft
Lost Magic,2006,Ubisoft
Monster 4x4 World Circuit,2006,Ubisoft
Open Season,2006,Ubisoft
Paradise,2006,Ubisoft
Rayman Raving Rabbids,2006,Ubisoft
Red Steel,2006,Ubisoft
Star Wars: Lethal Alliance,2006,Ubisoft
Street Riders,2006,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfighter,2006,Ubisoft
Tom Clancy's Rainbow Six: Critical Hour,2006,Ubisoft
Tom Clancy's Rainbow Six: Vegas,2006,Ubisoft
Tom Clancy's Splinter Cell: Essentials,2006,Ubisoft
Tom Clancy's Splinter Cell: Double Agent,2006,Ubisoft
Assassin's Creed,2007,Ubisoft
America's Army: True Soldiers,2007,Ubisoft
Beowulf: The Game,2007,Ubisoft
Blazing Angels 2: Secret Missions of WWII,2007,Ubisoft
Beowulf: The Game,2007,Ubisoft
Cranium Kabookii,2007,Ubisoft
CSI: Hard Evidence,2007,Ubisoft
The Dog Island,2007,Ubisoft
Driver: Parallel Lines,2007,Ubisoft
Driver 76,2007,Ubisoft
Heroes of Might and Magic V: Tribes of the East,2007,Ubisoft
Imagine: Animal Doctor,2007,Ubisoft
Imagine: Babyz,2007,Ubisoft
Imagine: Fashion Designer,2007,Ubisoft
Imagine: Figure Skater,2007,Ubisoft
Imagine: Master Chef,2007,Ubisoft
My French Coach,2007,Ubisoft
My French Coach Level 2: Intermediate,2007,Ubisoft
My Spanish Coach,2007,Ubisoft
My Spanish Coach Level 2: Intermediate,2007,Ubisoft
My Word Coach,2007,Ubisoft
My Dutch Coach,2007,Ubisoft
Naruto: Rise of a Ninja,2007,Ubisoft
No More Heroes,2007,Ubisoft
Pawly Pets: My Animal Hospital,2007,Ubisoft
Petz Dogz 2,2007,Ubisoft
Petz Catz 2,2007,Ubisoft
Prince of Persia: Rival Swords,2007,Ubisoft
Rayman Raving Rabbids 2,2007,Ubisoft
Real Football 2008,2007,Ubisoft
Resident Evil 4,2007,Ubisoft
Rocky Balboa,2007,Ubisoft
Silent Hunter 4: Wolves of the Pacific,2007,Ubisoft
Strategoÿ- Next Edition,2007,Ubisoft
Surf's Up,2007,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,Ubisoft
The Settlers II 10th Anniversary,2007,Ubisoft
The Settlers: Rise of an Empire,2007,Ubisoft
TMNT,2007,Ubisoft
World in Conflict,2007,Ubisoft
Armored Core: For Answer,2008,Ubisoft
Armored Core: for Answer,2008,Ubisoft
Battle of Giants: Dinosaurs,2008,Ubisoft
Brothers in Arms: Hell's Highway,2008,Ubisoft
Casar Millan's The Dog Whisperer,2008,Ubisoft
Circus Games,2008,Ubisoft
CSI: NY,2008,Ubisoft
Dark Messiah of Might and Magic: Elements,2008,Ubisoft
Emergency Heroes,2008,Ubisoft
Ener-G,2008,Ubisoft
Far Cry 2,2008,Ubisoft
Haze,2008,Ubisoft
Imagine Fashion Party,2008,Ubisoft
Imagine: Party Babyz,2008,Ubisoft
Lost: Via Domus,2008,Ubisoft
Movie Games,2008,Ubisoft
My Fun Facts Coach,2008,Ubisoft
My Japanese Coach,2008,Ubisoft
My Chinese Coach,2008,Ubisoft
My Life Coach,2008,Ubisoft
My SAT Coach,2008,Ubisoft
My Weight Loss Coach,2008,Ubisoft
Naruto: The Broken Bond,2008,Ubisoft
Petz: Crazy Monkeyz,2008,Ubisoft
Petz: Horsez Club,2008,Ubisoft
Petz: Rescue Wildlife Vet,2008,Ubisoft
Petz Sports: Dog Playground,2008,Ubisoft
Prince of Persia,2008,Ubisoft
Rayman Raving Rabbids TV Party,2008,Ubisoft
Shaun White Snowboarding,2008,Ubisoft
