HeadState,StartingYear,Country
De Nicola,1946,Italy
Einaudi,1948,Italy
Gronchi,1955,Italy
Segni,1962,Italy
Saragat,1964,Italy
Leone,1971,Italy
Pertini,1978,Italy
Cossiga,1985,Italy
Scalfaro,1992,Italy
Ciampi,1999,Italy
Napolitano,2006,Italy
Adolphe,1890,Luxembourg
William IV,1905,Luxembourg
Marie-Ad‚la‹de,1912,Luxembourg
Charlotte,1919,Luxembourg
Jean,1964,Luxembourg
Henri,2000,Luxembourg
Bj”rnsson,1944,Iceland
µsgeirsson,1952,Iceland
Eldj rn,1968,Iceland
Finnbogad¢ttir,1980,Iceland
Ragnar Gr¡msson,1996,Iceland
Renner,1945,Serbia
Figl,1950,Serbia
Korner,1951,Serbia
Raab,1957,Serbia
Scharf,1963,Serbia
Klaus,1965,Serbia
Jonas,1971,Serbia
Kirchschlager,1974,Serbia
Klestil,1986,Serbia
Fischer,2004,Serbia
Stasinopoulos,1974,Greece
Tsatsos,1975,Greece
Karamanlis,1980,Greece
Sartzetakis,1985,Greece
Karamanlis,1990,Greece
Stephanopoulos,1995,Greece
Papoulias,2005,Greece
