mountain,feet
Everest," 29,029 "
K2," 28,251 "
Kangchenjunga," 28,169 "
Lhotse," 27,940 "
Makalu," 27,762 "
Cho Oyu," 26,906 "
Dhaulagiri," 26,795 "
Manaslu," 26,759 "
Nanga Parbat," 26,657 "
Annapurna," 26,545 "
Gasherbrum I," 26,470 "
Broad Peak," 26,401 "
Gasherbrum II," 26,362 "
Shishapangma," 26,286 "
Gyachung Kang," 26,089 "
Gasherbrum III," 26,070 "
Annapurna II," 26,040 "
Gasherbrum IV," 26,024 "
Himalchuli," 25,896 "
Distaghil Sar," 25,869 "
Ngadi Chuli," 25,823 "
Nuptse," 25,791 "
Khunyang Chhish," 25,761 "
Masherbrum," 25,659 "
Nanda Devi," 25,643 "
Chomo Lonzo," 25,604 "
Batura Sar," 25,574 "
Kanjut Sar," 25,558 "
Rakaposhi," 25,551 "
Namcha Barwa," 25,531 "
Batura II," 25,466 "
Kamet," 25,446 "
Saltoro Kangri," 25,400 "
Batura III," 25,358 "
Kongur Tagh," 25,325 "
Jannu," 25,295 "
Molamenqing," 25,295 "
Gurla Mandhata," 25,243 "
Tirich Mir," 25,230 "
Saser Kangri," 25,171 "
Chogolisa," 25,148 "
Shispare," 24,970 "
Changtse," 24,879 "
Trivor," 24,859 "
Gangkhar Puensum," 24,836 "
Gongga Shan," 24,790 "
Annapurna III," 24,787 "
Kula Kangri," 24,783 "
Chogolisa II," 24,783 "
Muztagh Ata," 24,757 "
Skyang Kangri," 24,754 "
Yukshin Gardan Sar," 24,705 "
Annapurna IV," 24,688 "
Mamostong Kangri," 24,659 "
Ismoil Somoni Peak," 24,590 "
Noshaq," 24,580 "
Pumari Chhish," 24,580 "
Passu Sar," 24,528 "
Malubiting," 24,469 "
Gangapurna," 24,459 "
Jengish Chokusu," 24,406 "
K12," 24,370 "
Istor-o-Nal," 24,288 "
Ghent Kangri," 24,281 "
Haramosh Peak," 24,268 "
Kabru," 24,259 "
Ultar," 24,239 "
Rimo I," 24,229 "
Sherpi Kangri," 24,213 "
Labuche Kang," 24,170 "
Kirat Chuli," 24,163 "
Skil Brum," 24,147 "
Gimmigela Chuli," 24,114 "
Bojohagur Duanasir," 24,045 "
Chamlang," 24,012 "
JomolhariåÊ/Chomolhari," 23,996 "
Baltoro Kangri," 23,990 "
Siguang Ri," 23,976 "
The Crown," 23,934 "
Gyala Peri," 23,930 "
Porong Ri," 23,924 "
Baintha Brakk," 23,901 "
Yutmaru Sar," 23,894 "
K6," 23,891 "
Kangpenqing," 23,888 "
Mana Peak," 23,858 "
Muztagh Tower," 23,862 "
Diran," 23,809 "
Apsarasas Kangri," 23,770 "
Langtang Lirung," 23,711 "
Khartaphu," 23,665 "
Tongshanjiabu," 23,645 "
Langtang Ri," 23,638 "
Kangphu Kang," 23,635 "
Annapurna South," 23,684 "
Melungtse," 23,560 "
Liushi Shan," 23,514 "
Baruntse," 23,497 "
Pumori," 23,494 "
Nemjung," 23,425 "
Udren Zom," 23,425 "
Nun Kun," 23,409 "
Tilicho Peak," 23,406 "
Gauri Sankar," 23,406 "
Lenin Peak," 23,406 "
Api," 23,399 "
Pauhunri," 23,386 "
Korzhenevskaya," 23,310 "
Lunpo Gangri," 23,278 "
Tirsuli," 23,209 "
Dunagiri," 23,182 "
Kangto," 23,163 "
Nyegyi Kansang," 23,120 "
Kezhen Peak," 23,091 "
Shah Dhar," 23,091 "
Spantik," 23,054 "
Khan Tengri," 22,999 "
