mountain,meters
Mount Everest,"8,848"
K2,"8,611"
Kangchenjunga,"8,586"
Lhotse,"8,516"
Makalu,"8,462"
Cho Oyu,"8,201"
Dhaulagiri,"8,167"
Manaslu,"8,156"
Nanga Parbat,"8,125"
Annapurna,"8,091"
Gasherbrum I,"8,068"
Broad Peak,"8,047"
Gasherbrum II,"8,035"
Shishapangma,"8,012"
Gyachung Kang,"7,952"
Gasherbrum III,"7,946"
Annapurna II,"7,937"
Gasherbrum IV,"7,932"
Himalchuli,"7,893"
Distaghil Sar,"7,885"
Ngadi Chuli,"7,871"
Nuptse,"7,861"
Khunyang Chhish,"7,852"
Masherbrum,"7,821"
Nanda Devi,"7,816"
Chomo Lonzo,"7,804"
Batura Sar,"7,795"
Kanjut Sar,"7,790"
Rakaposhi,"7,788"
Namcha Barwa,"7,782"
Batura II,"7,762"
Kamet,"7,756"
Saltoro Kangri,"7,742"
Batura III,"7,729"
Kongur Tagh,"7,719"
Jannu,"7,710"
Molamenqing,"7,710"
Gurla Mandhata,"7,694"
Tirich Mir,"7,690"
Saser Kangri,"7,672"
Chogolisa,"7,665"
Shispare,"7,611"
Changtse,"7,583"
Trivor,"7,577"
Gangkhar Puensum,"7,570"
Gongga Shan,"7,556"
Annapurna III,"7,555"
Kula Kangri,"7,554"
Chogolisa II,"7,554"
Muztagh Ata,"7,546"
Skyang Kangri,"7,545"
Yukshin Gardan Sar,"7,530"
Annapurna IV,"7,525"
Mamostong Kangri,"7,516"
Ismoil Somoni Peak,"7,495"
Noshaq,"7,492"
Pumari Chhish,"7,492"
Passu Sar,"7,476"
Malubiting,"7,458"
Gangapurna,"7,455"
Jengish Chokusu,"7,439"
K12,"7,428"
Istor-o-Nal,"7,403"
Ghent Kangri,"7,401"
Haramosh Peak,"7,397"
Kabru,"7,394"
Ultar,"7,388"
Rimo I,"7,385"
Sherpi Kangri,"7,380"
Labuche Kang,"7,367"
Kirat Chuli,"7,365"
Skil Brum,"7,360"
Gimmigela Chuli,"7,350"
Bojohagur Duanasir,"7,329"
Chamlang,"7,319"
JomolhariåÊ/Chomolhari,"7,314"
Baltoro Kangri,"7,312"
Siguang Ri,"7,308"
The Crown,"7,295"
Gyala Peri,"7,294"
Porong Ri,"7,292"
Baintha Brakk,"7,285"
Yutmaru Sar,"7,283"
K6,"7,282"
Kangpenqing,"7,281"
Mana Peak,"7,272"
Muztagh Tower,"7,273"
Diran,"7,257"
Apsarasas Kangri,"7,245"
Langtang Lirung,"7,227"
Khartaphu,"7,213"
Tongshanjiabu,"7,207"
Langtang Ri,"7,205"
Kangphu Kang,"7,204"
Annapurna South,"7,219"
Melungtse,"7,181"
Liushi Shan,"7,167"
Baruntse,"7,162"
Pumori,"7,161"
Nemjung,"7,140"
Udren Zom,"7,140"
Nun Kun,"7,135"
Tilicho Peak,"7,134"
Gauri Sankar,"7,134"
Lenin Peak,"7,134"
Api,"7,132"
Pauhunri,"7,128"
Korzhenevskaya,"7,105"
Lunpo Gangri,"7,095"
Tirsuli,"7,074"
Dunagiri,"7,066"
Kangto,"7,060"
Nyegyi Kansang,"7,047"
Kezhen Peak,"7,038"
Shah Dhar,"7,038"
Spantik,"7,027"
Khan Tengri,"7,010"
