movie,actor,year,role
Platoon,Tom Berenger,1986,Sgt. Barnes
Platoon,Keith David,1986,King
Platoon,Willem Dafoe,1986,Sgt. Elias
Platoon,Forest Whitaker,1986,Big Harold
Platoon,Francesco Quinn,1986,Rhah
Platoon,Kevin Dillon,1986,Bunny
Platoon,John C. McGinley,1986,Sgt. O'Neill
Platoon,Reggie Johnson,1986,Junior
Platoon,Mark Moses,1986,Lt. Wolfe
Platoon,Corey Glover,1986,Francis
Platoon,Johnny Depp,1986,Lerner
Platoon,Chris Pedersen,1986,Crawford
Platoon,Bob Orwig,1986,Gardner
Platoon,Corkey Ford,1986,Manny
Platoon,David Neidorf,1986,Tex
Platoon,Charlie Sheen,1986,Chris
Platoon,Richard Edson,1986,Sal
Platoon,Tony Todd,1986,Warren
Platoon,Kevin Eshelman,1986,Morehouse
Platoon,James Terry McIlvain,1986,Ace
Platoon,J. Adam Glover,1986,Sanderson
Platoon,Ivan Kane,1986,Tony
Platoon,Paul Sanchez,1986,Doc
Platoon,Dale Dye,1986,Captain Harris
Platoon,Peter Hicks,1986,Parker
Platoon,Basile Achara,1986,Flash
Platoon,Steve Barredo,1986,Fu Sheng
Platoon,Chris Castillejo,1986,Rodriguez
Platoon,Andrew B. Clark,1986,Tubbs
Platoon,Bernardo Manalili,1986,Village Chief
Platoon,Than Rogers,1986,Village Chief's Wife
Platoon,Li Thi Van,1986,Village Chief's Daughter
Platoon,Clarisa Ortacio,1986,Old Woman
Platoon,Romy Sevilla,1986,One-Legged Man
Platoon,Mathew Westfall,1986,Terrified Soldier
Platoon,Nick Nicholson,1986,Mechanized Soldier 1 (as Nick Nickelson)
Platoon,Warren McLean,1986,Mechanized Soldier 2
Platoon,Li Mai Thao,1986,Rape Victim
Platoon,Ron Barracks,1986,Medic
American Beauty,Kevin Spacey,1999,Lester Burnham
American Beauty,Annette Bening,1999,Carolyn Burnham
American Beauty,Thora Birch,1999,Jane Burnham
American Beauty,Wes Bentley,1999,Ricky Fitts
American Beauty,Mena Suvari,1999,Angela Hayes
American Beauty,Chris Cooper,1999,Colonel Fitts
American Beauty,Peter Gallagher,1999,Buddy Kane
American Beauty,Allison Janney,1999,Barbara Fitts
American Beauty,Scott Bakula,1999,Jim Olmeyer
American Beauty,Sam Robards,1999,Jim Berkley
American Beauty,Barry Del Sherman,1999,Brad
American Beauty,Ara Celi,1999,Sale House Woman 1
American Beauty,John Cho,1999,Sale House Man 1
American Beauty,Fort Atkinson,1999,Sale House Man 2
American Beauty,Sue Casey,1999,Sale House Woman 2
American Beauty,Kent Faulcon,1999,Sale House Man 3
American Beauty,Brenda Wehle,1999,Sale House Women 4
American Beauty,Lisa Cloud,1999,Sale House Women 4
American Beauty,Alison Faulk,1999,Spartanette 1
American Beauty,Krista Goodsitt,1999,Spartanette 2
American Beauty,Lily Houtkin,1999,Spartanette 3
American Beauty,Carolina Lancaster,1999,Spartanette 4
American Beauty,Mona Leah,1999,Spartanette 5 (as Romana Leah)
American Beauty,Chekesha Van Putten,1999,Spartanette 6 (as Chekesa Van Putten)
American Beauty,Emily Zachary,1999,Spartanette 7
American Beauty,Nancy Anderson,1999,Spartanette 8
American Beauty,Reshma Gajjar,1999,Spartanette 9
American Beauty,Stephanie Rizzo,1999,Spartanette 10
American Beauty,Heather Joy Sher,1999,Playground Girl 1
American Beauty,Chelsea Hertford,1999,Playground Girl 2
American Beauty,Amber Smith,1999,Christy Kane
American Beauty,Joel McCrary,1999,Catering Boss
American Beauty,Marissa Jaret Winokur,1999,Mr. Smiley's Counter Girl (Janine)
American Beauty,Dennis Anderson,1999,Mr. Smiley's Manager
American Beauty,Matthew Kimbrough,1999,Firing Range Attendant
American Beauty,Erin Cathryn Strubbe,1999,Young Jane
Rocky IV,Sylvester Stallone,1985,Rocky Balboa
Rocky IV,Talia Shire,1985,Adrian
Rocky IV,Burt Young,1985,Paulie
Rocky IV,Carl Weathers,1985,Apollo Creed
Rocky IV,Brigitte Nielsen,1985,Ludmilla
Rocky IV,Tony Burton,1985,Duke
Rocky IV,Michael Pataki,1985,Nicoli Koloff
Rocky IV,Dolph Lundgren,1985,Drago
Rocky IV,Stu Nahan,1985,Commentator 1
Rocky IV,R.J. Adams,1985,Sports Announcer
Rocky IV,Al Bandiero,1985,American Commentator 2
Rocky IV,Dominic Barto,1985,Russian Government Official
Rocky IV,Danial Brown,1985,Rocky Jr.'s Friend
Rocky IV,James Brown,1985,The Godfather of Soul
Rocky IV,Rose Mary Campos,1985,Maid
Rocky IV,Jack Carpenter,1985,KGB main.Driver
Rocky IV,Mark De Alessandro,1985,Russian Cornerman (as Mark DeAlessandro)
Rocky IV,Marty Denkin,1985,Russian Referee
Rocky IV,Lou Fillipo,1985,Las Vegas Referee (as Lou Filippo)
Rocky IV,James 'Cannonball' Green,1985,Manuel Vega
Rocky IV,Dean Hammond,1985,Interviewer
Rocky IV,Rocky Krakoff,1985,Rocky Jr.
Rocky IV,Sergei Levin,1985,Russian Ring Announcer
Rocky IV,Tony Maffatone,1985,KGB Agent (as Anthony Maffatone)
Rocky IV,Sylvia Meals,1985,Mrs. Creed
Rocky IV,Dwayne McGee,1985,Limo main.Driver
Rocky IV,LeRoy Neiman,1985,Ring Announcer
Rocky IV,George Pipasik,1985,Caretaker
Rocky IV,George Rogan,1985,Igor Rimsky
Rocky IV,Barry Tompkins,1985,American Commentator 1
Rocky IV,Warner Wolf,1985,Commentator 2 in Las Vegas
Rocky IV,Robert Doornick,1985,Sico the Robot (voice)
Rocky IV,Richard Blum,1985,Reporter
Rocky IV,Gerald Berns,1985,Reporter
Rocky IV,Ray Glanzmann,1985,Reporter
Rocky IV,Julie Inouye,1985,Reporter
Rocky IV,Patrick Pankhurst,1985,Reporter
Rocky IV,Jean Thoreau,1985,Reporter
Rocky IV,Jim Bullock,1985,Reporter
Rocky IV,Frank D'Annibale,1985,Reporter
Rocky IV,Rose Dursey,1985,Reporter (as Rose Dursy)
Rocky IV,Richard Kelley,1985,Reporter (as Rick Kelley)
Rocky IV,Craig Schaefer,1985,Reporter
Rocky IV,Jeff Austin,1985,Reporter
Rocky IV,Leslie Morris,1985,Reporter
Rocky IV,Bob Giovane,1985,Reporter
Rocky IV,Julio Herzer,1985,Reporter
Rocky IV,George Spaventa,1985,Reporter
Rocky IV,Rolf Williams,1985,Reporter
Rocky IV,Jim Hodge,1985,Reporter
The Blues Brothers,John Belushi,1980,'Joliet' Jake Blues (as Jake)
The Blues Brothers,Dan Aykroyd,1980,Elwood Blues (as Elwood)
The Blues Brothers,James Brown,1980,Reverend Cleophus James
The Blues Brothers,Cab Calloway,1980,Curtis
The Blues Brothers,Ray Charles,1980,Ray
The Blues Brothers,Aretha Franklin,1980,Mrs. Murphy
The Blues Brothers,Steve Cropper,1980,Steve 'The Colonel' Cropper
The Blues Brothers,Donald Dunn,1980,Donald 'Duck' Dunn (as Donald 'Duck' Dunn)
The Blues Brothers,Murphy Dunne,1980,Murphy 'Murph' Dunne
The Blues Brothers,Willie Hall,1980,Willie 'Too Big' Hall
The Blues Brothers,Tom Malone,1980,Tom 'Bones' Malone
The Blues Brothers,Lou Marini,1980,'Blue Lou' Marini
The Blues Brothers,Matt Murphy,1980,Matt 'Guitar' Murphy
The Blues Brothers,Alan Rubin,1980,Alan 'Mr. Fabulous' Rubin
The Blues Brothers,Carrie Fisher,1980,Mystery Woman
The Blues Brothers,Henry Gibson,1980,Head Nazi
The Blues Brothers,John Candy,1980,Burton Mercer
The Blues Brothers,Kathleen Freeman,1980,Sister Mary Stigmata (a.k.a. The Penguin)
The Blues Brothers,Steve Lawrence,1980,Maury Sline
The Blues Brothers,Twiggy,1980,Chic Lady
The Blues Brothers,Frank Oz,1980,Corrections Officer
The Blues Brothers,Jeff Morris,1980,Bob
The Blues Brothers,Charles Napier,1980,Tucker McElroy
The Blues Brothers,Steven Williams,1980,Trooper Mount (as Steve Williams)
The Blues Brothers,Armand Cerami,1980,Trooper Daniel
The Blues Brothers,Tom Erhart,1980,Prison Guard
The Blues Brothers,Gerald Walling,1980,Prison Guard (as Gerald Walling SJ)
The Blues Brothers,Walter Levine,1980,Prison Guard
