Novel,Year,Author
The Twenty-Seventh Cityÿ,1988,Jonathan Franzen
Strong Motionÿ,1992,Jonathan Franzen
The Corrections,2001,Jonathan Franzen
Freedom,2010,Jonathan Franzen
The Catcher in the Rye,1951,J. D. Salinger
Franny and Zooeyÿ,1961,J. D. Salinger
 The Torrents of Spring,1926,Ernest Hemingway
 The Sun Also Rises,1926,Ernest Hemingway
 A Farewell to Arms,1929,Ernest Hemingway
 To Have and Have Not,1937,Ernest Hemingway
 For Whom the Bell Tolls,1940,Ernest Hemingway
 Across the River and into the Trees,1950,Ernest Hemingway
 The Old Man and the Sea,1952,Ernest Hemingway
 Islands in the Stream,1970,Ernest Hemingway
 The Garden of Eden,1986,Ernest Hemingway
Cup of Gold,1929,John Steinbeck
To a God Unknown,1933,John Steinbeck
Tortilla Flat,1935,John Steinbeck
In Dubious Battle,1936,John Steinbeck
The Grapes of Wrath,1939,John Steinbeck
The Moon Is Down,1942,John Steinbeck
Cannery Row,1945,John Steinbeck
The Wayward Bus,1947,John Steinbeck
East of Eden,1952,John Steinbeck
Sweet Thursday,1954,John Steinbeck
The Short Reign of Pippin IV: A Fabrication,1957,John Steinbeck
The Winter of Our Discontent,1961,John Steinbeck
Garden State ,1992,Rick Moody
The Ice Storm ,1994,Rick Moody
Purple America ,1996,Rick Moody
The Diviners ,2005,Rick Moody
The Four Fingers of Death ,2010,Rick Moody
The Broom of the Systemÿ,1987,David Foster Wallace
Infinite Jest,1996,David Foster Wallace
The Pale King,2011,David Foster Wallace
 V.,1963,Thomas Pynchon
 The Crying of Lot 49,1966,Thomas Pynchon
 Gravity's Rainbow,1973,Thomas Pynchon
 Vineland,1990,Thomas Pynchon
 Mason & Dixon,1997,Thomas Pynchon
 Against the Day,2006,Thomas Pynchon
 Inherent Vice,2009,Thomas Pynchon
 Bleeding Edge,2013,Thomas Pynchon
