River,Country
Nile _ Kagera,Ethiopia
Nile _ Kagera, Eritrea
Nile _ Kagera, Sudan
Nile _ Kagera, Uganda
Nile _ Kagera, Tanzania
Nile _ Kagera, Kenya
Nile _ Kagera, Rwanda
Nile _ Kagera, Burundi
Nile _ Kagera, Egypt
Nile _ Kagera, Democratic Republic of the Congo
Nile _ Kagera, South Sudan
Amazon _ Ucayali _ Apur¡mac,Brazil
Amazon _ Ucayali _ Apur¡mac, Peru
Amazon _ Ucayali _ Apur¡mac, Bolivia
Amazon _ Ucayali _ Apur¡mac, Colombia
Amazon _ Ucayali _ Apur¡mac, Ecuador
Amazon _ Ucayali _ Apur¡mac, Venezuela
Amazon _ Ucayali _ Apur¡mac, Guyana
Yangtze,China
Mississippi_Missouri_Jefferson,United States
Mississippi_Missouri_Jefferson,Canada
Yenisei_Angara_Selenge,Russia
Yenisei_Angara_Selenge,Mongolia
Ob_Irtysh,Russia
Ob_Irtysh, Kazakhstan
Ob_Irtysh, China
Ob_Irtysh, Mongolia
Paran  _ R¡o de la Plata,Brazil
Paran  _ R¡o de la Plata,Argentina
Paran  _ R¡o de la Plata,Paraguay
Paran  _ R¡o de la Plata,Bolivia
Paran  _ R¡o de la Plata,Uruguay
Congo_Chambeshi,Democratic Republic of the Congo
Congo_Chambeshi, Central African Republic
Congo_Chambeshi, Angola
Congo_Chambeshi, Republic of the Congo
Congo_Chambeshi, Tanzania
Congo_Chambeshi, Cameroon
Congo_Chambeshi, Zambia
Congo_Chambeshi, Burundi
Congo_Chambeshi, Rwanda
Amur_Argun,Russia
Amur_Argun, China
Amur_Argun, Mongolia
Lena,Russia
Mekong,China
Mekong, Myanmar
Mekong, Laos
Mekong, Thailand
Mekong, Cambodia
Mekong, Vietnam
Rio Grande,United States
Rio Grande,Mexico
Kolyma,Russia
Colorado,United States
Colorado,Mexico
Kasai,Angola
Kasai,Democratic Republic of the Congo
Vitim,Russia
Tigris,Turkey
Tigris,Iraq
Tigris,Syria
