player,height
Peter Crouch,198
Petr Cech,197
Edwin Van der Sar,197
Francesco Toldo,196
Sami Hyypia,196
John Carew,195
Christoph Metzelder,194
Tore Andre Flo,193
Georgios Samaras,193
Marco Materazzi,193
Paul Robinson,193
Sebastian Abreu,193
Zlatan Ibrahimovic,192
Laurent Blanc,192
Frederic Kanoute,192
Igor Tudor,192
Mido,190
Brad Friedel,190
Dado Prso,190
Jens Lehmann,190
Kevin Kuranyi,190
Emile Heskey,190
Kevin Kuranyi,190
Adriano,189
Fabian Carini,189
Jose Luis Chilavert,189
Roque Santa Cruz,189
Lucio,189
Markus Babbel,189
Sol Campbell,189
Martin Laursen,189
Michael Ballack,188
Mark Viduka,188
Dino Baggio,188
Oliver Kahn,188
Thierry Henry,188
Jonathan Woodgate,188
Diego Lugano,188
Vincenzo Iaquinta,188
Dimitar Berbatov,188
Ruud Van Nistelrooy,188
David Trezeguet,187
Jerzy Dudek,187
Mark Van Bommel,187
Franco Costanzo,187
Nigel Martyn,187
Alessandro Nesta,187
Francesco Coco,187
Jesper Gronkjaer,187
Mario Melchiot,187
Nicolas Anelka,186
Andreas Andersson,186
Juan Sebastian Veron,186
Umit Davala,186
Vitor Baia,186
Arjen Robben,186
Jamie Carragher,186
Marko Babic,186
Fernando Redondo,186
Kakha Kaladze,186
Christian Ziege,186
Milenko Acimovic,186
Sebastian Kehl,186
Kaka,185
Hernan Crespo,185
Lucas Radebe,185
Luca Toni,185
Zinedine Zidane,185
Didier Drogba,185
Ryan Babel,185
Martin Petrov,185
Ricardo Pereira,185
Joseph Yobo,185
Bruno N'Gotty,185
Cristiano Ronaldo,184
Mikael Silvestre,184
Salif Diao,184
Tim Borowski,184
Jan Kromkamp,184
Ricardo Carvalho,184
Alberto Gilardino,184
Daniele De Rossi,184
Mikael Forssell,184
Gareth Southgate,184
Milan Baros,184
Fernando Couto,184
Marek Jankulovski,184
Ernesto Farias,184
Djibril Cisse,183
Carlos Marchena,183
Frank Lampard,183
Jared Borgetti,183
Markus Rosenberg,183
Nicolas Burdisso,183
Ronaldo,183
Albert Luque,183
Michael Carrick,183
Jamie Redknapp,183
Jari Litmanen,183
Fabian Ernst,183
Kolo Toure,183
Rigobert Song,183
Ricardo Oliveira,183
Juan Pablo Angel,183
Ronaldinho,182
Fabricio Coloccini,182
Stewart Downing,182
Benedict McCarthy,182
Massimo Oddo,182
Pier Luigi Casiraghi,182
Rafael Marquez,182
El Hadji Diouf,182
Mateja Kezman,182
Giovane Elber,182
Lilian Thuram,182
Thomas Hitzlsperger,182
Shabani Nonda,182
Filippo Inzaghi,181
Florent Malouda,181
Gianluca Zambrotta,181
Jurgen Klinsmann,181
Pierre Wome,181
Stefano Fiore,181
Santiago Ca?izares,181
Harry Kewell,181
Ryan Giggs,181
Stephane Chapuisat,181
Angelo Peruzzi,181
Vincent Candela,181
Andy Van der Meyde,181
David Beckham,180
Stephen Warnock,180
Stilian Petrov,180
Ian Wright,180
Wilfred Bouma,180
Wayne Rooney,180
Claudio Pizarro,180
Cesc Fabregas,180
Dario Silva,180
Emmanuel Olisadebe,180
Francesco Totti,180
Iker Casillas,180
Salvador Cabanas,180
Zlatko Zahovic,180
Lukas Podolski,180
Fernando Cavenaghi,180
Christian Panucci,180
Cristiano Zanetti,180
Gary Neville,180
Dejan Stankovic,180
Raul Gonzalez,180
Dario Simic,180
Cosmin Contra,180
Michael Essien,180
Angelos Basinas,180
Phil Neville,180
Gerald Asamoah,180
Savo Milosevic,180
Les Ferdinand,180
Nuno Valente,180
Kiki Musampa,180
Barry Ferguson,180
Mauro Galvao,180
Pedro Pauleta,180
Fernando Caceres,180
Jon Dahl Tomasson,180
Hakan Yakin,180
Alvaro Recoba,179
Tomas Rosicky,179
Kieran Richardson,179
Paolo Montero,179
Samuel Eto'o,179
Helder Postiga,179
Roberto Baronio,179
Dwight Yorke,179
Michel Platini,179
Didier Domi,179
Federico Insua,179
Juninho Pernambucano,179
Claudio Reyna,178
Dennis Rommedahl,178
Gabriel Heinze,178
Javier Zanetti,178
Luizao,178
Simone Perrotta,178
Nick Barmby,178
Fernando Torres,178
Shunsuke Nakamura,178
Dmitry Alenichev,178
Michael Reiziger,178
Carles Puyol,178
Marco Van Basten,178
Marco Di Vaio,178
Giovanni Van Bronckhorst,178
Cuauhtemoc Blanco,177
Fabio Cannavaro,177
Ivan Hurtado,177
Christian Wilhelmsson,177
Damien Duff,177
Pavel Nedved,177
Anders Svensson,177
Andrea Pirlo,177
Ian Harte,177
Joseba Etxeberria,177
Fredrik Ljungberg,176
Niko Kovac,176
Robbie Keane,176
Ulises de La Cruz,176
Diego Placente,176
Enrico Chiesa,176
Steven Pienaar,176
Gabriel Milito,176
Steve Finnan,175
David Villa,175
Lee Bowyer,175
Danny Murphy,175
Hidetoshi Nakata,175
Giovanni Tedesco,175
Vicente,175
Kahveci Nihat,175
Antonio Cassano,175
Samuel Kuffour,175
Sidney Govou,175
Alex,174
Claude Makelele,174
Sylvain Wiltord,174
Deco,174
Nolberto Solano,174
Roberto Baggio,174
Diego Forlan,174
Anders Andersson,174
Ashley Cole,173
Denis Irwin,173
Josh Wolff,173
Ricardo Quaresma,173
Gaizka Mendieta,173
Sergei Rebrov,173
Alessandro Del Piero,173
Michael Laudrup,173
Maniche,173
Robinho,172
Alex Aguinaga,172
Claudio Caniggia,172
Ze Roberto,172
Vincenzo Montella,172
Leandro Romagnoli,172
Stylianos Giannakopoulos,172
Oliver Neuville,171
Emre Belozoglu,171
Mauro Rosales,171
Obafemi Martins,170
Taylor Twellman,170
Kieron Dyer,170
Wesley Sneijder,170
Diego Ribas da Cunha,170
Jermaine Defoe,170
