player,nationalTeam
Eddie Johnson,USA
John O'Brien,USA
Josh Wolff,USA
Eddie Lewis,USA
Conor Casey,USA
Alvaro Recoba,Uruguay
Dario Silva,Uruguay
Fabian Carini,Uruguay
Paolo Montero,Uruguay
Diego Lugano,Uruguay
Diego Forlan,Uruguay
Brad Friedel,United States
Claudio Reyna,United States
Taylor Twellman,United States
Sergei Rebrov,Ukraine
Umit Davala,Turkey
Emre Belozoglu,Turkey
Kahveci Nihat,Turkey
Dwight Yorke,Trinidad & Tobago
Stephane Chapuisat,Switzerland
Hakan Yakin,Switzerland
Andreas Andersson,Sweden
Fredrik Ljungberg,Sweden
Markus Rosenberg,Sweden
Christian Wilhelmsson,Sweden
Zlatan Ibrahimovic,Sweden
Sven Goran Eriksson,Sweden
Anders Andersson,Sweden
Anders Svensson,Sweden
Antonio Di Natale,Striker
Cesc Fabregas,Spain
David Villa,Spain
Carlos Marchena,Spain
Iker Casillas,Spain
Gaizka Mendieta,Spain
Albert Luque,Spain
Fernando Torres,Spain
Raul Gonzalez,Spain
Vicente,Spain
Santiago Ca?izares,Spain
Carles Puyol,Spain
Joseba Etxeberria,Spain
Benedict McCarthy,South Africa
Lucas Radebe,South Africa
Steven Pienaar,South Africa
Zlatko Zahovic,Slovenia
Milenko Acimovic,Slovenia
Dejan Stankovic,Serbia-Montenegro
Mateja Kezman,Serbia-Montenegro
Salif Diao,Senegal
El Hadji Diouf,Senegal
Barry Ferguson,Scotland
Dmitry Alenichev,Russia
Cosmin Contra,Romania
Cristiano Ronaldo,Portugal
Ricardo Quaresma,Portugal
Vitor Baia,Portugal
Abel Xavier,Portugal
Helder Postiga,Portugal
Ricardo Carvalho,Portugal
Deco,Portugal
Maniche,Portugal
Fernando Couto,Portugal
Nuno Valente,Portugal
Ricardo Pereira,Portugal
Pedro Pauleta,Portugal
Emmanuel Olisadebe,Poland
Jerzy Dudek,Poland
Claudio Pizarro,Peru
Nolberto Solano,Peru
Jose Luis Chilavert,Paraguay
Roque Santa Cruz,Paraguay
John Carew,Norway
Tore Andre Flo,Norway
Obafemi Martins,Nigeria
Joseph Yobo,Nigeria
Cuauhtemoc Blanco,Mexico
Jared Borgetti,Mexico
Rafael Marquez,Mexico
Hidetoshi Nakata,Japan
Didier Drogba,Ivory Coast
Kolo Toure,Ivory Coast
Dino Baggio,Italy
Fabio Cannavaro,Italy
Filippo Inzaghi,Italy
Francesco Totti,Italy
Luca Toni,Italy
Marco Materazzi,Italy
Massimo Oddo,Italy
Pier Luigi Casiraghi,Italy
Simone Perrotta,Italy
Francesco Toldo,Italy
Christian Panucci,Italy
Vincenzo Montella,Italy
Vincenzo Iaquinta,Italy
Cristiano Zanetti,Italy
Alberto Gilardino,Italy
Giovanni Tedesco,Italy
Stefano Fiore,Italy
Alessandro Nesta,Italy
Enrico Chiesa,Italy
Roberto Baggio,Italy
Francesco Coco,Italy
Angelo Peruzzi,Italy
Andrea Pirlo,Italy
Antonio Cassano,Italy
Marco Di Vaio,Italy
Steve Finnan,Ireland
Denis Irwin,Ireland
Robbie Keane,Ireland
Damien Duff,Ireland
Ian Harte,Ireland
Wilfred Bouma,Holland
Mark Van Bommel,Holland
Jan Kromkamp,Holland
Michael Reiziger,Holland
Kiki Musampa,Holland
Mario Melchiot,Holland
Marco Van Basten,Holland
Ruud Van Nistelrooy,Holland
Giovanni Van Bronckhorst,Holland
Andy Van der Meyde,Holland
Edwin Van der Sar,Holland
Georgios Samaras,Greece
Angelos Basinas,Greece
Stylianos Giannakopoulos,Greece
Michael Essien,Ghana
Samuel Kuffour,Ghana
Michael Ballack,Germany
Christoph Metzelder,Germany
Jurgen Klinsmann,Germany
Oliver Kahn,Germany
Oliver Neuville,Germany
Thomas Hassler,Germany
Tim Borowski,Germany
Lukas Podolski,Germany
Markus Babbel,Germany
Jens Lehmann,Germany
Kevin Kuranyi,Germany
Fabian Ernst,Germany
Christian Ziege,Germany
Kakha Kaladze,Georgia
Mikael Silvestre,France
Nicolas Anelka,France
Djibril Cisse,France
Claude Makelele,France
David Trezeguet,France
Zinedine Zidane,France
Michel Platini,France
Laurent Blanc,France
Frederic Kanoute,France
Vincent Candela,France
Lilian Thuram,France
Bruno N'Gotty,France
Shabani Nonda,France
Jari Litmanen,Finland
Ulises de La Cruz,Equador
David Beckham,England
Stephen Warnock,England
Ian Wright,England
Wayne Rooney,England
Danny Murphy,England
Ashley Cole,England
Danny Mills,England
Frank Lampard,England
Nick Barmby,England
Kieron Dyer,England
Jonathan Woodgate,England
Gary Neville,England
Jamie Carragher,England
Nigel Martyn,England
Jermaine Defoe,England
Sol Campbell,England
Emile Heskey,England
Jamie Redknapp,England
Gareth Southgate,England
Phil Neville,England
Les Ferdinand,England
Paul Robinson,England
Shaun Wright Phillips,England
Mido,Egypt
Alex Aguinaga,Ecuador
Ivan Hurtado,Ecuador
Dennis Rommedahl,Denmark
Michael Laudrup,Denmark
Jesper Gronkjaer,Denmark
Martin Laursen,Denmark
Jon Dahl Tomasson,Denmark
Tomas Rosicky,Czech Republic
Pavel Nedved,Czech Republic
Petr Cech,Czech Republic
Milan Baros,Czech Republic
Marek Heinz,Czech Republic
Marek Jankulovski,Czech Republic
Dado Prso,Croatia
Ivica Olic,Croatia
Niko Kovac,Croatia
Dario Simic,Croatia
Ivan Klasnic,Croatia
Igor Tudor,Croatia
Juan Pablo Angel,Colombia
Samuel Eto'o,Cameroon
Pierre Wome,Cameroon
Rigobert Song,Cameroon
Stilian Petrov,Bulgaria
Dimitar Berbatov,Bulgaria
Martin Petrov,Bulgaria
Roberto Carlos,Brazil
Adriano,Brazil
Ronaldinho,Brazil
Robinho,Brazil
Kaka,Brazil
Alex,Brazil
Luizao,Brazil
Valdo,Brazil
Ronaldo,Brazil
Lucio,Brazil
Ze Roberto,Brazil
Diego Ribas da Cunha,Brazil
Giovane Elber,Brazil
Mauro Galvao,Brazil
Juninho Pernambucano,Brazil
Ricardo Oliveira,Brazil
Mark Viduka,Australia
Harry Kewell,Australia
Hernan Crespo,Argentina
Claudio Caniggia,Argentina
Gabriel Heinze,Argentina
Javier Zanetti,Argentina
Juan Sebastian Veron,Argentina
Fernando Cavenaghi,Argentina
Diego Placente,Argentina
Fernando Redondo,Argentina
Fernando Caceres,Argentina
