player,position
Kaka,Attacking Midfielder
Alex,Attacking Midfielder
Zinedine Zidane,Attacking Midfielder
Zlatko Zahovic,Attacking Midfielder
Kieron Dyer,Attacking Midfielder
Deco,Attacking Midfielder
Milenko Acimovic,Attacking Midfielder
Alessandro Del Piero,Forward
Roberto Baggio,Forward
Antonio Cassano,Forward
Fabricio Coloccini,Central Defender
Fabio Cannavaro,Central Defender
Lucas Radebe,Central Defender
Jonathan Woodgate,Central Defender
Sol Campbell,Central Defender
Fernando Caceres,Central Defender
Michael Ballack,Central Midfielder
Tomas Rosicky,Central Midfielder
Claudio Reyna,Central Midfielder
Jamie Redknapp,Central Midfielder
Fernando Redondo,Central Midfielder
Anders Andersson,Central Midfielder
Barry Ferguson,Central Midfielder
Cosmin Contra,Defender
Stephen Warnock,Defender
Steve Finnan,Defender
Mikael Silvestre,Defender
Wilfred Bouma,Defender
Carlos Marchena,Defender
Christoph Metzelder,Defender
Danny Mills,Defender
Marco Materazzi,Defender
Massimo Oddo,Defender
Paolo Montero,Defender
Rafael Marquez,Defender
Roberto Carlos,Defender
Ulises de La Cruz,Defender
Lucio,Defender
Fabio Rochemback,Defender
Jan Kromkamp,Defender
Christian Panucci,Defender
Gary Neville,Defender
Ricardo Carvalho,Defender
Jamie Carragher,Defender
Diego Placente,Defender
Alessandro Nesta,Defender
Dario Simic,Defender
Gareth Southgate,Defender
Phil Neville,Defender
Fernando Couto,Defender
Carles Puyol,Defender
Nuno Valente,Defender
Kolo Toure,Defender
Rigobert Song,Defender
Lilian Thuram,Defender
Joseph Yobo,Defender
Marek Jankulovski,Defender
Martin Laursen,Defender
Samuel Kuffour,Defender
Mario Melchiot,Defender
Gabriel Milito,Defender
Igor Tudor,Defender
Bruno N'Gotty,Defender 
Giovanni Van Bronckhorst,Defender
Kakha Kaladze,Defendr
Diego Lugano,Defense
David Villa,forward
Mark Viduka,Forward
Robinho,Forward
Georgios Samaras,Forward
Andreas Andersson,Forward
Cuauhtemoc Blanco,Forward
Dado Prso,Forward
Dario Silva,Forward
David Trezeguet,Forward
Eddie Johnson,Forward
Emmanuel Olisadebe,Forward
Francesco Totti,Forward
Ivica Olic,Forward
Jared Borgetti,Forward
Josh Wolff,Forward
Luca Toni,Forward
Oliver Neuville,Forward
Peter Crouch,Forward
Pier Luigi Casiraghi,Forward
Robbie Keane,Forward
Roque Santa Cruz,Forward
Taylor Twellman,Forward
Albert Luque,Forward
Lukas Podolski,Forward
Helder Postiga,Forward
Vincenzo Montella,Forward
Vincenzo Iaquinta,Forward
Fernando Torres,Forward
Alberto Gilardino,Forward
Dimitar Berbatov,Forward
Sylvain Wiltord,Forward
John Carew,Forward
Kevin Kuranyi,Forward
Lionel Messi,Forward
Mateja Kezman,Forward
Conor Casey,Forward
Milan Baros,Forward
Harry Kewell,Forward
Gerald Asamoah,Forward
Ryan Babel,Forward
Jari Litmanen,Forward
Frederic Kanoute,Forward
Pedro Pauleta,Forward
Marek Heinz,Forward
Sebastian Abreu,Forward
Kahveci Nihat,Forward
Gaston Fernandez,Forward
Steven Pienaar,Forward
Kevin Kuranyi,Forward
Sidney Govou,Forward
Mauro Rosales,Forward
