Year,Laureate,Field
2001,A. Michael Spence ,Economic Sciences
1975,Aage Niels Bohr ,Physics
2004,Aaron Ciechanover ,Chemistry
1982,Aaron Klug ,Chemistry
1979,Abdus Salam ,Physics
2009,Ada E. Yonath ,Chemistry
2011,Adam G. Riess ,Physics
1939,Adolf Friedrich Johann Butenandt ,Chemistry
1928,Adolf Otto Reinhold Windaus ,Chemistry
1980,Adolfo Pérez Esquivel ,The Nobel Peace Prize
1999,Ahmed H. Zewail ,Chemistry
2010,Akira Suzuki ,Chemistry
2000,Alan G. MacDiarmid ,Chemistry
2000,Alan J. Heeger ,Chemistry
1963,Alan Lloyd Hodgkin ,Physiology or Medicine
1907,Albert Abraham Michelson ,Physics
2007,Albert Arnold (Al) Gore Jr. ,The Nobel Peace Prize
1957,Albert Camus ,Literature
1974,Albert Claude ,Physiology or Medicine
1921,Albert Einstein ,Physics
2007,Albert Fert ,Physics
1960,Albert John Lutuli ,The Nobel Peace Prize
1952,Albert Schweitzer ,The Nobel Peace Prize
1937,Albert von Szent-Györgyi Nagyrápolt ,Physiology or Medicine
1910,Albrecht Kossel ,Physiology or Medicine
1970,Aleksandr Isayevich Solzhenitsyn ,Literature
1964,Aleksandr Mikhailovich Prokhorov ,Physics
2003,Alexei A. Abrikosov ,Physics
1912,Alexis Carrel ,Physiology or Medicine
1982,Alfonso García Robles ,The Nobel Peace Prize
1969,Alfred D. Hershey ,Physiology or Medicine
1994,Alfred G. Gilman ,Physiology or Medicine
1911,Alfred Hermann Fried ,The Nobel Peace Prize
1966,Alfred Kastler ,Physics
1913,Alfred Werner ,Chemistry
2013,Alice Munro ,Literature
1979,Allan M. Cormack ,Physiology or Medicine
1911,Allvar Gullstrand ,Physiology or Medicine
1982,Alva Myrdal ,The Nobel Peace Prize
2012,Alvin E. Roth ,Economic Sciences
1998,Amartya Sen ,Economic Sciences
1947,American Friends Service Committee (The Quakers) ,The Nobel Peace Prize
1977,Amnesty International ,The Nobel Peace Prize
1921,Anatole France ,Literature
1956,André Frédéric Cournand ,Physiology or Medicine
2010,Andre Geim ,Physics
1965,André Lwoff ,Physiology or Medicine
1947,André Paul Guillaume Gide ,Literature
1975,Andrei Dmitrievich Sakharov ,The Nobel Peace Prize
1963,Andrew Fielding Huxley ,Physiology or Medicine
1977,Andrew V. Schally ,Physiology or Medicine
2006,Andrew Z. Fire ,Physiology or Medicine
2003,Anthony J. Leggett ,Physics
1903,Antoine Henri Becquerel ,Physics
1949,Antonio Caetano de Abreu Freire Egas Moniz ,Physiology or Medicine
1974,Antony Hewish ,Physics
1952,Archer John Porter Martin ,Chemistry
1922,Archibald Vivian Hill ,Physiology or Medicine
2013,Arieh Warshel ,Chemistry
1926,Aristide Briand ,The Nobel Peace Prize
1948,Arne Wilhelm Kaurin Tiselius ,Chemistry
1978,Arno Allan Penzias ,Physics
2015,Arthur B. McDonald ,Physics
1929,Arthur Harden ,Chemistry
1934,Arthur Henderson ,The Nobel Peace Prize
1927,Arthur Holly Compton ,Physics
1959,Arthur Kornberg ,Physiology or Medicine
1981,Arthur Leonard Schawlow ,Physics
1945,Artturi Ilmari Virtanen ,Chemistry
2000,Arvid Carlsson ,Physiology or Medicine
1909,Auguste Marie François Beernaert ,The Nobel Peace Prize
1991,Aung San Suu Kyi ,The Nobel Peace Prize
2004,Avram Hershko ,Chemistry
1955,Axel Hugo Theodor Theorell ,Physiology or Medicine
2015,Aziz Sancar ,Chemistry
2009,Barack H. Obama ,The Nobel Peace Prize
1983,Barbara McClintock ,Physiology or Medicine
1905,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau ",The Nobel Peace Prize
2005,Barry J. Marshall ,Physiology or Medicine
1976,Baruch S. Blumberg ,Physiology or Medicine
1980,Baruj Benacerraf ,Physiology or Medicine
1975,Ben Roy Mottelson ,Physics
1982,Bengt I. Samuelsson ,Physiology or Medicine
1947,Bernardo Alberto Houssay ,Physiology or Medicine
1991,Bert Sakmann ,Physiology or Medicine
1977,Bertil Ohlin ,Economic Sciences
1994,Bertram N. Brockhouse ,Physics
1976,Betty Williams ,The Nobel Peace Prize
1903,Bjørnstjerne Martinus Bjørnson ,Literature
1958,Boris Leonidovich Pasternak ,Literature
1973,Brian David Josephson ,Physics
2012,Brian K. Kobilka ,Chemistry
2011,Brian P. Schmidt ,Physics
2011,Bruce A. Beutler ,Physiology or Medicine
1910,Bureau international permanent de la Paix (Permanent International Peace Bureau) ,The Nobel Peace Prize
1976,Burton Richter ,Physics
1906,Camillo Golgi ,Physiology or Medicine
1989,Camilo José Cela ,Literature
1931,Carl Bosch ,Chemistry
1936,Carl David Anderson ,Physics
2001,Carl E. Wieman ,Physics
1947,Carl Ferdinand Cori ,Physiology or Medicine
1919,Carl Friedrich Georg Spitteler ,Literature
1916,Carl Gustaf Verner von Heidenstam ,Literature
1935,Carl von Ossietzky ,The Nobel Peace Prize
1984,Carlo Rubbia ,Physics
1996,Carlos Filipe Ximenes Belo ,The Nobel Peace Prize
1936,Carlos Saavedra Lamas ,The Nobel Peace Prize
2009,Carol W. Greider ,Physiology or Medicine
1950,Cecil Frank Powell ,Physics
1937,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil) ",The Nobel Peace Prize
1984,César Milstein ,Physiology or Medicine
1902,Charles Albert Gobat ,The Nobel Peace Prize
1966,Charles Brenton Huggins ,Physiology or Medicine
1920,Charles Edouard Guillaume ,Physics
1925,Charles Gates Dawes ,The Nobel Peace Prize
1917,Charles Glover Barkla ,Physics
1964,Charles Hard Townes ,Physics
1987,Charles J. Pedersen ,Chemistry
1928,Charles Jules Henri Nicolle ,Physiology or Medicine
2009,Charles Kuen Kao ,Physics
1907,Charles Louis Alphonse Laveran ,Physiology or Medicine
1913,Charles Robert Richet ,Physiology or Medicine
1927,Charles Thomson Rees Wilson ,Physics
1957,Chen Ning Yang ,Physics
1929,Christiaan Eijkman ,Physiology or Medicine
1972,Christian B. Anfinsen ,Chemistry
1974,Christian de Duve ,Physiology or Medicine
1921,Christian Lous Lange ,The Nobel Peace Prize
1902,Christian Matthias Theodor Mommsen ,Literature
1995,Christiane Nüsslein-Volhard ,Physiology or Medicine
2010,Christopher A. Pissarides ,Economic Sciences
2011,Christopher A. Sims ,Economic Sciences
1997,Claude Cohen-Tannoudji ,Physics
1985,Claude Simon ,Literature
1994,Clifford G. Shull ,Physics
1937,Clinton Joseph Davisson ,Physics
2003,Clive W.J. Granger ,Economic Sciences
1963,Comité international de la Croix Rouge (International Committee of the Red Cross) ,The Nobel Peace Prize
1944,Comité international de la Croix Rouge (International Committee of the Red Cross) ,The Nobel Peace Prize
1917,Comité international de la Croix Rouge (International Committee of the Red Cross) ,The Nobel Peace Prize
1945,Cordell Hull ,The Nobel Peace Prize
1938,Corneille Jean François Heymans ,Physiology or Medicine
1911,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck ,Literature
2006,Craig C. Mello ,Physiology or Medicine
1980,Czeslaw Milosz ,Literature
1976,D. Carleton Gajdusek ,Physiology or Medicine
1961,Dag Hjalmar Agne Carl Hammarskjöld ,The Nobel Peace Prize
2010,Dale T. Mortensen ,Economic Sciences
2011,Dan Shechtman ,Chemistry
1957,Daniel Bovet ,Physiology or Medicine
1998,Daniel C. Tsui ,Physics
2002,Daniel Kahneman ,Economic Sciences
2000,Daniel L. McFadden ,Economic Sciences
1978,Daniel Nathans ,Physiology or Medicine
1997,Dario Fo ,Literature
1975,David Baltimore ,Physiology or Medicine
1981,David H. Hubel ,Physiology or Medicine
2004,David J. Gross ,Physics
2012,David J. Wineland ,Physics
1996,David M. Lee ,Physics
1998,David Trimble ,The Nobel Peace Prize
1971,Dennis Gabor ,Physics
1969,Derek H. R. Barton ,Chemistry
1992,Derek Walcott ,Literature
1984,Desmond Mpilo Tutu ,The Nobel Peace Prize
1956,Dickinson W. Richards ,Physiology or Medicine
1960,Donald Arthur Glaser ,Physics
1987,Donald J. Cram ,Chemistry
2007,Doris Lessing ,Literature
1964,Dorothy Crowfoot Hodgkin ,Chemistry
1996,Douglas D. Osheroff ,Physics
1993,Douglass C. North ,Economic Sciences
1986,Dudley R. Herschbach ,Chemistry
1990,E. Donnall Thomas ,Physiology or Medicine
1950,Earl (Bertrand Arthur William) Russell ,Literature
1971,"Earl W. Sutherland, Jr. ",Physiology or Medicine
1932,Edgar Douglas Adrian ,Physiology or Medicine
1992,Edmond H. Fischer ,Physiology or Medicine
2006,Edmund S. Phelps ,Economic Sciences
1907,Eduard Buchner ,Chemistry
2014,Edvard I. Moser ,Physiology or Medicine
1943,Edward Adelbert Doisy ,Physiology or Medicine
