bank,city,branch,swiftcode
KOREA EXCHANGE BANK,PARIS,,KOEXFRPPXXX
IKB DEUTSCHE INDUSTRIEBANK A.G. SUCCURSALE DE PARIS,PARIS,,IKBDFRPPXXX
"NOMURA RESEARCH INSTITUTE, LTD.",TOKYO,,NRIWJPJTXXX
"SAITAMA RESONA BANK, LIMITED",TOKYO,,SAIBJPJTXXX
SGAM BANQUE (FORMERLY BAREP BANQUE),COURBEVOIE,,RPLAFRPPXXX
CPRPSNCF,MARSEILLE,,CPRPFR22XXX
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(MERGHANY BRANCH),DEIBEGCX075
MONABANQ.,WASQUEHAL,,MONNFR22XXX
STATE STREET TRUST AND BANKING COMPANY LIMITED,TOKYO,,SSTBJPJXIMS
LA BANQUE POSTALE,PARIS,,PSSTFRPPBTE
MAIWAND BANK,KABUL,,MWBKAFKAXXX
CAISSE NATIONALE DES CAISSES D'EPARGNE ET DE PREVOYANCE,PARIS,,CEPAFRPP950
ARAB INVESTMENT BANK,GIZA,(MOHANDESIN BRANCH),AINBEGCAMOH
"RABOBANK NEDERLAND, TOKYO BRANCH",TOKYO,,RABOJPJTXXX
LAZARD FRERES BANQUE,PARIS,,LAZPFRPPXXX
"ACI CAPITAL GROUP, LLC","NEW YORK,NY",,ACIXUS33XXX
HSBC FRANCE,PARIS,,CCFRFRPP040
CIB FINANCE,PARIS,,CIBRFRPPXXX
BNP PARIBAS FUND SERVICES SAS,PARIS,,BPASFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,MOSTAGANEM,(MOSTAGANEM CORPORATE),BEXADZAL104
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",,FCNYUS33XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FDF
FAISAL ISLAMIC BANK OF EGYPT,CAIRO,(NASR CITY BRANCH),FIEGEGCXNSR
MUBASHER TRADE,GIZA,,MUBREGCAXXX
CM - CIC BANQUES,PARIS,,CMCIFRPPXXX
BANQUE LEHMAN BROTHERS,PARIS,,SLBSFRCCXXX
"INDUSTRIAL BANK OF KOREA, HOCHIMINH BRANCH",HO CHI MINH CITY,,IBKOVNVXXXX
BANKE MILLIE AFGHAN,KABUL,,BMAFAFKAXXX
"FIRST QUADRANT, L.P.","PASADENA,CA",,FQDRUS66XXX
BNP-PARIBAS SA,PARIS,,BNPAFRPPXXX
"NORVIK BANKA, JSC",RIGA,,LATBLV22XXX
CAPITAL MERCHANT BANK,MOSCOW,,ACAERUMMXXX
FIDELITY SERVICE CO,"BOSTON,MA",(AIM/POMS),FIDQUS3AXXX
BANQUE MICHEL INCHAUSPE - BAMI,BORDEAUX,,BAMYFR22BDX
HSBC FRANCE,BORDEAUX,,CCFRFRPP120
FIDELITY SERVICE CO,"BOSTON,MA",,FIDQUS3BINV
SOCIETE ARABE INTERNATIONALE DE BANQUE,CAIRO,,SBNKEGCXCIC
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CES
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(GIZA ISLAMIC BRANCH),NBDEEGCXGZI
"SUGAMO SHINKIN BANK, THE",TOKYO,,SSHBJPJTXXX
ARCELOR TREASURY SNC,SAINT DENIS,,USINFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,BOUMERDES,(AGENCE BOUMERDES),BEXADZAL082
NATIONAL BANK OF OMAN (SAOG),CAIRO,,NBOMEGCXCHO
CREDIT SUISSE SECURITIES (JAPAN) LTD.,TOKYO,,CSFBJPJXXXX
BANK OF MOSCOW,MOSCOW,,MOSWRUMMXXX
BLOM BANK EGYPT S.A.E.,CAIRO,(ABBASIA),MRBAEGCX016
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(SAWAH BRANCH),NBDEEGCXSWH
QINVEST LLC,DOHA,,QINVQAQAXXX
CREDIT AGRICOLE CIB,PARIS,,BSUIFRPPDMA
"UNITED BANK LIMITED, DOHA",DOHA,,UNILQAQAXXX
CAISSE D'EPARGNE DU LANGUEDOC ROUSSILLON,MONTPELLIER,,CEPAFRPP348
BLOM BANK EGYPT S.A.E.,CAIRO,(NEW MAADI),MRBAEGCX024
BANQUE DE BRETAGNE,RENNES,,BDEBFR2RXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44DFT
BANK OF THE DEVELOPMENT OF TECHNOLOGIES (COMMERCIAL BANK),MOSCOW,,BDTBRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE HUSSEIN DEY),BEXADZAL022
COMMERCIAL BANK SVENSKA HANDELSBANKEN (CLOSED JOINT STOCK COMPANY),MOSCOW,,HANDRUMMXXX
1ST UNITED BANK,"BOCA RATON,FL",,HEMSUS3MXXX
SCHRODER INVESTMENT MANAGEMENT (JAPAN) LIMITED,TOKYO,,SIMJJPJ2XXX
EBI SA,PARIS,,ECOCFRPPXXX
FAISAL ISLAMIC BANK OF EGYPT,SUEZ,(SUEZ BRANCH),FIEGEGCXSUE
BANQUE EXTERIEURE D'ALGERIE,ANNABA,(AGENCE ANNABA 44),BEXADZAL044
SOCIETE GENERALE SECURITIES (NORTH PACIFIC) LTD.,TOKYO,,SGNPJPJTXXX
BRATSKY NARODNY BANK JSC,BRATSK,,BRATRU6BXXX
BALTIC INTERNATIONAL BANK,RIGA,,BLIBLV22XXX
STANDARD FOR SECURITIES,CAIRO,,STSCEGCAXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CD3
"ABN AMRO BANK N.V., HANOI BRANCH",HANOI,,ABNAVNV5XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HO CHI MINH CITY,(THU DUC BRANCH),BIDVVNVX314
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(CCP FOR THE RTGS),CBEGEGCACCP
"GOLDEN BANK, N.A.","HOUSTON,TX",,TFNBUS4HXXX
CHELYABINVESTBANK,CHELYABINSK,(TRACTOROZAVODSKY BRANCH),CHINRU4CTRK
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CFB
SWIFT CUSTOMER SERVICE CENTRE JAPAN,CUSTOMER SERVICE CENTRE JP,,SWHQJPJTXXX
CAISSE CENTRALE DU CREDIT IMMOBILIER DE FRANCE,PARIS,,CCIFFRPPXXX
"STATE BANK OF INDIA, QATAR FINANCIAL CENTRE BRANCH",DOHA,,SBINQAQAXXX
LA BANQUE POSTALE,ROUEN,,PSSTFRPPROU
BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,"NEW YORK,NY",,BROUUS33XXX
SUEZ CANAL BANK,CAIRO,(SPHINX - MOHANDESSEEN BRANCH),SUCAEGCXSPH
BANK24.RU OAO,EKATERINBURG,,URALRU4EXXX
ARAB INVESTMENT BANK,CAIRO,,AINBEGCAXXX
BANQUE EXTERIEURE D'ALGERIE,JIJEL,(AGENCE JIJEL IBN KHELDOUN),BEXADZAL043
HSBC FRANCE,TOURCOING,,CCFRFRPP152
ALSYON TECHNOLOGIES,LE VESINET,,ALSYFRPPXXX
"GLOBEFLEX CAPITAL, L.P.","SAN DIEGO,CA",,GFLXUS66XXX
BANQUE TARNEAUD,LIMOGES,,TARNFR2LXXX
DOHA BANK,DOHA,(DOHA ISLAMIC),DOHBQAQADIS
SOCIETE ARABE INTERNATIONALE DE BANQUE,TANTA,,SBNKEGCXTAN
BANQUE EXTERIEURE D'ALGERIE,SIG,(AGENCE SIG),BEXADZAL084
CATHAY BANK,"ROSEMEAD,CA",,CATHUS6LXXX
ANZ BANK(VIETNAM) LIMITED,HO CHI MINH CITY,,ANZBVNVX472
BANQUE MARTIN-MAUREL,MARSEILLE,,BMMMFRCPXXX
BOX AND AUTOMATION SOLUTION,PARIS,,BOXXFRPPXXX
"THE 77 BANK,LTD.",SENDAI,,BOSSJPJTXXX
DECATHLON SA,VILLENEUVE D'ASCQ,,OXYLFR22XXX
BANQUE EXTERIEURE D'ALGERIE,GHARDAIA,(AGENCE GHARDAIA),BEXADZAL028
CITIBANK CAIRO,CAIRO,(TRADE SERVICES DEPARTMENT),CITIEGCXTRD
UNION NATIONAL BANK-EGYPT S.A.E.,GIZA,,ALECEGALXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(THANG LONG BRANCH),BIDVVNVX220
