bank,substring
ASIA COMMERCIAL BANK,ASCBVNVX
CREDIT COMMERCIAL DU SUD-OUEST,CCBPFRPP
"BANK OF FUKUOKA, LTD., THE",FKBKJPJT
LABCO GESTION GIE,LAGEFRPP
BANCOMER TRANSFER SERVICES INC.,BTSIUS44
"BANQUE AIG, PARIS HEAD OFFICE",AIGAFRPP
"LLOYDS TSB BANK PLC, PARIS",LOYDFRPP
LAFARGE SA,LAFAFRPP
SHINKIN CENTRAL BANK,ZENBJPJT
QATAR TELECOM (QTEL) Q.S.C,QTELQAQA
"DEUTSCHE BANK, HO CHI MINH CITY BRANCH",DEUTVNVX
THE ROYAL BANK OF SCOTLAND N.V. (FRANCE),ABNAFRPP
DEUTSCHE ASSET MANAGEMENT(JAPAN)LTD,DEAMJPJT
ALEF-BANK,ALEFRUMM
DEUTSCHE SECURITIES INC.,DEUTJPJ7
LUXOR SECURITIES BROKERAGE,LUXOEGCA
"CITADEL INVESTMENT GROUP, L.L.C.",CITGUS44
CHINA CONSTRUCTION BANK NEW YORK BRANCH,PCBCUS33
"SHIZUOKA BANK, LTD., THE",SHIZJPJT
HABIB BANK LIMITED,HABBAFKA
CP OR DEVISES,CPBIFRPP
"NORTH PACIFIC BANK, LTD.",NORPJPJP
BANQUE BIA,BIARFRPP
CREDIT AGRICOLE CHEUVREUX,CHVIFRPP
BANCO BILBAO VIZCAYA ARGENTARIA,BBVAFRPP
LVMH - MOET HENNESSY LOUIS VUITTON,LVMHFRPP
NATIXIS,NATXFRPP
CAPITAL GUARDIAN TRUST COMPANY,CGTCUS66
AK BARS BANK OAO,ARRSRU2K
"FULTON BANK, N.A.",FLBKUS33
EGYPTIAN WORKERS BANK,EWBAEGC1
CJSC BANK CREDIT SUISSE (MOSCOW),CRESRUMM
BANQUE POPULAIRE DU SUD-OUEST,CCBPFRPP
LAZARD FRERES BANQUE,LAZPFRPP
AS -PRIVATBANK',PRTTLV22
"SAIKYO BANK LTD., THE",SAKBJPJZ
CJSC -WELCOMEBANK',PYATRU2P
FROST BANK,FRSTUS44
BCS BANK,BCSBRU55
"CHANG HWA COMMERCIAL BANK, LTD., NEW YORK BRANCH",CCBCUS33
DONGA BANK,EACBVNVX
BANQUE POPULAIRE DU SUD,CCBPFRPP
BANK NATIONAL CLEARING CENTRE,NCCBRUMM
GBC INTERNATIONAL BANK,GUBCUS6L
PHAROS SECURITIES,PHAREGCA
BTA BANK LLS,ITASRUMM
DEPOSITORY CLEARING COMPANY,DCLCRUMM
AGROSOYUZ BANK,AGSZRU33
"BANK OF NAGOYA, LTD. , THE",NAGOJPJN
VINCI CONSTRUCTION FRANCE,VCFRFRPP
COMMERCIAL BANK OF MOSCOW,CBMWRUMM
FORD MOTOR COMPANY,FOMOUS33
CREDIT AGRICOLE CIB TOKYO BRANCH,BSUIJPJT
EGYPT STOCKS,EGSTEGCA
COMMERCIAL BANK NOYABRSKNEFTEKOMBANK,NOYBRU5N
ABU DHABI INTERNATIONAL BANK INC.,ADIBUS33
NATIONAL POST ORGANIZATION,PSTEEGCX
ARAB BANK PLC,ARABEGCX
ADP CLEARING AND OUTSOURCING SERVICES INC.,ADPCUS33
BANK BCC-MOSCOW,BCCMRUMM
"OGAKI KYORITSU BANK,LTD.,THE",OGAKJPJT
ALSYON TECHNOLOGIES,ALSYFRPP
BFA BANK,PETKRU2P
BELTONE SECURITIES BROKERAGE S.A.E,BELTEGCA
FRANSABANK FRANCE S.A.,FRAFFRPP
FIDELITY SERVICE CO,FIDQUS33
PIONEERS SECURITIES,PONREGCA
BANQUE LAYDERNIER,LAYDFR2W
"BANK OF AMERICA, TOKYO",BOFAJPJX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCX
ENERGOMASHBANK PLC,ENEBRU2P
CAISSE D'EPARGNE AUVERGNE LIMOUSIN,CEPAFRPP
CROCUSBANK,CROKRUMM
"DAISAN BANK, LTD., THE",DSBKJPJT
DOHA BANK,DOHBQAQA
LEHMAN BROTHERS INTERNATIONAL (EUROPE) PARIS BRANCH,SLIIFRCC
BANK AUDI SARADAR FRANCE,AUDIFRPP
UNION DE BANQUES ARABES ET FRANCAISES,UBAFFRPP
GAZ DE FRANCE,GDFGFRPP
ODDO ET CIE,ODDOFRPP
BANK TEJARAT,BTEJFRPP
BROWN BROTHERS HARRIMAN SECURITIES INVESTMENT MANAGEMENT (JAPAN) INC.,BBHCJPJT
LYXOR ASSET MANAGEMENT,LAMXFRPP
"BANK OF TAIWAN, TOKYO BRANCH",BKTWJPJT
AL KHALIJ COMMERCIAL BANK,KLJIQAQA
JSC CITADELE BANKA,PARXLV22
BANK MELLI IRAN,MELIFRPP
CREDIT AGRICOLE CIB,BSUIFRPP
MONTE PASCHI BANQUE S.A.,MONTFRPP
AVM L.P.,IIIAUS33
UNITED BROKERAGE CORPORATION,UBCEEGCA
CITIBANK N.A.,CITIQAQA
NTT DATA GETRONICS CORPORATION,NTDGJPJT
CAIXA D'ESTALVIS DE CATALUNYA,CESCFR2X
BANCO DE SABADELL,BSABFRPP
IKB DEUTSCHE INDUSTRIEBANK A.G. SUCCURSALE DE PARIS,IKBDFRPP
"SBI SUMISHIN NET BANK, LTD.",NTSSJPJT
SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED,SMBCFRPP
AIB BANK,AIBKUS33
AL SHOROUK BROKERAGE CO.,ALSHEGCA
ARAB INVESTMENT BANK,AINBEGCA
BANK FINSERVICE JSC,KOMXRUMM
HALWAN BROKERAGE CO.,HELWEGCA
APOLLO BANK,UCBMUS3M
GE CORPORATE FINANCE BANK,CRFAFRPP
BANQUE ALGERIENNE DE DEVELOPPEMENT,BADZDZAL
BANQUE SBA,SBAAFRPP
DEUTSCHE SECURITIES INC.,DEUTJPJ9
ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR),EBAPFRPS
BRAC AFGHANISTAN BANK,BABAAFKA
BARCLAYS CAPITAL JAPAN LTD.,BARCJPJ9
ACCENTURE INSURANCE SERVICES,ACIVFRPP
CIBC WORLD MARKETS (JAPAN) INC.,CIWMJPJT
CAISSE D'EPARGNE ILE DE FRANCE NORD,CEPAFRPP
"BANCO BILBAO VIZCAYA ARGENTARIA, NEW YORK",BBVAUS33
"CHUO MITSUI TRUST AND BANKING CO.,LTD.,THE",MTRBJPJT
PRIME SECURITIES BROKERAGE CO.,PSBREGCA
BANK RESO CREDIT,RETLRUMM
AMI-BANK ZAO,CLJARUMM
CAISSE D'EPARGNE D'ILE DE FRANCE OUEST,CEPAFRPP
FIDELITY SERVICE CO,FIDQUS3A
BORAK SECURITIES COMPANY,BORAEGCA
COMPAGNIE DE SAINT-GOBAIN,SGOBFRPP
NATIONAL SOCIETE GENERALE BANK S.A.E.,NSGBEGCX
FBN BANK UK LTD,FBNIFRPP
BANQUE FEDERALE DES BANQUES POPULAIRES (BANQUES POPULAIRES REGIONALES),CCBPFRPP
DEXIA CREDIT LOCAL,CLFRFRCC
COMMERCIAL BANK -SOVINCOM',BSOVRUMM
FSA ASSET MANAGEMENT LLC,FSAMUS33
"AOMORI BANK LTD., THE",AOMBJPJT
QATAR FOUNDATION,QFQFQAQA
BANK SEPAH,SEPBFRPP
BANK SANKT - PETERBURG OAO,JSBSRU2P
BANCO SANTANDER INTERNATIONAL,BDERUS3M
BANK ORENBURG OAO,ORBGRU3S
INTERCAPITAL SECURITIES,INCUEGC1
JAZIRA SECURITIES BROKERAGE,JAZIEGCA
CAIRO STOCK BROKERAGE COMPANY,CSBPEGCA
SUEZ CANAL BANK,SUCAEGCX
THE HIGO BANK LIMITED,HIGOJPJT
REGIONALA INVESTICIJU BANKA,RIBRLV22
COMMERCIAL INTERNATIONAL BROKERAGE COMPANY,CIBOEGCX
RBC DEXIA INVESTOR SERVICES BANK FRANCE,DISFFRPP
CRC MARIT MUTUEL DU LITTORAL SUD OUEST,CCBPFRPP
EUROCLEAR FRANCE SA,ESESFRPP
ASSOCIATED BANK GREEN BAY N.A.,ABGBUS44
