"Bank name","SWIFT","IBAN"
"Sparkasse Oberhessen","HELADEF1FRI","DE49 5185 0079 0002 0001 05"
"Volksbank Butzbach eG","GENODE51BUT","DE42 5186 1403 0000 0251 78"
"Commerzbank AG","COBADEFFXXX","DE13 5154 0037 0124 0225 00"
"Postbank Frankfurt/M.","PBNKDEFF","DE19 5001 0060 0027 4066 07"
"Swedbank","SWEDSESS","SEkk800 000000 7bbb aaaaaaa"
"Swedbank","SWEDSESS","SEkk800 00 8bbbb aaaaaaaaaa"
"SEB","ESSESESS","SEkk500 000000 5bbb aaaaaaa"
"Nordea","NDEASESS","SEkk300 0000000 aaaaaaaaaa"
"Handelsbanken","HANDSESS","SEkk600 00000000 aaaaaaaaa"
"Plusgirot","NDEASESS","SEkk950 0009960nn aaaaaaaa"
"Garanti","","TR13 0006 2000 7080 0006 6850 97"
"Yapı Kredi","","TR64 0006 7010 0000 0064 1052 76"
"Akbank","","TR39 0004 6000 2088 8000 1396 70"
"Ziraat Bankası","","TR520001000625483149615001"
"VakıfBank","","TR870001500158007296498523"
"Garanti Bankası","","TR40 0006 2000 0860 0006 6929 59"
"Garanti Bankası","","TR18 0006 2000 0860 0006 2964 31"
"Akbank","","TR92 0004 6000 8088 8000 0392 01"
"Yapı Kredi","","TR62 0006 7010 0000 0082 4724 56"
"Finans Bank","","TR24 0011 1000 0000 0013 742357"
"Swedbank","SWEDSESS","SEkk800 000000 7bbb aaaaaaa"
"Swedbank","SWEDSESS","SEkk800 00 8bbbb aaaaaaaaaa"
"SEB","ESSESESS","SEkk500 000000 5bbb aaaaaaa"
"Nordea","NDEASESS","SEkk300 0000000 aaaaaaaaaa"
"Handelsbanken","HANDSESS","SEkk600 00000000 aaaaaaaaa"
"Plusgirot","NDEASESS","SEkk950 0009960nn aaaaaaaa"
"MONTE DEI PASCHI DI SIENA","","IT 98 Q 01030 03200 000004555518"
"BANCA NAZIONALE DEL LAVORO","","IT 71 W 01005 03200 000000062600"
"BANCA POPOLARE DI MILANO","","IT 09 C 05584 03200 000000044444"
"BANCO DI SARDEGNA","","IT 80 Y 01015 03200 000000017000"
"BANCO DI SICILIA","","IT 77 H 02008 03283 000300577334"
"INTESA SAN PAOLO","","IT 33 A 03069 03206 100000011384"
"UNICREDIT BANCA DI ROMA","","IT 50 I 02008 05154 000400277166"
"UNICREDIT PRIVATE BANKING","","IT 69 Y 02008 11756 000007766594"
"Bratislava – mesto","","SK42 8180 0000 0070 0022 1411"
"Dunajská Streda","","SK45 8180 0000 0070 0022 1454"
"Galanta","","SK23 8180 0000 0070 0022 1462"
"Senica","","SK98 8180 0000 0070 0022 1470"
"Trnava","","SK67 8180 0000 0070 0022 1446"
"Považská Bystrica","","SK48 8180 0000 0070 0022 1497"
"Prievidza","","SK63 8180 0000 0070 0022 1518"
"Trenčín","","SK70 8180 0000 0070 0022 1489"
"Komárno","","SK19 8180 0000 0070 0022 1534"
"Levice","","SK94 8180 0000 0070 0022 1542"
"Nitra","","SK41 8180 0000 0070 0022 1526"
"Nové Zámky","","SK72 8180 0000 0070 0022 1550"
"Topoľčany","","SK44 8180 0000 0070 0022 1569"
"Banská Bystrica","","SK22 8180 0000 0070 0022 1577"
"Lučenec","","SK97 8180 0000 0070 0022 1585"
"Rimavská Sobota","","SK75 8180 0000 0070 0022 1593"
"Zvolen","","SK15 8180 0000 0070 0022 1606"
"Žiar nad Hronom","","SK90 8180 0000 0070 0022 1614"
"Čadca","","SK46 8180 0000 0070 0022 1630"
"Dolný Kubín","","SK18 8180 0000 0070 0022 1649"
"Liptovský Mikuláš","","SK93 8180 0000 0070 0022 1657"
"Martin","","SK71 8180 0000 0070 0022 1665"
"Žilina","","SK68 8180 0000 0070 0022 1622"
"Bardejov","","SK27 8180 0000 00700022 1681"
"Humenné","","SK42 8180 0000 0070 0022 1702"
"Poprad","","SK20 8180 0000 0070 0022 1710"
"Prešov","","SK49 8180 0000 0070 0022 1673"
"Stará Ľubovňa","","SK89 8180 0000 0070 0022 1729"
"Svidník","","SK67 8180 0000 0070 0022 1737"
"Vranov nad Topľou","","SK45 8180 0000 0070 0022 1745"
"Košice – mesto","","SK23 8180 0000 0070 0022 1753"
"Michalovce","","SK98 8180 0000 0070 0022 1761"
"Rožňava","","SK48 8180 0000 0070 0022 1788"
"Spišská Nová Ves","","SK26 8180 0000 0070 0022 1796"
"Trebišov","","SK63 8180 0000 0070 0022 1809"
