"Name","Year","Category","Also Known As",""
"Emil Adolf von Behring","1901","medicine","null","null"
"Frédéric Passy","1901","peace","null","null"
"Jacobus Henricus van 't Hoff","1901","chemistry","null","null"
"Jean Henri Dunant","1901","peace","null","null"
"Sully Prudhomme","1901","literature","null","null"
"Wilhelm Röntgen","1901","physics","null","null"
"Charles Albert Gobat","1902","peace","null","null"
"Élie Ducommun","1902","peace","null","null"
"Hendrik A. Lorentz","1902","physics","null","null"
"Hermann Emil Fischer","1902","chemistry","null","null"
"Pieter Zeeman","1902","physics","null","null"
"Ronald Ross","1902","medicine","null","null"
"Theodor Mommsen","1902","literature","null","null"
"Bjørnstjerne Bjørnson","1903","literature","null","null"
"Henri Becquerel","1903","physics","null","null"
"Marie Curie","1903","physics","null","null"
"Niels Ryberg Finsen","1903","medicine","null","null"
"Pierre Curie","1903","physics","null","null"
"Svante August Arrhenius","1903","chemistry","null","null"
"William Randal Cremer","1903","peace","null","null"
"Frédéric Mistral","1904","literature","null","null"
"Ivan Petrovich Pavlov","1904","medicine","null","null"
"John William Strutt, Lord Rayleigh","1904","physics","null","null"
"José Echegaray","1904","literature","null","null"
"Sir William Ramsay","1904","chemistry","null","null"
"Adolf von Baeyer","1905","chemistry","(Johann, Friedrich, Wilhelm)","null"
"Baroness Bertha von Suttner","1905","peace","(Sophie, Felicita)","null"
"Henryk Sienkiewicz","1905","literature","null","null"
"Philipp Lenard","1905","physics","null","null"
"Robert Koch","1905","medicine","null","null"
"Camillo Golgi","1906","medicine","null","null"
"Giosuè Carducci","1906","literature","null","null"
"Henri Moissan","1906","chemistry","null","null"
"J. J. Thomson","1906","physics","(Joseph, John)","null"
"Santiago Ramón y Cajal","1906","medicine","null","null"
"Theodore Roosevelt","1906","peace","null","null"
"Albert A. Michelson","1907","physics","null","null"
"Charles Louis Alphonse Laveran","1907","medicine","null","null"
"Eduard Buchner","1907","chemistry","null","null"
"Ernesto Teodoro Moneta","1907","peace","null","null"
"Louis Renault","1907","peace","null","null"
"Rudyard Kipling","1907","literature","null","null"
"Ernest Rutherford","1908","chemistry","null","null"
"Fredrik Bajer","1908","peace","null","null"
"Gabriel Lippmann","1908","physics","null","null"
"Ilya Ilyich Mechnikov","1908","medicine","null","null"
"Klas Pontus Arnoldson","1908","peace","null","null"
"Paul Ehrlich","1908","medicine","null","null"
"Rudolf Eucken","1908","literature","null","null"
"Auguste Marie François Beernaert","1909","peace","null","null"
"Emil Theodor Kocher","1909","medicine","null","null"
"Ferdinand Braun","1909","physics","null","null"
"Guglielmo Marconi","1909","physics","null","null"
"Paul-Henri-Benjamin d'Estournelles de Constant","1909","peace","null","null"
"Selma Lagerlöf","1909","literature","null","null"
"Wilhelm Ostwald","1909","chemistry","null","null"
"Albrecht Kossel","1910","medicine","null","null"
"Johannes Diderik van der Waals","1910","physics","null","null"
"Otto Wallach","1910","chemistry","null","null"
"Paul Heyse","1910","literature","null","null"
"Alfred Hermann Fried","1911","peace","null","null"
"Allvar Gullstrand","1911","medicine","null","null"
"Marie Curie","1911","chemistry","null","null"
"Maurice Maeterlinck","1911","literature","null","null"
"Tobias Michael Carel Asser","1911","peace","null","null"
"Wilhelm Wien","1911","physics","null","null"
"Alexis Carrel","1912","medicine","null","null"
"Elihu Root","1912","peace","null","null"
"Gerhart Hauptmann","1912","literature","null","null"
"Gustaf Dalén","1912","physics","null","null"
"Paul Sabatier","1912","chemistry","null","null"
"Victor Grignard","1912","chemistry","null","null"
"Alfred Werner","1913","chemistry","null","null"
"Charles Robert Richet","1913","medicine","null","null"
"Heike Kamerlingh Onnes","1913","physics","null","null"
"Henri La Fontaine","1913","peace","null","null"
"Rabindranath Tagore","1913","literature","null","null"
"Max von Laue","1914","physics","null","null"
"Robert Bárány","1914","medicine","null","null"
"Theodore William Richards","1914","chemistry","null","null"
"Lawrence Bragg","1915","physics","null","null"
"Richard Martin Willstätter","1915","chemistry","null","null"
"Romain Rolland","1915","literature","null","null"
"William Bragg","1915","physics","null","null"
"Verner von Heidenstam","1916","literature","null","null"
"Charles Glover Barkla","1917","physics","null","null"
"Henrik Pontoppidan","1917","literature","null","null"
"Karl Gjellerup","1917","literature","null","null"
"Fritz Haber","1918","chemistry","null","null"
"Max Planck","1918","physics","null","null"
"Carl Spitteler","1919","literature","null","null"
"Johannes Stark","1919","physics","null","null"
"Jules Bordet","1919","medicine","null","null"
"Woodrow Wilson","1919","peace","(Thomas)","null"
"August Krogh","1920","medicine","(Schack, Steenberg)","null"
"Charles Edouard Guillaume","1920","physics","null","null"
"Knut Hamsun","1920","literature","null","null"
"Léon Victor Auguste Bourgeois","1920","peace","null","null"
"Walther Hermann Nernst","1920","chemistry","null","null"
"Albert Einstein","1921","physics","null","null"
