player,club
Messi             , FC Barcelona
 Ronaldo           , Real Madrid
 Rooney            , Manchester United
 Pato              , Milan
 Chiellini         , Juventus
 J. Navas          , Sevilla FC
 Kun AgÙero        , Atl_tico de Madrid
 Sergio Ramos      , Real Madrid
 Fabregas          , Arsenal
 Nasri             , Arsenal
 Neuer             , FC Schalke 04
 Lloris            , Olympique Lyonnais
 Eriksen           , Ajax
 Pastore           , Palermo
 Nani              , Manchester United
 Krasi_            , Juventus
 T.Silva           , Milan
 Silva             , Manchester City
 Welliton          , Spartak Moskva
 Cavani            , Napoli
 D_eko             , Manchester City
 Honda             , CSKA Moskva
 PH Ganso          , Santos
 Adler             , Bayer 04 Leverkusen
 Diego             , VfL Wolfsburg
 Arda              , Galatasaray SK
 Soldado           , Valencia CF
 Akinfeev          , CSKA Moskva
 Hart              , Manchester City
 R.Albiol          , Real Madrid
 Ben Arfa          , Newcastle United
 Mandanda          , Olympique de Marseille
 Benzema           , Real Madrid
 Matuidi           , AS Saint-Etienne
 Ham_ik            , Napoli
 Suarez            , Liverpool
 Bojan             , FC Barcelona
 Mata              , Valencia CF
 Hummels           , Borussia Dortmund
 David Luiz        , Chelsea
 Ninis             , Panathinaikos FC
 Ranocchia         , Inter
 Kroos             , Bayern MÙnchen
 Sakho             , Paris Saint-Germain
 Gibbs             , Arsenal
