team,city
Real Madrid C.F.,Madrid
F.C. Barcelona,Barcelona
Atletico de Madrid,Madrid
Paris Saint-Germain F.C.,Paris
A.C. Milan,Milan
Internazionale,Milan
A.S. Roma,Roma
S.S. Lazio,Roma
Arsenal F.C.,London
Tottenham Hotspur F.C.,London
Manchester United F.C.,Manchester
Manchester City F.C.,Manchester
U.C. Sampdoria,Genoa
Genoa C.F.C.,Genoa
Liverpool F.C.,Liverpool
FC Steaua Bucuresti,Bucharest
Red Star Belgrade,Belgrade
S.S.C. Napoli,Naples
Rayo Vallecano,Madrid
A.C. Chievo Verona,Verona
Olympique Lyonnais,Lyon
Olympique de Marseille,Marseille
R.S.C. Anderlecht,Anderlecht
Chelsea F.C.,London
Fluminense FC,Rio de Janeiro
Club Atletico River Plate,Buenos Aires
Boca Juniors,Buenos Aires
Juventus F.C.,Turin
