team,league
Real Madrid C.F.,La Liga
F.C. Barcelona,La Liga
Atletico de Madrid,La Liga
Paris Saint-Germain F.C.,Ligue 1
A.C. Milan,Serie A
Internazionale,Serie A
A.S. Roma,Serie A
S.S. Lazio,Serie A
Arsenal F.C.,Premier League
Tottenham Hotspur F.C.,Premier League
Manchester United F.C.,Premier League
Manchester City F.C.,Premier League
U.C. Sampdoria,Serie A
Genoa C.F.C.,Serie A
Liverpool F.C.,Premier League
FC Steaua Bucuresti,Liga I
Red Star Belgrade,Serbian SuperLiga
S.S.C. Napoli,Serie A
Rayo Vallecano,La Liga
A.C. Chievo Verona,Serie A
Olympique Lyonnais,Ligue 1
Olympique de Marseille,Ligue 1
R.S.C. Anderlecht,Belgian Pro League
Chelsea F.C.,Premier League
Fluminense FC,Campeonato Carioca
Club Atletico River Plate,Primera Division
Boca Juniors,Primera Division
Juventus F.C.,Serie A
