game,publisher
Napoleon Dynamite,Crave
Fantastic 4,Activision
Happy Feet,Midway
All-Star Baseball 2002,Acclaim
All-Star Baseball 2004,Acclaim
All-Star Baseball 2003,Acclaim
Turok: Evolution,Acclaim
Crazy Taxi,Acclaim
Jeremy McGrath Supercross World,Acclaim
Legends of Wrestling,Acclaim
Cabela's African Safari,Activision
Wreckless: The Yakuza Missions,Auran
X2: Wolverine's Revenge,Activision
World Series of Poker: Tournament of Champions,Activision
Def Jam Vendetta,EA Sports Big
Def Jam Vendetta II,EA
Beach Spikers,Sega
18-Wheeler: American Pro Trucker,Acclaim
Eragon,Vivendi Universal
Samurai Jack: The Shadow of Aku,Sega
Virtua Striker 2002,Sega
Super Monkey Ball 2,Sega
Spectral Souls,"NIS America, Inc"
Monster House,THQ
Drome Racers,EA
Tak and the Power of Juju,THQ
Disney's Chicken Little,Buena Vista Games Inc
Dragon Ball Z: Sagas,Atari
Tak: The Great Juju Challenge,THQ
Death Jr. 2: Root of Evil,Konami
Digimon World 4,"Bandai America, Inc"
Jimmy Neutron: Boy Genius,THQ
SpongeBob SquarePants: Revenge of the Flying Dutchman,THQ
Need for Speed Undercover,EA
Sega Soccer Slam,Sega
Need for Speed: Underground,EA
Terminator 3: Rise of the Machines,Atari
Street Hoops,Activision
The Hustle: Detroit Streets,Activision
SpongeBob SquarePants: Creature from the Krusty Krab,THQ
Bad Boys: Miami Takedown,Homebrew [Independently Developed/Distributed
The Bigs,2K Sports
Nicktoons: Battle for Volcano Island,THQ
Nicktoons Unite,THQ
Xiaolin Showdown,Konami
Mega Man Powered Up,Capcom
Mega Man: Maverick Hunter X,Capcom
Resident Evil Zero,Capcom
Resident Evil 2,Capcom
Resident Evil 3: Nemesis,Capcom
Mega Man Network Transmission,Capcom
Mega Man X Command Mission,Capcom
Mega Man Anniversary Collection,Capcom
Capcom vs. SNK 2: EO,Capcom
Resident Evil,Capcom
Auto Modellista,Capcom
Power Stone Collection,Capcom
Darkstalkers Chronicle: The Chaos Tower,Capcom
Kingdom of Paradise,Sony
ATV Offroad Fury: Blazin' Trails,Sony
Speed Kings,Acclaim
Ghost Rider,2K Games
Viewtiful Joe 2,Capcom
Bubble Bobble: Evolution,Codemasters
Hard Rock Casino,Crave
World Championship Cards,Crave
Coded Arms: Contagion,Konami
American Chopper 2: Full Throttle,Activision
Burnout Legends,EA
Lara Croft: Tomb Raider -- Legend,Eidos Interactive
Puzzle Quest Challenge of the Warlords,D3Publisher of America
Nickelodeon Party Blast,Infogrames
Full Auto 2: Battlelines,Sega
Midway Arcade Treasures: Extended Play,Midway
Midway Arcade Treasures 3,Midway
Capcom Classics Collection: Remixed,Capcom
Capcom Classics Collection: Reloaded,Capcom
Rocky Balboa,Ubisoft Entertainment
Black & Bruised,Majesco
Top Gun: Combat Zones,Titus
Rainbow Islands: Evolution,Ignition Entertainment
Dragon Ball Z: Budokai,Infogrames
Dragon Ball Z: Budokai 2,Atari
Disney's Hide & Sneak,Capcom
FIFA Street,EA Sports Big
SSX Tricky,EA Sports Big
FIFA Street 2,EA Sports Big
FIFA Street 2,EA Sports Big
FIFA Soccer 09,EA
Need for Speed: Underground 2,EA
Need for Speed Most Wanted,EA
Need for Speed Most Wanted 5-1-0,EA
Need for Speed: Most Wanted -- 5-1-0,EA
FIFA Soccer 06,EA
FIFA Soccer 2002: Major League Soccer,EA
MVP Baseball 2005,EA
Medal of Honor: Heroes,EA
2002 FIFA World Cup,EA
NHL 2004,EA
Tiger Woods PGA Tour 06,EA
Fight Night: Round 2,EA
NBA Live 07,EA
EA Replay,EA
NCAA Football 09,EA
The Sims 2: Pets,EA
NCAA Football 2005,EA
Catwoman,EA
NHL 2005,EA
Need for Speed: Underground -- Rivals,EA
The Sims,EA
Harry Potter and the Order of the Phoenix,EA
Tiger Woods PGA Tour 2004,EA
James Bond 007 in Agent Under Fire,EA
James Bond 007: Everything or Nothing,EA
NCAA Football 07,EA
Tiger Woods PGA Tour 06,EA
Tiger Woods PGA Tour,EA
NFL Street 2,EA Sports Big
NFL Street,EA
NCAA Football 2004,EA
NASCAR Thunder 2003,EA
Madden NFL 2006,EA
NCAA Football 2003,EA
Harry Potter and the Goblet of Fire,EA
Harry Potter: Quidditch World Cup,EA
Test Drive Unlimited,Atari
Chili Con Carnage,RedOctane
Ford Bold Moves Street Racing,Eidos Interactive
Naruto: Clash of Ninja 2,D3Publisher of America
Bloody Roar: Primal Fury,Activision
Tiger Woods PGA Tour 2003,EA
Medal of Honor: Frontline,EA
Spyro: Enter the Dragonfly,Universal Interactive
Arthur and the Invisibles,Atari
Buffy the Vampire Slayer: Chaos Bleeds,Vivendi Universal
Crash Bandicoot: The Wrath of Cortex,Universal Interactive
007: NightFire,EA
Ice Age 2: The Meltdown,Sierra
SRS: Street Racing Syndicate,"Namco Bandai Games America, Inc"
Big Mutha Truckers,Empire Interactive
Rocket Power: Beach Bandits,THQ
The Legend of Heroes: A Tear of Vermillion,"Bandai America, Inc"
Puzzle Scape,Got Game Entertainment
Pinball Hall of Fame: The Gottlieb Collection,Crave
Pinball Hall of Fame: The Williams Collection,Crave
TimeSplitters 2,Eidos Interactive
