game,release date,developer
Napoleon Dynamite,23/10/2007,7 Studios
Fantastic 4,27/6/2005,7 Studios
Happy Feet,14/11/2006,A2M (Artificial Mind and Movement
All-Star Baseball 2002,13/11/2001,Acclaim Studios Austin
All-Star Baseball 2004,26/2/2003,Acclaim Studios Austin
All-Star Baseball 2003,28/2/2002,Acclaim Studios Austin
Turok: Evolution,29/8/2002,Acclaim Studios Austin
Crazy Taxi,18/11/2001,Acclaim Studios Cheltenham
Jeremy McGrath Supercross World,27/2/2002,"Acclaim Studios Salt Lake City, Inc"
Legends of Wrestling,29/5/2002,"Acclaim Studios Salt Lake City, Inc"
Cabela's African Safari,17/10/2006,Activision Value Publishing Inc
Wreckless: The Yakuza Missions,13/11/2002,"Activision, Inc"
X2: Wolverine's Revenge,15/4/2003,"Activision, Inc"
World Series of Poker: Tournament of Champions,21/9/2006,"Activision, Inc"
Def Jam Vendetta,24/3/2003,AKI Corporation
Def Jam Vendetta II,21/9/2004,AKI Corporation
Beach Spikers,14/8/2002,AM2
18-Wheeler: American Pro Trucker,20/2/2002,AM2
Eragon,14/11/2006,Amaze Entertainment
Samurai Jack: The Shadow of Aku,23/3/2004,Amaze Entertainment
Virtua Striker 2002,26/3/2002,Amusement Vision
Super Monkey Ball 2,28/8/2002,Amusement Vision
Spectral Souls,26/9/2006,Andamiro
Monster House,18/7/2006,Artificial Mind and Movement
Drome Racers,18/9/2003,Attention To Detail Limited
Tak and the Power of Juju,15/10/2003,Avalanche Software
Disney's Chicken Little,18/10/2005,Avalanche Software
Dragon Ball Z: Sagas,22/3/2005,Avalanche Software
Tak: The Great Juju Challenge,20/9/2005,Avalanche Studios
Death Jr. 2: Root of Evil,31/10/2006,Backbone Entertainment
Digimon World 4,31/5/2005,"Bandai Co., Ltd"
Jimmy Neutron: Boy Genius,17/12/2002,"BigSky Interactive, Inc"
SpongeBob SquarePants: Revenge of the Flying Dutchman,18/12/2002,"BigSky Interactive, Inc"
Need for Speed Undercover,18/11/2008,Black Box
Sega Soccer Slam,20/3/2002,Black Box Games Ltd
Need for Speed: Underground,18/11/2003,Black Box Games Ltd
Terminator 3: Rise of the Machines,18/11/2003,"Black Ops Entertainment, Inc"
Street Hoops,14/11/2002,"Black Ops Entertainment, Inc"
The Hustle: Detroit Streets,25/10/2005,Blade Interactive Studios
SpongeBob SquarePants: Creature from the Krusty Krab,16/10/2006,Blitz Games
Bad Boys: Miami Takedown,28/9/2004,Blitz Games
The Bigs,25/6/2007,Blue Castle Games
Nicktoons: Battle for Volcano Island,25/10/2006,Blue Tongue
Nicktoons Unite,27/10/2005,Blue Tongue Entertainment Limited
Xiaolin Showdown,14/11/2006,BottleRocket Entertainment
Mega Man Powered Up,14/3/2006,Capcom
Mega Man: Maverick Hunter X,31/1/2006,Capcom
Resident Evil Zero,13/11/2002,"Capcom Co., Ltd"
Resident Evil 2,15/1/2003,"Capcom Co., Ltd"
Resident Evil 3: Nemesis,15/1/2003,"Capcom Co., Ltd"
Mega Man Network Transmission,17/6/2003,"Capcom Co., Ltd"
Mega Man X Command Mission,21/9/2004,"Capcom Co., Ltd"
Mega Man Anniversary Collection,22/6/2004,"Capcom Co., Ltd"
Capcom vs. SNK 2: EO,25/9/2002,"Capcom Co., Ltd"
Resident Evil,30/4/2002,"Capcom Co., Ltd"
Auto Modellista,30/9/2003,"Capcom Co., Ltd"
Power Stone Collection,31/10/2006,"Capcom Co., Ltd"
Darkstalkers Chronicle: The Chaos Tower,24/3/2005,Capcom Production Studio 5
Kingdom of Paradise,15/11/2005,Climax Group
ATV Offroad Fury: Blazin' Trails,19/4/2005,Climax Group
Speed Kings,28/5/2003,Climax Group
Ghost Rider,13/2/2007,Climax Group
Viewtiful Joe 2,18/11/2004,Clover Studio
Bubble Bobble: Evolution,21/12/2006,Codemasters USA
Hard Rock Casino,24/4/2007,Cosmi Corporation
World Championship Cards,28/5/2008,Craftgold Software
Coded Arms: Contagion,18/9/2007,Creat Studio
American Chopper 2: Full Throttle,29/11/2005,"Creat Studio, LLC"
Burnout Legends,13/9/2005,Criterion Studios
Lara Croft: Tomb Raider -- Legend,14/11/2006,"Crystal Dynamics, Inc"
Puzzle Quest Challenge of the Warlords,20/3/2007,D3Publisher of America
Nickelodeon Party Blast,23/11/2002,Data Design Interactive
Full Auto 2: Battlelines,20/3/2007,Deep Fried Entertainment
Midway Arcade Treasures: Extended Play,13/12/2005,"Digital Eclipse Software, Inc"
Midway Arcade Treasures 3,25/10/2005,"Digital Eclipse Software, Inc"
Capcom Classics Collection: Remixed,23/3/2006,"Digital Eclipse Software, Inc"
Capcom Classics Collection: Reloaded,24/10/2006,"Digital Eclipse Software, Inc"
Rocky Balboa,20/3/2007,Digital Fiction
Black & Bruised,30/1/2003,"Digital Fiction, Inc"
Top Gun: Combat Zones,18/6/2002,Digital Integration
Rainbow Islands: Evolution,22/1/2008,Digital Whip
Dragon Ball Z: Budokai,28/10/2003,Dimps
Dragon Ball Z: Budokai 2,14/12/2004,Dimps
Disney's Hide & Sneak,18/11/2003,Disney Interactive
FIFA Street,22/2/2005,EA Canada
SSX Tricky,28/11/2001,EA Canada
FIFA Street 2,28/2/2006,EA Canada
FIFA Street 2,28/2/2006,EA Canada
FIFA Soccer 09,14/10/2008,EA Canada
Need for Speed: Underground 2,16/11/2004,EA Canada
Need for Speed Most Wanted,17/11/2005,EA Canada
Need for Speed Most Wanted 5-1-0,17/11/2005,EA Canada
Need for Speed: Most Wanted -- 5-1-0,17/11/2005,EA Canada
FIFA Soccer 06,18/10/2005,EA Canada
FIFA Soccer 2002: Major League Soccer,20/11/2001,EA Canada
MVP Baseball 2005,22/2/2005,EA Canada
Medal of Honor: Heroes,23/10/2006,EA Canada
2002 FIFA World Cup,23/4/2002,EA Canada
NHL 2004,23/9/2003,EA Canada
Tiger Woods PGA Tour 06,27/9/2005,EA Canada
Fight Night: Round 2,28/2/2005,EA Canada
NBA Live 07,28/9/2006,EA Canada
EA Replay,14/11/2006,EA Canada - Team Fusion
NCAA Football 09,15/7/2008,EA Canada - Team Fusion
The Sims 2: Pets,28/11/2006,EA Canada - Team Fusion
NCAA Football 2005,14/7/2004,EA Games
Catwoman,20/7/2004,EA Games
NHL 2005,20/9/2004,EA Games
Need for Speed: Underground -- Rivals,24/3/2005,EA GAMES
The Sims,25/3/2003,EA Games
Harry Potter and the Order of the Phoenix,26/6/2007,EA Games
