game,release date,publisher
Napoleon Dynamite,23/10/2007,Crave
Fantastic 4,27/6/2005,Activision
Happy Feet,14/11/2006,Midway
All-Star Baseball 2002,13/11/2001,Acclaim
All-Star Baseball 2004,26/2/2003,Acclaim
All-Star Baseball 2003,28/2/2002,Acclaim
Turok: Evolution,29/8/2002,Acclaim
Crazy Taxi,18/11/2001,Acclaim
Jeremy McGrath Supercross World,27/2/2002,Acclaim
Legends of Wrestling,29/5/2002,Acclaim
Cabela's African Safari,17/10/2006,Activision
Wreckless: The Yakuza Missions,13/11/2002,Auran
X2: Wolverine's Revenge,15/4/2003,Activision
World Series of Poker: Tournament of Champions,21/9/2006,Activision
Def Jam Vendetta,24/3/2003,EA Sports Big
Def Jam Vendetta II,21/9/2004,EA
Beach Spikers,14/8/2002,Sega
18-Wheeler: American Pro Trucker,20/2/2002,Acclaim
Eragon,14/11/2006,Vivendi Universal
Samurai Jack: The Shadow of Aku,23/3/2004,Sega
Virtua Striker 2002,26/3/2002,Sega
Super Monkey Ball 2,28/8/2002,Sega
Spectral Souls,26/9/2006,"NIS America, Inc"
Monster House,18/7/2006,THQ
Drome Racers,18/9/2003,EA
Tak and the Power of Juju,15/10/2003,THQ
Disney's Chicken Little,18/10/2005,Buena Vista Games Inc
Dragon Ball Z: Sagas,22/3/2005,Atari
Tak: The Great Juju Challenge,20/9/2005,THQ
Death Jr. 2: Root of Evil,31/10/2006,Konami
Digimon World 4,31/5/2005,"Bandai America, Inc"
Jimmy Neutron: Boy Genius,17/12/2002,THQ
SpongeBob SquarePants: Revenge of the Flying Dutchman,18/12/2002,THQ
Need for Speed Undercover,18/11/2008,EA
Sega Soccer Slam,20/3/2002,Sega
Need for Speed: Underground,18/11/2003,EA
Terminator 3: Rise of the Machines,18/11/2003,Atari
Street Hoops,14/11/2002,Activision
The Hustle: Detroit Streets,25/10/2005,Activision
SpongeBob SquarePants: Creature from the Krusty Krab,16/10/2006,THQ
Bad Boys: Miami Takedown,28/9/2004,Homebrew [Independently Developed/Distributed
The Bigs,25/6/2007,2K Sports
Nicktoons: Battle for Volcano Island,25/10/2006,THQ
Nicktoons Unite,27/10/2005,THQ
Xiaolin Showdown,14/11/2006,Konami
Mega Man Powered Up,14/3/2006,Capcom
Mega Man: Maverick Hunter X,31/1/2006,Capcom
Resident Evil Zero,13/11/2002,Capcom
Resident Evil 2,15/1/2003,Capcom
Resident Evil 3: Nemesis,15/1/2003,Capcom
Mega Man Network Transmission,17/6/2003,Capcom
Mega Man X Command Mission,21/9/2004,Capcom
Mega Man Anniversary Collection,22/6/2004,Capcom
Capcom vs. SNK 2: EO,25/9/2002,Capcom
Resident Evil,30/4/2002,Capcom
Auto Modellista,30/9/2003,Capcom
Power Stone Collection,31/10/2006,Capcom
Darkstalkers Chronicle: The Chaos Tower,24/3/2005,Capcom
Kingdom of Paradise,15/11/2005,Sony
ATV Offroad Fury: Blazin' Trails,19/4/2005,Sony
Speed Kings,28/5/2003,Acclaim
Ghost Rider,13/2/2007,2K Games
Viewtiful Joe 2,18/11/2004,Capcom
Bubble Bobble: Evolution,21/12/2006,Codemasters
Hard Rock Casino,24/4/2007,Crave
World Championship Cards,28/5/2008,Crave
Coded Arms: Contagion,18/9/2007,Konami
American Chopper 2: Full Throttle,29/11/2005,Activision
Burnout Legends,13/9/2005,EA
Lara Croft: Tomb Raider -- Legend,14/11/2006,Eidos Interactive
Puzzle Quest Challenge of the Warlords,20/3/2007,D3Publisher of America
Nickelodeon Party Blast,23/11/2002,Infogrames
Full Auto 2: Battlelines,20/3/2007,Sega
Midway Arcade Treasures: Extended Play,13/12/2005,Midway
Midway Arcade Treasures 3,25/10/2005,Midway
Capcom Classics Collection: Remixed,23/3/2006,Capcom
Capcom Classics Collection: Reloaded,24/10/2006,Capcom
Rocky Balboa,20/3/2007,Ubisoft Entertainment
Black & Bruised,30/1/2003,Majesco
Top Gun: Combat Zones,18/6/2002,Titus
Rainbow Islands: Evolution,22/1/2008,Ignition Entertainment
Dragon Ball Z: Budokai,28/10/2003,Infogrames
Dragon Ball Z: Budokai 2,14/12/2004,Atari
Disney's Hide & Sneak,18/11/2003,Capcom
FIFA Street,22/2/2005,EA Sports Big
SSX Tricky,28/11/2001,EA Sports Big
FIFA Street 2,28/2/2006,EA Sports Big
FIFA Street 2,28/2/2006,EA Sports Big
FIFA Soccer 09,14/10/2008,EA
Need for Speed: Underground 2,16/11/2004,EA
Need for Speed Most Wanted,17/11/2005,EA
Need for Speed Most Wanted 5-1-0,17/11/2005,EA
Need for Speed: Most Wanted -- 5-1-0,17/11/2005,EA
FIFA Soccer 06,18/10/2005,EA
FIFA Soccer 2002: Major League Soccer,20/11/2001,EA
MVP Baseball 2005,22/2/2005,EA
Medal of Honor: Heroes,23/10/2006,EA
2002 FIFA World Cup,23/4/2002,EA
NHL 2004,23/9/2003,EA
Tiger Woods PGA Tour 06,27/9/2005,EA
Fight Night: Round 2,28/2/2005,EA
NBA Live 07,28/9/2006,EA
EA Replay,14/11/2006,EA
NCAA Football 09,15/7/2008,EA
The Sims 2: Pets,28/11/2006,EA
NCAA Football 2005,14/7/2004,EA
Catwoman,20/7/2004,EA
NHL 2005,20/9/2004,EA
Need for Speed: Underground -- Rivals,24/3/2005,EA
The Sims,25/3/2003,EA
Harry Potter and the Order of the Phoenix,26/6/2007,EA
Tiger Woods PGA Tour 2004,22/9/2003,EA
James Bond 007 in Agent Under Fire,13/3/2002,EA
James Bond 007: Everything or Nothing,17/2/2004,EA
NCAA Football 07,18/7/2006,EA
Tiger Woods PGA Tour 06,20/9/2005,EA
Tiger Woods PGA Tour,24/3/2005,EA
NFL Street 2,29/12/2004,EA Sports Big
NFL Street,15/1/2004,EA
NCAA Football 2004,16/7/2003,EA
NASCAR Thunder 2003,18/9/2002,EA
Madden NFL 2006,20/9/2005,EA
NCAA Football 2003,23/7/2002,EA
Harry Potter and the Goblet of Fire,15/11/2005,EA
Harry Potter: Quidditch World Cup,28/10/2003,EA
Test Drive Unlimited,21/3/2007,Atari
Chili Con Carnage,27/2/2007,RedOctane
Ford Bold Moves Street Racing,18/10/2006,Eidos Interactive
Naruto: Clash of Ninja 2,26/9/2006,D3Publisher of America
Bloody Roar: Primal Fury,20/3/2002,Activision
Tiger Woods PGA Tour 2003,29/10/2002,EA
Medal of Honor: Frontline,18/11/2002,EA
Spyro: Enter the Dragonfly,21/11/2002,Universal Interactive
Arthur and the Invisibles,20/2/2007,Atari
Buffy the Vampire Slayer: Chaos Bleeds,26/8/2003,Vivendi Universal
Crash Bandicoot: The Wrath of Cortex,18/9/2002,Universal Interactive
007: NightFire,20/11/2002,EA
Ice Age 2: The Meltdown,14/3/2006,Sierra
SRS: Street Racing Syndicate,31/8/2004,"Namco Bandai Games America, Inc"
Big Mutha Truckers,18/8/2003,Empire Interactive
Rocket Power: Beach Bandits,24/9/2002,THQ
The Legend of Heroes: A Tear of Vermillion,15/11/2005,"Bandai America, Inc"
Puzzle Scape,18/6/2007,Got Game Entertainment
Pinball Hall of Fame: The Gottlieb Collection,25/3/2005,Crave
Pinball Hall of Fame: The Williams Collection,26/2/2008,Crave
TimeSplitters 2,24/9/2002,Eidos Interactive
B-Boy,16/9/2008,SouthPeak Interactive
Lost Kingdoms,29/5/2002,Activision
Thrillville,21/11/2006,Lucas Arts
Wallace & Gromit in Project Zoo,16/10/2003,BAM! Entertainment
Cabela's Outdoor Adventures,15/9/2005,Activision
Pokemon Colosseum,22/3/2004,Nintendo
Street Supremacy,28/2/2006,Konami
The Fast and the Furious,24/4/2007,"Namco Bandai Games America, Inc"
Ratchet & Clank: Size Matters,13/2/2007,Sony
The Grim Adventures of Billy & Mandy,26/9/2006,Midway
Baldur's Gate: Dark Alliance,20/11/2002,Interplay Entertainment
Hunter: The Reckoning,20/11/2002,Interplay Entertainment
Charlie and the Chocolate Factory,18/7/2005,Global Star
50 Cent: Bulletproof -- G Unit Edition,29/8/2006,Firaxis Games
Bomberman Land,29/1/2008,Hudson  Soft
