"game","developer"
"Fantastic 4","7 Studios"
"Happy Feet","A2M (Artificial Mind and Movement"
"All-Star Baseball 2002","Acclaim Studios Austin"
"All-Star Baseball 2004","Acclaim Studios Austin"
"All-Star Baseball 2003","Acclaim Studios Austin"
"Beach Spikers","AM2"
"18-Wheeler: American Pro Trucker","AM2"
"Samurai Jack: The Shadow of Aku","Amaze Entertainment"
"Super Monkey Ball 2","Amusement Vision"
"Need for Speed Undercover","Black Box"
"SpongeBob SquarePants: Creature from the Krusty Krab","Blitz Games"
"Bad Boys: Miami Takedown","Blitz Games"
"Nicktoons: Battle for Volcano Island","Blue Tongue"
"Xiaolin Showdown","BottleRocket Entertainment"
"Mega Man Powered Up","Capcom"
"Mega Man: Maverick Hunter X","Capcom"
"Resident Evil 2","Capcom Co., Ltd"
"Resident Evil 3: Nemesis","Capcom Co., Ltd"
"Resident Evil","Capcom Co., Ltd"
"Puzzle Quest Challenge of the Warlords","D3Publisher of America"
"Nickelodeon Party Blast","Data Design Interactive"
"Full Auto 2: Battlelines","Deep Fried Entertainment"
"Rocky Balboa","Digital Fiction"
"Rainbow Islands: Evolution","Digital Whip"
"Dragon Ball Z: Budokai","Dimps"
"Dragon Ball Z: Budokai 2","Dimps"
"FIFA Street","EA Canada"
"SSX Tricky","EA Canada"
"FIFA Street 2","EA Canada"
"FIFA Street 2","EA Canada"
"FIFA Soccer 09","EA Canada"
"Need for Speed: Underground 2","EA Canada"
"Need for Speed Most Wanted","EA Canada"
"Need for Speed Most Wanted 5-1-0","EA Canada"
"Need for Speed: Most Wanted -- 5-1-0","EA Canada"
"FIFA Soccer 06","EA Canada"
"MVP Baseball 2005","EA Canada"
"Medal of Honor: Heroes","EA Canada"
"2002 FIFA World Cup","EA Canada"
"NHL 2004","EA Canada"
"Tiger Woods PGA Tour 06","EA Canada"
"Fight Night: Round 2","EA Canada"
"NBA Live 07","EA Canada"
"Catwoman","EA Games"
"NHL 2005","EA Games"
"Need for Speed: Underground -- Rivals","EA GAMES"
"The Sims","EA Games"
"Harry Potter and the Order of the Phoenix","EA Games"
"James Bond 007: Everything or Nothing","EA Redwood Shores"
"NCAA Football 07","EA Sports"
"Tiger Woods PGA Tour 06","EA Sports"
"Tiger Woods PGA Tour","EA SPORTS"
"NFL Street 2","EA Tiburon"
"NFL Street","EA Tiburon"
"Madden NFL 2006","EA Tiburon"
"Harry Potter and the Goblet of Fire","EA UK"
"Harry Potter: Quidditch World Cup","EA UK"
"Ford Bold Moves Street Racing","Eidos Interactive"
"Naruto: Clash of Ninja 2","Eighting"
"Tiger Woods PGA Tour 2003","Electronic Arts"
"Rocket Power: Beach Bandits","Evolution Games"
"Puzzle Scape","Farmind"
"Pinball Hall of Fame: The Gottlieb Collection","FarSight Studios"
"Pinball Hall of Fame: The Williams Collection","FarSight Studios"
"The Fast and the Furious","Glu Mobile"
"The Grim Adventures of Billy & Mandy","High Voltage Software"
"Bomberman Land","Hudson  Soft"
"Hitman 2: Silent Assassin","IO Interactive"
"Puzzle Guzzle","Irem Software Engineering"
"Goblin Commander: Unleash the Horde","Jaleco"
"Batman: Dark Tomorrow","KEMCO"
"Castlevania: The Dracula X Chronicles","Konami"
"The Legend of Spyro: A New Beginning","Krome Studios"
"King Arthur","Krome Studios"
"Hellboy: The Science of Evil","Krome Studios"
"Strike Force Bowling","Lab Rats Games"
"The Sims 2","Maxis"
"The Sims Bustin' Out","Maxis"
"The Sims 2: Pets","Maxis"
"The Sims 2","Maxis"
"NASCAR: Dirt to Daytona","Monster Games, Inc"
