file;seed;initial examples;precision;recall;query iterations;number iterations;not found;total values;time in sec
2006SoccerPlayer2club.csv; -1169404728;3;0.0;0.0;-999; 0;62;66;2.7261786460876465
2006SoccerPlayer2club.csv; -1169404728;5;0.0;0.0;-999; 1;60;66;2.7261786460876465
2006SoccerPlayer2club.csv; -1169404728;10;0.0;0.0;-999; 1;55;66;2.7261786460876465
20122013NameNumber2Club.txt; -1811350662;3;0.0;0.0; 1; 1;35;40;64.03011631965637
20122013NameNumber2Club.txt; -1811350662;5;0.0;0.0; 1; 1;33;40;64.03011631965637
20122013NameNumber2Club.txt; -1811350662;10;0.0;0.0; 1; 1;28;40;64.03011631965637
2013CountryLocation2UnescoSite.txt; -127314516;3;0.0;0.0;-999; 0;120;134;2.526022434234619
2013CountryLocation2UnescoSite.txt; -127314516;5;0.0;0.0;-999; 0;118;134;2.526022434234619
2013CountryLocation2UnescoSite.txt; -127314516;10;0.0;0.0;-999; 0;113;134;2.526022434234619
2013UnescoSite2Country.csv; -612599830;3;0.9722222222222222;0.2755905511811024; 2; 5;91;131;6.466378211975098
2013UnescoSite2Country.csv; -612599830;5;0.9722222222222222;0.28; 2; 7;89;131;6.466378211975098
2013UnescoSite2Country.csv; -612599830;10;0.9714285714285714;0.2833333333333333; 2; 6;85;131;6.466378211975098
2013UnescoSite2Location.csv; 1176086473;3;0.0;0.0;-999; 0;130;134;1.6150951385498047
2013UnescoSite2Location.csv; 1176086473;5;0.0;0.0;-999; 0;128;134;1.6150951385498047
2013UnescoSite2Location.csv; 1176086473;10;0.0;0.0;-999; 0;123;134;1.6150951385498047
airport_codes_internalGT2.csv; 165642430;3;0.0;0.0;-999; 1;4967;5413;21.00824522972107
airport_codes_internalGT2.csv; 165642430;5;0.0;0.0;-999; 1;4965;5413;21.00824522972107
airport_codes_internalGT2.csv; 165642430;10;0.9943841257955822;0.4934051644064648;-999; 100;2289;5413;21.00824522972107
AirportcodeToCity.csv; 496546771;3;0.0;0.0;-999; 1;4702;5289;14.8805832862854
AirportcodeToCity.csv; 496546771;5;0.0;0.0;-999; 1;4700;5289;14.8805832862854
AirportcodeToCity.csv; 496546771;10;1.0;0.04753755466818787;-999; 100;4445;5289;14.8805832862854
airportToCountry.csv; 1885904266;3;0.9619047619047619;0.926605504587156; 2; 11;4;113;31.664355039596558
airportToCountry.csv; 1885904266;5;0.9433962264150944;0.9345794392523364; 3; 12;1;113;31.664355039596558
airportToCountry.csv; 1885904266;10;0.9313725490196079;0.9313725490196079; 3; 13;0;113;31.664355039596558
Album2Genre.csv; -949027980;3;0.7142857142857143;0.6944444444444444; 2; 11;1;42;17.112053155899048
Album2Genre.csv; -949027980;5;0.7352941176470589;0.7352941176470589; 2; 11;0;42;17.112053155899048
Album2Genre.csv; -949027980;10;0.7857142857142857;0.7586206896551724; 2; 100;1;42;17.112053155899048
AnimalToGenusSpecies.csv; -1134462042;3;0.0;0.0; 1; 1;91;533;2.0221621990203857
AnimalToGenusSpecies.csv; -1134462042;5;0.0;0.0; 1; 1;90;533;2.0221621990203857
AnimalToGenusSpecies.csv; -1134462042;10;0.0;0.0; 1; 1;88;533;2.0221621990203857
AnimalToGenusSpeciesCommonNames.csv; -677357174;3;0.0;0.0; 1; 1;89;532;1.9086930751800537
AnimalToGenusSpeciesCommonNames.csv; -677357174;5;0.0;0.0; 1; 1;88;532;1.9086930751800537
