file;seed;initial examples;precision;recall;query iterations;number iterations;not found;total values;time in sec
2006SoccerPlayer2club.csv; -469379554;5;0.0;0.0;-999; 0;60;66;8.23310375213623
2006SoccerPlayer2club.csv; -469379554;10;0.125;0.01818181818181818;-999; 10;47;66;8.23310375213623
20122013NameNumber2Club.txt; 744579296;5;0.0;0.0; 1; 1;33;40;4.014869689941406
20122013NameNumber2Club.txt; 744579296;10;0.0;0.0; 1; 1;28;40;4.014869689941406
2013UnescoSite2Country.csv; 1064502847;5;0.0;0.0;-999; 1;125;131;3.2287633419036865
2013UnescoSite2Country.csv; 1064502847;10;0.0;0.0;-999; 1;120;131;3.2287633419036865
airport_codes_internalGT2.csv; 647105738;5;0.9856262833675564;0.17817371937639198; 4; 100;3991;5413;275.51568269729614
airport_codes_internalGT2.csv; 647105738;10;0.9902534113060428;0.6605981794538361; 4; 100;1369;5413;275.51568269729614
AirportcodeToCity.csv; 1172052156;5;0.9292088042831648;0.2967325227963526; 5; 100;3019;5289;285.34710931777954
AirportcodeToCity.csv; 1172052156;10;0.9169193450576106;0.2875071306332002; 3; 100;3046;5289;285.34710931777954
airportToCountry.csv;;5;;;;;113;113;0.13928651809692383
airportToCountry.csv;;10;;;;;113;113;0.1394658088684082
Album2Genre.csv; 2143119456;5;0.8235294117647058;0.8235294117647058; 2; 68;0;42;29.343887090682983
Album2Genre.csv; 2143119456;10;0.75;0.7241379310344828; 2; 100;1;42;29.343887090682983
AnimalToGenusSpeciesCommonNames_cleaned.csv; 1229813780;5;1.0;0.1; 2; 13;6;24;3.5615320205688477
AnimalToGenusSpeciesCommonNames_cleaned.csv; 1229813780;10;0.5;0.05555555555555555; 2; 4;4;24;3.5615320205688477
ArenaTocurrentSoccerClubs.txt; -1740267404;5;0.625;0.19230769230769232; 2; 10;13;31;5.383373022079468
ArenaTocurrentSoccerClubs.txt; -1740267404;10;0.5555555555555556;0.22727272727272727; 3; 6;8;31;5.383373022079468
ArtistToStudioAlbum.txt; -972355925;5;0.7142857142857143;0.09259259259259259; 3; 66;0;112;16.14177894592285
ArtistToStudioAlbum.txt; -972355925;10;0.38461538461538464;0.04672897196261682; 2; 15;0;112;16.14177894592285
AthletesHoldingWorldRecordsPerCountry.csv; 1756122576;5;0.2857142857142857;0.06779661016949153;-999; 100;1;64;12.224958896636963
AthletesHoldingWorldRecordsPerCountry.csv; 1756122576;10;0.21428571428571427;0.05172413793103448;-999; 13;0;64;12.224958896636963
AuthorYear2Novel.csv; -1645816808;5;1.0;0.16216216216216217; 2; 21;31;43;9.327109813690186
AuthorYear2Novel.csv; -1645816808;10;1.0;0.15625; 2; 100;27;43;9.327109813690186
bankCityBranchToSwiftCode11.csv; -969079269;5;0.0;0.0;-999; 0;1410;2057;10.54371166229248
bankCityBranchToSwiftCode11.csv; -969079269;10;1.0;0.041075794621026895;-999; 10;1321;2057;10.54371166229248
bankToSwiftCode8.csv; -1528830628;5;0.0;0.0;-999; 0;984;1046;1.9395074844360352
bankToSwiftCode8.csv; -1528830628;10;0.0;0.0;-999; 0;979;1046;1.9395074844360352
CityToCountry.csv; 1796808630;5;0.3333333333333333;0.3333333333333333; 2; 14;0;21;27.370180368423462
CityToCountry.csv; 1796808630;10;0.3;0.3; 2; 7;0;21;27.370180368423462
CompanyToTicker.csv; -1814555949;5;0.9927765237020316;0.7406534186594813; 2; 5;688;2979;182.53385090827942
CompanyToTicker.csv; -1814555949;10;0.9910833704859563;0.75; 6; 100;655;2979;182.53385090827942
CountriesToContinents.csv;;5;;;;;205;205;11.332919836044312
CountriesToContinents.csv;;10;;;;;205;205;11.333067178726196
