file;seed;initial examples;precision;recall;query iterations;number iterations;not found;total values;time in sec
2006SoccerPlayer2club.csv; -469379554;3;0.0;0.0;-999; 0;62;66;8.292093753814697
2006SoccerPlayer2club.csv; -469379554;5;0.0;0.0;-999; 0;60;66;8.292093753814697
2006SoccerPlayer2club.csv; -469379554;10;0.1111111111111111;0.01818181818181818;-999; 9;46;66;8.292093753814697
20122013NameNumber2Club.txt; 744579296;3;0.0;0.0; 1; 1;35;40;4.554319858551025
20122013NameNumber2Club.txt; 744579296;5;0.0;0.0; 1; 1;33;40;4.554319858551025
20122013NameNumber2Club.txt; 744579296;10;0.0;0.0; 1; 1;28;40;4.554319858551025
2013UnescoSite2Country.csv; 1064502847;3;0.0;0.0; 1; 1;127;131;3.661142110824585
2013UnescoSite2Country.csv; 1064502847;5;0.0;0.0; 1; 1;125;131;3.661142110824585
2013UnescoSite2Country.csv; 1064502847;10;0.9722222222222222;0.2916666666666667; 2; 5;84;131;3.661142110824585
airport_codes_internalGT2.csv; 647105738;3;1.0;0.018367346938775512; 2; 6;4868;5413;40.46937680244446
airport_codes_internalGT2.csv; 647105738;5;1.0;0.18058648849294728; 4; 100;3992;5413;40.46937680244446
airport_codes_internalGT2.csv; 647105738;10;0.9550698239222829;0.29221623629946125; 6; 100;3313;5413;40.46937680244446
AirportcodeToCity.csv; 1172052156;3;0.9978821037769149;0.5368401063425751; 2; 4;1869;5289;41.444498777389526
AirportcodeToCity.csv; 1172052156;5;0.9932070075080444;0.5277355623100304; 3; 100;1903;5289;41.444498777389526
AirportcodeToCity.csv; 1172052156;10;0.9920410783055199;0.7347404449515117; 3; 100;800;5289;41.444498777389526
airportToCountry.csv;;3;;;;;113;113;0.1408851146697998
airportToCountry.csv;;5;;;;;113;113;0.14100313186645508
airportToCountry.csv;;10;;;;;113;113;0.14110612869262695
Album2Genre.csv; 2143119456;3;0.7647058823529411;0.3611111111111111; 2; 3;19;42;22.95322036743164
Album2Genre.csv; 2143119456;5;0.7647058823529411;0.7647058823529411; 2; 12;0;42;22.95322036743164
Album2Genre.csv; 2143119456;10;0.7586206896551724;0.7586206896551724; 2; 8;0;42;22.95322036743164
AnimalToGenusSpeciesCommonNames_cleaned.csv; 1229813780;3;0.0;0.0; 1; 1;9;24;3.9653613567352295
AnimalToGenusSpeciesCommonNames_cleaned.csv; 1229813780;5;1.0;0.1; 2; 5;6;24;3.9653613567352295
AnimalToGenusSpeciesCommonNames_cleaned.csv; 1229813780;10;0.6666666666666666;0.1111111111111111; 2; 9;3;24;3.9653613567352295
ArenaTocurrentSoccerClubs.txt; -1740267404;3;0.8;0.14814814814814814; 2; 3;17;31;5.555115222930908
ArenaTocurrentSoccerClubs.txt; -1740267404;5;0.6666666666666666;0.23076923076923078; 2; 4;12;31;5.555115222930908
ArenaTocurrentSoccerClubs.txt; -1740267404;10;0.625;0.22727272727272727; 2; 4;9;31;5.555115222930908
ArtistToStudioAlbum.txt; -972355925;3;1.0;0.009259259259259259; 2; 7;13;112;12.2642240524292
ArtistToStudioAlbum.txt; -972355925;5;0.6666666666666666;0.037037037037037035; 3; 100;8;112;12.2642240524292
ArtistToStudioAlbum.txt; -972355925;10;0.75;0.056074766355140186; 2; 100;5;112;12.2642240524292
AthletesHoldingWorldRecordsPerCountry.csv; 1756122576;3;0.0;0.0;-999; 0;16;64;10.895684957504272
