file;seed;initial examples;precision;recall;query iterations;number iterations;not found;total values;time in sec
2006SoccerPlayer2club.csv; -469379554;3;0.0;0.0; 1; 1;62;66;368.78661251068115
2006SoccerPlayer2club.csv; -469379554;5;0.0;0.0; 1; 1;60;66;368.78661251068115
2006SoccerPlayer2club.csv; -469379554;10;0.6666666666666666;0.10909090909090909; 4; 100;46;66;368.78661251068115
20122013NameNumber2Club.txt; -244942749;3;0.0;0.0; 1; 1;35;40;10.422361612319946
20122013NameNumber2Club.txt; -244942749;5;0.0;0.0; 1; 1;33;40;10.422361612319946
20122013NameNumber2Club.txt; -244942749;10;0.0;0.0; 1; 1;28;40;10.422361612319946
2013UnescoSite2Country.csv; -1609158493;3;0.0;0.0; 1; 1;127;131;48.807294845581055
2013UnescoSite2Country.csv; -1609158493;5;0.0;0.0; 1; 1;125;131;48.807294845581055
2013UnescoSite2Country.csv; -1609158493;10;0.9076923076923077;0.49166666666666664; 2; 12;55;131;48.807294845581055
airport_codes_internalGT2.csv;;3;;;;;5413;5413;1806.7326424121857
airport_codes_internalGT2.csv;;5;;;;;5413;5413;1806.7339885234833
airport_codes_internalGT2.csv;;10;;;;;5413;5413;1806.735272884369
AirportcodeToCity.csv;;3;;;;;5289;5289;1805.7697727680206
AirportcodeToCity.csv;;5;;;;;5289;5289;1805.7722239494324
AirportcodeToCity.csv;;10;;;;;5289;5289;1805.7746357917786
airportToCountry.csv;;3;;;;;113;113;1805.0395357608795
airportToCountry.csv;;5;;;;;113;113;1805.0396838188171
airportToCountry.csv;;10;;;;;113;113;1805.0398139953613
Album2Genre.csv;;3;;;;;42;42;1805.1740777492523
Album2Genre.csv;;5;;;;;42;42;1805.1741969585419
Album2Genre.csv;;10;;;;;42;42;1805.1743021011353
AnimalToGenusSpeciesCommonNames_cleaned.csv; 1229813780;3;0.0;0.0;-999; 1;9;24;153.53147196769714
AnimalToGenusSpeciesCommonNames_cleaned.csv; 1229813780;5;0.0;0.0;-999; 1;8;24;153.53147196769714
AnimalToGenusSpeciesCommonNames_cleaned.csv; 1229813780;10;0.5;0.05555555555555555;-999; 8;4;24;153.53147196769714
ArenaTocurrentSoccerClubs.txt; 965450844;3;0.0;0.0;-999; 0;22;31;575.0254712104797
ArenaTocurrentSoccerClubs.txt; 965450844;5;0.4166666666666667;0.2;-999; 11;8;31;575.0254712104797
ArenaTocurrentSoccerClubs.txt; 965450844;10;0.7;0.3333333333333333;-999; 8;6;31;575.0254712104797
ArtistToStudioAlbum.txt;;3;;;;;112;112;1805.783259153366
ArtistToStudioAlbum.txt;;5;;;;;112;112;1805.7833573818207
ArtistToStudioAlbum.txt;;10;;;;;112;112;1805.7834467887878
AthletesHoldingWorldRecordsPerCountry.csv; -283304524;3;0.0;0.0;-999; 0;17;64;245.08794116973877
AthletesHoldingWorldRecordsPerCountry.csv; -283304524;5;0.0;0.0;-999; 1;15;64;245.08794116973877
AthletesHoldingWorldRecordsPerCountry.csv; -283304524;10;0.0;0.0;-999; 1;14;64;245.08794116973877
AuthorYear2Novel.csv; -1645816808;3;0.8333333333333334;0.1282051282051282; 2; 6;33;43;179.08595252037048
AuthorYear2Novel.csv; -1645816808;5;0.875;0.1891891891891892; 2; 8;29;43;179.08595252037048
AuthorYear2Novel.csv; -1645816808;10;0.8571428571428571;0.1875; 2; 7;25;43;179.08595252037048
bankCityBranchToSwiftCode11.csv; 533857568;3;0.0;0.0;-999; 0;1412;2057;9.943270683288574
bankCityBranchToSwiftCode11.csv; 533857568;5;0.0;0.0;-999; 1;1410;2057;9.943270683288574
bankCityBranchToSwiftCode11.csv; 533857568;10;0.0;0.0;-999; 1;1405;2057;9.943270683288574
bankToSwiftCode8.csv; 2129623452;3;0.0;0.0;-999; 0;986;1046;2.035637855529785
bankToSwiftCode8.csv; 2129623452;5;0.0;0.0;-999; 0;984;1046;2.035637855529785
