file;seed;initial examples;precision;recall;query iterations;number iterations;not found;total values;time in sec
2006SoccerPlayer2club.csv; -469379554;3;0.0;0.0;-999; 0;62;66;168.33855843544006
2006SoccerPlayer2club.csv; -469379554;5;0.0;0.0;-999; 0;60;66;168.33855843544006
2006SoccerPlayer2club.csv; -469379554;10;0.4090909090909091;0.16363636363636364;-999; 16;33;66;168.33855843544006
20122013NameNumber2Club.txt; 744579296;3;0.0;0.0; 1; 1;35;40;10.798591375350952
20122013NameNumber2Club.txt; 744579296;5;0.0;0.0; 1; 1;33;40;10.798591375350952
20122013NameNumber2Club.txt; 744579296;10;0.0;0.0; 1; 1;28;40;10.798591375350952
2013UnescoSite2Country.csv; 1064502847;3;0.0;0.0; 1; 1;127;131;81.80410623550415
2013UnescoSite2Country.csv; 1064502847;5;0.8813559322033898;0.416; 2; 5;66;131;81.80410623550415
2013UnescoSite2Country.csv; 1064502847;10;0.8771929824561403;0.4166666666666667; 2; 7;63;131;81.80410623550415
airport_codes_internalGT2.csv; 647105738;3;0.0;0.0; 1; 1;4967;5413;1020.9049088954926
airport_codes_internalGT2.csv; 647105738;5;0.9966722129783694;0.22234595397178916; 2; 6;3763;5413;1020.9049088954926
airport_codes_internalGT2.csv; 647105738;10;0.9471759447379114;0.8660598179453837; 2; 100;38;5413;1020.9049088954926
AirportcodeToCity.csv; 1172052156;3;0.0;0.0;-999; 0;4702;5289;899.6012842655182
AirportcodeToCity.csv; 1172052156;5;0.9980173482032219;0.7650075987841946;-999; 100;665;5289;899.6012842655182
AirportcodeToCity.csv; 1172052156;10;0.9947064485081809;0.7860810039931546;-999; 100;539;5289;899.6012842655182
airportToCountry.csv;;3;;;;;113;113;0.18697834014892578
airportToCountry.csv;;5;;;;;113;113;0.18716001510620117
airportToCountry.csv;;10;;;;;113;113;0.18731212615966797
Album2Genre.csv; 2143119456;3;0.0;0.0; 1; 1;36;42;874.5647730827332
Album2Genre.csv; 2143119456;5;0.7575757575757576;0.7352941176470589; 2; 11;1;42;874.5647730827332
Album2Genre.csv; 2143119456;10;0.5517241379310345;0.5517241379310345; 2; 7;0;42;874.5647730827332
AnimalToGenusSpeciesCommonNames_cleaned.csv;;3;;;;;24;24;0.48735880851745605
AnimalToGenusSpeciesCommonNames_cleaned.csv;;5;;;;;24;24;0.4874703884124756
AnimalToGenusSpeciesCommonNames_cleaned.csv;;10;;;;;24;24;0.48756957054138184
ArenaTocurrentSoccerClubs.txt; -1740267404;3;0.0;0.0;-999; 0;22;31;22.47986125946045
ArenaTocurrentSoccerClubs.txt; -1740267404;5;0.0;0.0;-999; 0;21;31;22.47986125946045
ArenaTocurrentSoccerClubs.txt; -1740267404;10;0.5555555555555556;0.22727272727272727;-999; 4;8;31;22.47986125946045
ArtistToStudioAlbum.txt;;3;;;;;112;112;0.4995713233947754
ArtistToStudioAlbum.txt;;5;;;;;112;112;0.499680757522583
ArtistToStudioAlbum.txt;;10;;;;;112;112;0.4997832775115967
AthletesHoldingWorldRecordsPerCountry.csv;;3;;;;;64;64;0.5273544788360596
AthletesHoldingWorldRecordsPerCountry.csv;;5;;;;;64;64;0.5275211334228516
AthletesHoldingWorldRecordsPerCountry.csv;;10;;;;;64;64;0.5276782512664795
AuthorYear2Novel.csv; -1645816808;3;0.0;0.0;-999; 0;39;43;12.885549545288086
AuthorYear2Novel.csv; -1645816808;5;0.0;0.0;-999; 1;37;43;12.885549545288086
AuthorYear2Novel.csv; -1645816808;10;0.6666666666666666;0.0625;-999; 6;29;43;12.885549545288086
bankCityBranchToSwiftCode11.csv; -969079269;3;0.0;0.0;-999; 0;1412;2057;2.663764476776123
bankCityBranchToSwiftCode11.csv; -969079269;5;0.0;0.0;-999; 0;1410;2057;2.663764476776123
bankCityBranchToSwiftCode11.csv; -969079269;10;0.0;0.0;-999; 0;1405;2057;2.663764476776123
bankToSwiftCode8.csv; -1528830628;3;0.0;0.0;-999; 0;986;1046;2.1477901935577393
bankToSwiftCode8.csv; -1528830628;5;0.0;0.0;-999; 0;984;1046;2.1477901935577393
bankToSwiftCode8.csv; -1528830628;10;0.0;0.0;-999; 0;979;1046;2.1477901935577393
CityToCountry.csv; 1796808630;3;1.0;0.17647058823529413; 2; 100;14;21;1419.8599832057953
CityToCountry.csv; 1796808630;5;1.0;0.3333333333333333; 2; 100;10;21;1419.8599832057953
CityToCountry.csv; 1796808630;10;0.8333333333333334;0.5; 2; 100;4;21;1419.8599832057953
